Name,Easting,Northing,Lat,Lon,Functioning?,Brand,Date Placement,Date Removed,Days
401A,299505,1927437,17.42571742190,-88.88756123790,,Moultry,"March 18, 2014",2014-04-23,27
401B,306056,1928108,17.43236027050,-88.82596589280,NO,Moultry,"April 23, 2014",2014-05-28,0
401C,306148,1928079,17.43209821680,-88.82509439770,,Moultry,"May 28, 2014",2014-07-18,12
401C2,305786,1928483,17.43572200160,-88.82854000000,,Moultry,"July 18, 2014",2014-09-18,60
401D,305786,1928483,17.43572200160,-88.82854000000,,Moultry,"September 18, 2014",2014-11-03,40
402A,300195,1927401,17.42545742060,-88.88106726700,IDK,Bushnell,"March 18, 2014",2014-04-23,0
402C,303764,1927657,17.42808520170,-88.84750266590,IDK,Bushnell,"May 28, 2014",2014-07-18,0
402C2,303878,1927199,17.42395300170,-88.84638799990,,Bushnell,"July 18, 2014",2014-09-18,60
402D,303878,1927199,17.42395300170,-88.84638799990,,Bushnell,"September 18, 2014",2014-11-03,40
402E,303760,1927582,17.42740900160,-88.84753199990,,Bushnell,"November 3, 2014",2014-12-22,44
402F,303762,1927588,17.42745600160,-88.84750999990,,Bushnell,"December 22, 2014",2015-02-18,47
403A,291031,1926154,17.41335951380,-88.96718088800,,Bushnell,"March 18, 2014",2014-04-23,35
403B,291227,1926257,17.41430722390,-88.96534675650,,Bushnell,"April 23, 2014",2014-05-28,28
403C,290976,1926510,17.41657113620,-88.96773410790,,Bushnell,"May 28, 2014",2014-07-18,60
403C2,290967,1926303,17.41469400160,-88.96780000000,,Bushnell,"July 18, 2014",2014-09-18,48
403D,290967,1926303,17.41469400160,-88.96780000000,,Bushnell,"September 18, 2014",2014-11-03,44
403E,287303,1935282,17.49546900160,-89.00316200000,,Bushnell,"November 3, 2014",2014-12-22,45
403F,291689,1929549,17.44409100160,-88.96131899990,,Bushnell,"December 22, 2014",2015-02-18,47
404B,305818,1928442,17.43535511530,-88.82823293890,,Scoutguard,"April 23, 2014",2014-05-28,30
404C,304607,1927908,17.43042520870,-88.83958657150,,Scoutguard,"May 28, 2014",2014-07-18,47
404C2,304744,1927456,17.42635100160,-88.83825299990,,Scoutguard,"July 18, 2014",2014-09-18,10
404D,304744,1927456,17.42635100160,-88.83825299990,,Scoutguard,"September 18, 2014",2014-11-03,40
404E,304653,1927840,17.42981600160,-88.83914499990,,Scoutguard,"November 3, 2014",2014-12-22,37
404F,304653,1927840,17.42981600160,-88.83914499990,,Scoutguard,"December 22, 2014",2015-02-18,47
405A,283423,1932759,17.47230525710,-89.03943853990,,Moultry,"March 18, 2014",2014-04-23,35
405B,283454,1932033,17.46574656090,-89.03907226460,,Moultry,"April 23, 2014",2014-05-28,35
405C,283406,1933798,17.48168622710,-89.03970300290,,Moultry,"May 28, 2014",2014-07-18,48
405C2,283565,1934622,17.48914900160,-89.03828400000,,Moultry,"July 18, 2014",2014-09-18,50
405D,283565,1934622,17.48914900160,-89.03828400000,,Moultry,"September 18, 2014",2014-11-03,44
405E,283533,1933999,17.48351300160,-89.03852600000,,Moultry,"November 3, 2014",2014-12-22,32
405F,285409,1935699,17.49905500160,-89.02103500000,,Moultry,"December 22, 2014",2015-02-18,47
406A,283348,1933228,17.47653223700,-89.04018953470,,Bushnell,"March 18, 2014",2014-04-23,35
406B,283558,1934171,17.48507555790,-89.03830424670,,Bushnell,"April 23, 2014",2014-05-28,35
406C,283359,1934195,17.48526623340,-89.04018201030,,Bushnell,"May 28, 2014",2014-07-18,45
406C2,292120,1930183,17.44985900160,-88.95732599990,,Bushnell,"July 18, 2014",2014-09-18,50
406D,292120,1930183,17.44985900160,-88.95732599990,,Bushnell,"September 18, 2014",2014-11-03,44
406E,286926,1935340,17.49595600160,-89.00671700000,,Bushnell,"November 3, 2014",2014-12-22,45
406F,291883,1929921,17.44747000160,-88.95953100000,IDK,Bushnell,"December 22, 2014",2015-02-18,0
407A,282835,1934017,17.48360720460,-89.04509650970,,Bushnell,"March 18, 2014",2014-04-23,35
407B,282356,1934101,17.48432059820,-89.04961247910,,Bushnell,"April 23, 2014",2014-05-28,10
407C,287745,1932109,17.46684421660,-88.99868650210,,Bushnell,"May 28, 2014",2014-07-18,45
407C2,283444,1934825,17.49096600160,-89.03944800000,,Bushnell,"July 18, 2014",2014-09-18,50
407D,283444,1934825,17.49096600160,-89.03944800000,,Bushnell,"September 18, 2014",2014-11-03,44
407E,284554,1935262,17.49502000160,-89.02903800000,,Bushnell,"November 3, 2014",2014-12-22,45
407F,288175,1935951,17.50159800150,-88.99502499990,,Bushnell,"December 22, 2014",2015-02-18,47
408B,284005,1935106,17.49356511710,-89.03419016130,,Scoutguard,"April 23, 2014",2014-05-28,25
408C,283344,1933425,17.47831622070,-89.04024800800,,Scoutguard,"May 28, 2014",2014-07-18,48
408C2,291805,1929881,17.44709800160,-88.96026100000,,Scoutguard,"July 18, 2014",2014-09-18,50
408D,291805,1929881,17.44709800160,-88.96026100000,,Scoutguard,"September 18, 2014",2014-11-03,5
408E,287879,1931466,17.46104900160,-88.99737000000,,Scoutguard,"November 3, 2014",2014-12-22,4
408F,287877,1931477,17.46115100160,-88.99738800000,IDK,Scoutguard,"December 22, 2014",2015-02-18,0
409A,283362,1934000,17.48351120310,-89.04013753180,,Moultry,"March 18, 2014",2014-04-23,28
409B,283090,1934101,17.48439059390,-89.04270833720,,Moultry,"April 23, 2014",2014-05-28,35
409C,287509,1932206,17.46770221730,-89.00091952940,,Moultry,"May 28, 2014",2014-07-18,48
409C2,283208,1934953,17.49210700160,-89.04168500000,,Moultry,"July 18, 2014",2014-09-18,50
409D,283208,1934953,17.49210700160,-89.04168500000,,Moultry,"September 18, 2014",2014-11-03,44
409E,283847,1934963,17.49225600160,-89.03566300000,,Moultry,"November 3, 2014",2014-12-22,12
409F,290371,1936481,17.50659100160,-88.97440100000,,Moultry,"December 22, 2014",2015-02-18,23
410A,282533,1934009,17.48350720630,-89.04793749700,,Moultry,"March 18, 2014",2014-04-23,35
410B,282304,1934085,17.48417860560,-89.05010748920,,Moultry,"April 23, 2014",2014-05-28,35
410C,286612,1934360,17.48707324930,-89.00958064220,,Moultry,"May 28, 2014",2014-07-18,50
410C2,291398,1929086,17.43988300160,-88.96401099990,,Moultry,"July 18, 2014",2014-09-18,48
410D,291398,1929086,17.43988300160,-88.96401099990,,Moultry,"September 18, 2014",2014-11-03,44
411B,283544,1931474,17.46071182210,-89.03816724650,,Scoutguard,"April 23, 2014",2014-05-28,35
411C,283393,1933215,17.47642421740,-89.03976300130,,Scoutguard,"May 28, 2014",2014-07-18,48
411F,291694,1928983,17.43897200160,-88.96121999990,,Scoutguard,"December 22, 2014",2015-02-18,47
412B,283420,1931719,17.46290970810,-89.03935827080,,Scoutguard,"April 23, 2014",2014-05-28,35
412C,282701,1934210,17.48534023100,-89.04638108510,,Scoutguard,"May 28, 2014",2014-07-18,48
412D,283343,1933216,17.47642800160,-89.04023500000,,Scoutguard,"September 18, 2014",2014-11-03,44
412E,283384,1933012,17.47459000160,-89.03983000000,,Scoutguard,"November 3, 2014",2014-12-22,14
413C,302854,1927594,17.42743019750,-88.85605776860,,Bushnell,"May 28, 2014",2014-07-18,48
413C2,302850,1927087,17.42285700160,-88.85605199990,,Bushnell,"July 18, 2014",2014-09-18,50
413D,302850,1927087,17.42285700160,-88.85605199990,,Bushnell,"September 18, 2014",2014-11-03,44
413E,305716,1928611,17.43687500160,-88.82921199990,,Scoutguard,"November 3, 2014",2014-12-22,35
413F,305716,1928611,17.43687300160,-88.82921399990,,Scoutguard,"December 22, 2014",2015-02-18,47
