Name,Brand,Days****,Conservation Area,Active Logging,Logged in Year,Hurricane Damage,Fire Damage,Location descr.,Landscape,Notes
401A,Moultry,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
401B,Moultry,0,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,Leaf in front of camera
401C,Moultry,,Yes,No,NA,Yes,Yes,Logging Road,Secondary Forest,
401C2,Moultry,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
401D,Moultry,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
401E,Bushnell,,,,,,,,,
402A,Bushnell,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
402C,Bushnell,,Yes,No,NA,Yes,Yes,Logging Road,Secondary Forest,
402C2,Bushnell,,Yes,No,NA,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",
402D,Bushnell,,Yes,No,NA,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",
402E,Bushnell,,No,No,2013,Yes,No,Logging Road,"Broadleaf forest, broken canopy",
402F,Bushnell,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
403A,Bushnell,,Yes,No,NA,Yes,Yes,Valley,"Broadleaf forest, broken canopy",
403B,Bushnell,,Yes,No,NA,Yes,Yes,Valley,"Broadleaf forest, broken canopy",
403C,Bushnell,,Yes,No,NA,Yes,Yes,Valley,"Broadleaf forest, broken canopy",
403C2,Bushnell,,Yes,No,NA,Yes,Yes,Valley,"Broadleaf forest, broken canopy",
403D,Bushnell,,Yes,No,NA,Yes,Yes,Valley,"Broadleaf forest, broken canopy",
403E,Bushnell,,Yes,No,NA,Yes,Yes,Seismic line,Secondary Forest,
403F,Bushnell,,No,No,2013,Yes,No,Logging Road,"Broadleaf forest, broken canopy",
404B,Scoutguard,,Yes,No,NA,Yes,Yes,Logging Road,Secondary Forest,
404C,Scoutguard,,Yes,No,NA,Yes,Yes,Seismic line,"Broadleaf forest, broken canopy",
404C2,Scoutguard,,Yes,No,NA,Yes,Yes,Excavated Maya site,Secondary Forest,
