site,daysop,year,condition,startday
401A,27,2014,Burned,2014-03-18
401B,0,2014,Burned,2014-04-23
401C,12,2014,Burned,2014-05-28
401C2,60,2014,Burned,2014-07-18
401D,40,2014,Burned,2014-09-18
402C2,60,2014,Burned,2014-07-18
402D,40,2014,Burned,2014-09-18
402E,44,2014,Burned,2014-11-03
402F,47,2014,Burned,2014-12-22
403A,35,2014,Burned,2014-03-18
403B,28,2014,Burned,2014-04-23
403C,60,2014,Burned,2014-05-28
403C2,48,2014,Burned,2014-07-18
403D,44,2014,Burned,2014-09-18
403E,45,2014,Postlogged,2014-11-03
403F,47,2014,Postlogged,2014-12-22
404B,30,2014,Burned,2014-04-23
404C,10,2014,Burned,2014-05-28
404C2,47,2014,Burned,2014-07-18
404D,40,2014,Burned,2014-09-18
404E,37,2014,Burned,2014-11-03
404F,47,2014,Burned,2014-12-22
405A,35,2014,Prelogged,2014-03-18
405B,35,2014,Prelogged,2014-04-23
405C,48,2014,Prelogged,2014-05-28
405C2,50,2014,Prelogged,2014-07-18
405D,44,2014,Prelogged,2014-09-18
405E,32,2014,Prelogged,2014-11-03
405F,47,2014,Postlogged,2014-12-22
406A,35,2014,Prelogged,2014-03-18
406B,35,2014,Prelogged,2014-04-23
406C,45,2014,Prelogged,2014-05-28
406C2,50,2014,Prelogged,2014-07-18
406D,44,2014,Postlogged,2014-09-18
406E,45,2014,Postlogged,2014-11-03
407A,35,2014,Prelogged,2014-03-18
407B,10,2014,Prelogged,2014-04-23
407C,45,2014,Postlogged,2014-05-28
407C2,50,2014,Postlogged,2014-07-18
407D,44,2014,Prelogged,2014-09-18
407E,45,2014,Prelogged,2014-11-03
407F,47,2014,Postlogged,2014-12-22
408B,25,2014,Prelogged,2014-04-23
408C,48,2014,Prelogged,2014-05-28
408C2,50,2014,Prelogged,2014-07-18
408D,5,2014,Postlogged,2014-09-18
408E,4,2014,Postlogged,2014-11-03
409A,28,2014,Prelogged,2014-03-18
409B,35,2014,Prelogged,2014-04-23
409C,48,2014,Postlogged,2014-05-28
409C2,50,2014,Postlogged,2014-07-18
409D,44,2014,Prelogged,2014-09-18
409E,12,2014,Prelogged,2014-11-03
409F,23,2014,Postlogged,2014-12-22
410A,35,2014,Prelogged,2014-03-18
410B,35,2014,Prelogged,2014-04-23
410C,50,2014,Postlogged,2014-05-28
410C2,48,2014,Postlogged,2014-07-18
410D,44,2014,Postlogged,2014-09-18
411B,35,2014,Prelogged,2014-04-23
411C,48,2014,Prelogged,2014-05-28
411F,47,2014,Postlogged,2014-12-22
412B,35,2014,Prelogged,2014-04-23
412C,48,2014,Prelogged,2014-05-28
412D,44,2014,Prelogged,2014-09-18
412E,14,2014,Prelogged,2014-11-03
413C,48,2014,Burned,2014-05-28
413C2,50,2014,Burned,2014-07-18
413D,44,2014,Burned,2014-09-18
413E,35,2014,Burned,2014-11-03
413F,47,2014,Burned,2014-12-22
