site,daysop,condition,startday,removeday,dayscamout
401A,27,Burned,2014-03-18,2014-04-23,37
401B,0,Burned,2014-04-23,2014-05-28,36
401C,12,Burned,2014-05-28,2014-07-18,52
401C2,60,Burned,2014-07-18,2014-09-18,63
401D,40,Burned,2014-09-18,2014-11-03,47
402A,,Burned,2014-03-18,2014-04-23,37
402C,,Burned,2014-05-28,2014-07-18,52
402C2,60,Burned,2014-07-18,2014-09-18,63
402D,40,Burned,2014-09-18,2014-11-03,47
402E,44,Burned,2014-11-03,2014-12-22,50
402F,47,Burned,2014-12-22,2015-02-18,59
403A,35,Burned,2014-03-18,2014-04-23,37
403B,28,Burned,2014-04-23,2014-05-28,36
403C,48,Burned,2014-05-28,2014-07-18,52
403C2,60,Burned,2014-07-18,2014-09-18,63
403D,44,Burned,2014-09-18,2014-11-03,47
403E,45,Postlogged,2014-11-03,2014-12-22,50
403F,47,Postlogged,2014-12-22,2015-02-18,59
404B,30,Burned,2014-04-23,2014-05-28,36
404C,47,Burned,2014-05-28,2014-07-18,52
404C2,10,Burned,2014-07-18,2014-09-18,63
404D,40,Burned,2014-09-18,2014-11-03,47
404E,37,Burned,2014-11-03,2014-12-22,50
404F,47,Burned,2014-12-22,2015-02-18,59
405A,35,Prelogged,2014-03-18,2014-04-23,37
405B,35,Prelogged,2014-04-23,2014-05-28,36
405C,48,Prelogged,2014-05-28,2014-07-18,52
405C2,50,Prelogged,2014-07-18,2014-09-18,63
405D,44,Prelogged,2014-09-18,2014-11-03,47
405E,32,Prelogged,2014-11-03,2014-12-22,50
405F,47,Postlogged,2014-12-22,2015-02-18,59
406A,35,Prelogged,2014-03-18,2014-04-23,37
406B,35,Prelogged,2014-04-23,2014-05-28,36
406C,45,Prelogged,2014-05-28,2014-07-18,52
406C2,50,Prelogged,2014-07-18,2014-09-18,63
406D,44,Postlogged,2014-09-18,2014-11-03,47
406E,45,Postlogged,2014-11-03,2014-12-22,50
406F,,Postlogged,2014-12-22,2015-02-18,59
407A,35,Prelogged,2014-03-18,2014-04-23,37
407B,10,Prelogged,2014-04-23,2014-05-28,36
407C,45,Postlogged,2014-05-28,2014-07-18,52
407C2,50,Postlogged,2014-07-18,2014-09-18,63
407D,44,Prelogged,2014-09-18,2014-11-03,47
407E,45,Prelogged,2014-11-03,2014-12-22,50
407F,47,Postlogged,2014-12-22,2015-02-18,59
408B,25,Prelogged,2014-04-23,2014-05-28,36
408C,48,Prelogged,2014-05-28,2014-07-18,52
408C2,50,Prelogged,2014-07-18,2014-09-18,63
408D,5,Postlogged,2014-09-18,2014-11-03,47
408E,4,Postlogged,2014-11-03,2014-12-22,50
409A,28,Prelogged,2014-03-18,2014-04-23,37
409B,35,Prelogged,2014-04-23,2014-05-28,36
409C,48,Postlogged,2014-05-28,2014-07-18,52
409C2,50,Postlogged,2014-07-18,2014-09-18,63
409D,44,Prelogged,2014-09-18,2014-11-03,47
409E,12,Prelogged,2014-11-03,2014-12-22,50
409F,23,Postlogged,2014-12-22,2015-02-18,59
410A,35,Prelogged,2014-03-18,2014-04-23,37
410B,35,Prelogged,2014-04-23,2014-05-28,36
410C,50,Postlogged,2014-05-28,2014-07-18,52
410C2,48,Postlogged,2014-07-18,2014-09-18,63
410D,44,Postlogged,2014-09-18,2014-11-03,47
411B,35,Prelogged,2014-04-23,2014-05-28,36
411C,48,Prelogged,2014-05-28,2014-07-18,52
411F,47,Postlogged,2014-12-22,2015-02-18,59
412B,35,Prelogged,2014-04-23,2014-05-28,36
412C,48,Prelogged,2014-05-28,2014-07-18,52
412D,44,Prelogged,2014-09-18,2014-11-03,47
412E,14,Prelogged,2014-11-03,2014-12-22,50
413C,48,Burned,2014-05-28,2014-07-18,52
413C2,50,Burned,2014-07-18,2014-09-18,63
413D,44,Burned,2014-09-18,2014-11-03,47
413E,35,Burned,2014-11-03,2014-12-22,50
413F,47,Burned,2014-12-22,2015-02-18,59
