Name,Brand,Date_Place,Time,Date_Remov,Days,Easting,Northing,Lat,Lat,Notes,Compartmen,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape
501C,Bushnell,"April 10, 2015", ,"May 30, 2015",49,292447,1954693,17.67130000150,-88.95662300000, , ,No,Yes,NA,No,No,Along narrow seismic line,Mature forest
502C,Moultrycam,"April 10, 2015", ,"May 30, 2015",1,292758,1955010,17.67419700160,-88.95372800000,Took 3000 pictures in 1 day, ,No,Yes,NA,No,No,Along narrow seismic line,Mature forest
503C,Scoutguard,"April 10, 2015", ,"May 30, 2015",17,291102,1950731,17.63538900160,-88.96890799990,Only took pictures for three weeks, ,Yes,No,No,No,No,Edge of stream,Mature Forest
504C,Scoutguard,"April 10, 2015", ,"May 30, 2015",49,292789,1954318,17.66795100150,-88.95336300000, , ,No,Yes,NA,No,No,Along narrow seismic line,Mature forest
505C,Moultrycam,"April 10, 2015", ,"May 30, 2015",3,289335,1956401,17.68644300160,-88.98611700000, , ,No,Yes,NA,No,No,Along wide logging road,Mature forest
506C,Bushnell,"April 10, 2015", ,"May 30, 2015",16,291308,1950725,17.63535500150,-88.96696700000,"In stream, people only", ,Yes,No,No,No,No,Edge of stream,Mature Forest
507C,Bushnell,"April 10, 2015", ,"May 30, 2015",49,283656,1935412,17.49629400160,-89.03750800000, , ,No,Yes,2015,Yes,No,Along wide logging road,Disturbed High forest
508C,Scoutguard,"April 10, 2015", ,"May 30, 2015",8,280364,1934433,17.48713100160,-89.06840000000,Took mostly movies!, ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
509C,Bushnell,"April 10, 2015", ,"May 30, 2015",49,280114,1935198,17.49401200160,-89.07083300000, , ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
510C,Moultrycam,"April 10, 2015", ,"May 30, 2015",38,282382,1935493,17.49690500160,-89.04950800000, , ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
511C,Moultrycam,"April 10, 2015", ,"May 30, 2015",2,282077,1935175,17.49399500160,-89.05235000000,"Moving branch, 3300 pictures of nothing", ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
512C,Scoutguard,"April 10, 2015", ,"May 30, 2015",8,281740,1935290,17.49500300160,-89.05553600000,"Tons of pictures, too hot?", ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
501D,Bushnell,"May 30, 2015", ,"June 29, 2015",67,292588,1957992,17.70112065720,-88.95562208190, , ,No,Yes,NA,No,No,Along wide logging road,Mature forest
502D,Moultrycam,"May 30, 2015", ,"June 29, 2015",67,291686,1955608,17.67950261550,-88.96388417300, , ,No,Yes,NA,No,No,Along wide logging road,Mature forest
503D,Bushnell,"May 30, 2015", ,"June 29, 2015",67,292559,1958254,17.70348066130,-88.95591808650, , ,No,Yes,NA,No,No,Along wide logging road,Mature forest
504D,Scoutguard,"May 30, 2015", ,"June 29, 2015",67,291590,1956114,17.68406362320,-88.96484318650, , ,No,Yes,NA,No,No,Along wide logging road,Mature forest
505D,Moultrycam,"May 30, 2015", ,"June 29, 2015",24,290391,1956661,17.68888462730,-88.97619332630,Took only 22 useful pictures, ,No,Yes,NA,No,No,Along narrow logging trail,Mature forest
506D,Bushnell,"May 30, 2015", ,"June 29, 2015",67,291532,1956956,17.69166463650,-88.96546519730, , ,No,Yes,NA,No,No,Along narrow logging trail,Mature forest
507D,Bushnell,"May 30, 2015", ,"June 29, 2015",67,283856,1935164,17.49406925150,-89.03559795900, , ,No,Yes,2015,Yes,No,Along wide logging road,Disturbed High forest
508D,Scoutguard,"May 30, 2015", ,"June 29, 2015",6,280218,1935038,17.49258023430,-89.06984037120,Took movies, ,No,Yes,2015,Yes,No,Along wide logging road,Disturbed High forest
509D,Bushnell,"May 30, 2015", ,"June 29, 2015",67,280713,1934457,17.48737722680,-89.06511431180, , ,No,Yes,2015,Yes,No,Along narrow logging trail,Disturbed High forest
