Name,Brand,Date Placement,Date Removed,Days,Northing,Easting,Lat,Long,Notes,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Location
601H,Bushnell,"January 9, 2015","April 21, 2016",106,1956096,291628,17.68390151390,-88.96447968870,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
602H,Moultrycam,"January 9, 2015","April 21, 2016",106,1956524,289220,17.68753989750,-88.98721500690,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
603H,Bushnell,"January 9, 2015","April 21, 2016",98,1957175,291306,17.69361842370,-88.96762035220,,No,No,2015,No,No,At pond,Mature Forest,Laguna Seca
604H,Scoutguard,"January 9, 2015","April 21, 2016",48,1956298,290315,17.68560232140,-88.97687330010,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
605H,Moultrycam,"January 9, 2015","April 21, 2016",9,1955929,290556,17.68229175540,-88.97456569460,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
606H,Scoutguard,"January 9, 2015","April 21, 2016",0,1957653,291468,17.69795175260,-88.96614059150,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
607A,Bushnell,"February 29, 2016","May 20, 2016",82,1934993.94,283483,17.49249924710,-89.03909500050,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
608A,Scoutguard,"February 29, 2016","May 20, 2016",37,1934506,282740,17.48801955060,-89.04604187180,,No,No,2015,Yes,No,Along narrow logging trail,Disturbed High Forest,Yalbac
609A,Bushnell,"February 29, 2016","May 20, 2016",77,1935382.07,283730,17.49602925450,-89.03680697450,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
610A,Moultrycam,"February 29, 2016","May 20, 2016",75,1935522.766,282719,17.49720225270,-89.04634609000,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
611A,Moultrycam,"February 29, 2016","May 20, 2016",19,1935456.716,282087,17.49654424900,-89.05228316130,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
612A,Moultrycam,"February 29, 2016","May 20, 2016",2,1934690.881,283335,17.48974724150,-89.04046201570,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
613A,Scoutguard,"February 29, 2016","May 20, 2016",0,1934531,282531,17.48822510600,-89.04801179510,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
614H,Bushnell,"January 9, 2015","April 21, 2016",46,1957350,291319,17.69520052660,-88.96751505400,,No,No,2015,No,No,At pond,Mature Forest,Laguna Seca
601I,Bushnell,"April 21, 2016","July 5, 2016",14,1955672.809,291732.9954,17.68008845000,-88.96344868650,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
602I,Moultrycam,"April 21, 2016","July 5, 2016",9,1956768.973,290526.9986,17.68987694520,-88.97492192130,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
603I,Bushnell,"April 21, 2016","July 5, 2016",0,1957591.537,292446.4907,17.69748854970,-88.95691255010,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
604I,Scoutguard,"April 21, 2016","July 5, 2016",52,1956331.672,290480.2899,17.68592214970,-88.97531892990,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
605I,Moultrycam,"April 21, 2016","July 5, 2016",75,1955489.141,290611.8585,17.67832354240,-88.97399590360,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
606I,Bushnell,"April 21, 2016","July 5, 2016",0,1956864.96,291361.61,17.69082289540,-88.96706575960,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
607B,Bushnell,"May 20, 2016","July 30, 2016",0,1934874.758,283147.6695,17.49139016580,-89.04224151900,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
608B,Scoutguard,"May 20, 2016","July 30, 2016",4,1934169.97,281332.8739,17.48484720440,-89.05925344600,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
609B,Bushnell,"May 20, 2016","July 30, 2016",71,1935420.408,283663.8286,17.49636913960,-89.03743753820,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
610B,Moultrycam,"May 20, 2016","July 30, 2016",11,1935159.596,282106.5015,17.49386215780,-89.05207147400,,No,No,2015,Yes,No,Along narrow logging trail,Disturbed High Forest,Yalbac
611B,Moultrycam,"May 20, 2016","July 30, 2016",24,1935222.93,281920.4348,17.49441615580,-89.05382946590,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
612B,Moultrycam,"May 20, 2016","July 30, 2016",0,1934364.382,283472.5807,17.48681118670,-89.03913153490,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
613B,Scoutguard,"May 20, 2016","July 30, 2016",0,1934324.443,281626.0466,17.48627119630,-89.05650945760,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
614I,Bushnell,"April 21, 2016","July 5, 2016",75,1958138.327,292555.7272,17.70243829380,-88.95593652940,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
601J,Bushnell,"July 5, 2016","September 8, 2016",61,1955892.942,292495.3321,17.680309,-88.956324,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
602J,Moultrycam,"July 5, 2016","September 8, 2016",15,1956615.659,290333.1831,17.686634,-88.976771,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
603J,Bushnell,"July 5, 2016","September 8, 2016",64,1958198.757,291879.4716,17.701081,-88.962354,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
604J,Bushnell,"July 5, 2016","September 8, 2016",61,1956539.964,289340.9825,17.685856,-88.986114,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
605J,Moultrycam,"July 5, 2016","September 8, 2016",64,1956001.528,290563.1678,17.681108,-88.974543,,No,No,2015,No,No,Along large logging road,Mature Forest,Laguna Seca
606J,Bushnell,"July 5, 2016","September 8, 2016",64,1957370.317,291303.9147,17.693543,-88.967697,,No,No,2015,No,No,At pond,Mature Forest,Laguna Seca
614J,Bushnell,"July 5, 2016","September 8, 2016",64,1956457.678,291329.298,17.685301,-88.967368,,No,No,2015,No,No,Along narrow logging trail,Mature Forest,Laguna Seca
607C,Bushnell,"July 30, 2016","October 21, 2016",83,1934601.873,283500.6742,17.48712,-89.038928,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
608C,Bushnell,"July 30, 2016","October 21, 2016",58,1934429.576,280789.7606,17.4853,-89.064429,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
609C,Bushnell,"July 30, 2016","October 21, 2016",83,1935217.603,283820.4245,17.492713,-89.03598,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
610C,Bushnell,"July 30, 2016","October 21, 2016",83,1935517.445,282719.2885,17.495315,-89.046376,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
611C,Moultrycam,"July 30, 2016","October 21, 2016",67,1935654.01,282177.5093,17.496496,-89.05149,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
612C,Moultrycam,"July 30, 2016","October 21, 2016",6,1934535.869,282367.739,17.486414,-89.049586,,No,No,2015,Yes,No,Along large logging road,Disturbed High Forest,Yalbac
601K,Bushnell,"September 8, 2016","December 7, 2016",0,1955773.138,293611.0474,17.679331,-88.945798,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
602K,Moultrycam,"September 8, 2016","December 7, 2016",7,1956808.685,290536.9232,17.688397,-88.97487,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
603K,Bushnell,"September 8, 2016","December 7, 2016",90,1956871.59,291402.3767,17.689047,-88.96672,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
604K,Bushnell,"September 8, 2016","December 7, 2016",90,1956414.175,290429.3306,17.684823,-88.975845,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
605K,Moultrycam,"September 8, 2016","December 7, 2016",20,1955898.961,290971.0612,17.68022,-88.970689,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
606K,Bushnell,"September 8, 2016","December 7, 2016",71,1956184.801,291489.0159,17.682851,-88.965836,,No,No,2015,Yes,No,Along large logging road,Mature Forest,Laguna Seca
