Name,Brand,Date Placement,Date Removed,Days,Easting,Northing,Lat,Long,Notes,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area
701A,,27-Jan-17,15-May-17,113,1954260,291445,17.665457,-88.966065,,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca
702A,,27-Jan-17,15-May-17,100,1955449,291963,17.67625,-88.961293,,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca
703A,,27-Jan-17,15-May-17,113,1956465,293867,17.685606,-88.943455,,No,Yes,NA,No,No,In secondary bush along drillplatform,Mature Forest,Laguna Seca
704A,,27-Jan-17,15-May-17,0,1956310,292527,17.684077,-88.956071,,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca
705A,,27-Jan-17,15-May-17,0,1956218,293656,17.683358,-88.945418,,No,Yes,NA,No,No,Near dry stream,Mature Forest,Laguna Seca
706A,,27-Jan-17,15-May-17,30,1955257,291944,17.674513,-88.961456,,No,Yes,NA,No,No,Near dry stream,Mature Forest,Laguna Seca
707A,Bushnell,27-Jan-17,15-May-17,17,1957366,291303,17.693507,-88.967704,,No,Yes,NA,No,No,Near pond,Mature Forest,Laguna Seca
703B,,15-May-17,18-Jul-17,4,1957726,294490,17.697052,-88.937708,,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca
704B,,15-May-17,18-Jul-17,0,1955726,292774,17.678824,-88.95368,,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca
705B,,15-May-17,18-Jul-17,0,1957879,296099,17.698585,-88.922554,,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca
708A,,20-Feb-17,15-May-17,77,1930386,292116,17.449853,-88.957415,,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
709A,,20-Feb-17,15-May-17,35,1932774,292905,17.471496,-88.950226,,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
710A,,20-Feb-17,15-May-17,0,1934129,293348,17.483782,-88.94618,,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
711A,,20-Feb-17,15-May-17,37,1943299,287797,17.566096,-88.999345,,No,Yes,NA,Yes,No,Near pond,Hurricane damaged forest,Yalbac
712A,,20-Feb-17,15-May-17,84,1937363,293537,17.51301,-88.944714,,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
713A,,20-Feb-17,15-May-17,57,1942718,287455,17.560817,-89.002509,,No,Yes,NA,Yes,No,Near pond (telebasis pond),Hurricane damaged forest,Yalbac
714A,,20-Feb-17,15-May-17,23,1938061,292331,17.519204,-88.956141,,No,Yes,NA,Yes,No,Small logging road,Hurricane damaged forest,Yalbac
701B,,15-May-17,18-Jul-17,23,1954260,291445,17.665457,-88.966065,,,,,,,,,
702B,,15-May-17,18-Jul-17,63,1955449,291963,17.67625,-88.961293,,,,,,,,,
706B,,15-May-17,18-Jul-17,63,1955257,291944,17.674513,-88.961456,,,,,,,,,
707B,,15-May-17,18-Jul-17,0,1957366,291303,17.693507,-88.967704,,,,,,,,,
708B,,15-May-17,18-Jul-17,63,1930386,292116,17.449853,-88.957415,,,,,,,,,
709B,,15-May-17,18-Jul-17,63,1932774,292905,17.471496,-88.950226,,,,,,,,,
710B,,15-May-17,18-Jul-17,63,1934129,293348,17.483782,-88.94618,,,,,,,,,
711B,,15-May-17,18-Jul-17,0,1943299,287797,17.566096,-88.999345,,,,,,,,,
712B,,15-May-17,18-Jul-17,8,1937363,293537,17.51301,-88.944714,,,,,,,,,
713B,,15-May-17,18-Jul-17,63,1942718,287455,17.560817,-89.002509,,,,,,,,,
714B,,15-May-17,18-Jul-17,63,1938061,292331,17.519204,-88.956141,,,,,,,,,
701D,,18-Jul-17,27-Sep-17,70,1955685,292340,17.67841497,-88.95777203,,,,,,,,,
702D,,18-Jul-17,27-Sep-17,70,1955450,291966,17.6762615,-88.9612672,,,,,,,,,
703D,,18-Jul-17,27-Sep-17,0,1957084,293853,17.69119905,-88.94364769,,,,,,,,,
704D,,18-Jul-17,27-Sep-17,0,1955720,292782,17.67877221,-88.95361008,,,,,,,,,
705D,,18-Jul-17,27-Sep-17,0,1956476,293759,17.68569281,-88.94446869,,,,,,,,,
706D,,18-Jul-17,27-Sep-17,70,1955265,291942,17.67458713,-88.96148144,,,,,,,,,
707D,,18-Jul-17,27-Sep-17,42,1954601,292233,17.66861527,-88.9586725,,,,,,,,,
708D,,18-Jul-17,29-Aug-17,13,1936906,294891,17.50900867,-88.93192635,,,,,,,,,
709D,,18-Jul-17,29-Aug-17,0,1936717,295276,17.50733321,-88.92828098,,,,,,,,,
710D,,18-Jul-17,29-Aug-17,0,1936611,294454,17.50630366,-88.93600599,,,,,,,,,
711D,,18-Jul-17,29-Aug-17,30,1943305,287797,17.56614667,-88.9993461,,,,,,,,,
712D,,18-Jul-17,29-Aug-17,16,1940833,295032,17.54449496,-88.930975,,,,,,,,,
713D,,18-Jul-17,29-Aug-17,16,1942752,287470,17.56112742,-89.00236987,,,,,,,,,
