Name,Brand,Date Placement,Date Removed,Last record,Days,Easting,Northing,Lat,Long,Notes,Site,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area
801D,Moultrie,22-May-18,27-Jun-18,22-May-18,0,292711,1955727,17.67883100,-88.95427600,,Yalbac,no,,,,,,
801E,Moultrie,27-Jun-18,10-Sep-18,1-Jul-18,4,292709,1955722,17.67878500,-88.95429000,,Yalbac,no,,,,,,
802A,Moultrie,2-Jan-18,5-Mar-18,14-Feb-18,43,291990,1954863,17.67096100,-88.96098100,,Yalbac,no,,,,,,
803A,Bushnell,2-Jan-18,5-Mar-18,5-Mar-18,63,289440,1956750,17.68776500,-88.98520200,,Yalbac,no,,,,,,
803B,Bushnell,5-Mar-18,20-Apr-18,20-Apr-18,46,289436,1956746,17.68772500,-88.98523700,,Yalbac,no,,,,,,
803D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,293723,1956073,17.68204800,-88.94477600,,Yalbac,no,,,,,,
804A,Moultrie,2-Jan-18,5-Mar-18,2-Feb-18,31,288916,1956673,17.68701900,-88.99013400,,Yalbac,no,,,,,,
804C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,288918,1956756,17.68776800,-88.99012000,,Yalbac,no,,,,,,
805B,Bushnell,5-Mar-18,20-Apr-18,20-Apr-18,46,290411,1956668,17.68711500,-88.97604600,,Yalbac,no,,,,,,
807A,Bushnell,2-Jan-18,5-Mar-18,5-Mar-18,63,292291,1954813,17.67053600,-88.95814200,,Yalbac,no,,,,,,
807B,Bushnell,5-Mar-18,20-Apr-18,20-Apr-18,46,291485,1956145,17.68248700,-88.96587400,,Yalbac,no,,,,,,
807D,Bushnell,22-May-18,27-Jun-18,25-Jun-18,34,289277,1956284,17.68354000,-88.98669600,,Yalbac,no,,,,,,
807E,Bushnell,27-Jun-18,10-Sep-18,1-Jul-18,4,289279,1956285,17.68354300,-88.98667000,,Yalbac,no,,,,,,
809F,Bushnell,10-Sep-18,17-Nov-18,10-Oct-18,23,290102,1941262,17.54791200,-88.97744200,,Laguna Seca,no,,,,,,
809G,Bushnell,17-Nov-18,28-Dec-18,28-Dec-18,34,286007,1941916,17.555272,-89.016028,,Laguna Seca,no,,,,,,
810A,Bushnell,2-Jan-18,5-Mar-18,2-Jan-18,0,286074,1935994,17.49994600,-89.01484200,,Laguna Seca,no,,,,,,
810B,Bushnell,5-Mar-18,20-Apr-18,20-Apr-18,46,286075,1935996,17.49995700,-89.01483100,,Laguna Seca,no,,,,,,
810C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,286074,1935990,17.49990600,-89.01484000,,Laguna Seca,no,,,,,,
810D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,285371,1935931,17.49930500,-89.02145100,,Laguna Seca,no,,,,,,
810E,Bushnell,27-Jun-18,10-Sep-18,10-Sep-18,75,285378,1935930,17.49929700,-89.02139300,,Laguna Seca,no,,,,,,
810F,Bushnell,10-Sep-18,17-Nov-18,17-Nov-18,68,285385,1935920,17.49920800,-89.02131900,,Laguna Seca,no,,,,,,
