Name,Logging,Property,Brand,Date Placement,Date Removed,Last record,Days,Easting,Northing,Lat,Long
901C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190621,61,285889,1950244,17.62971900,-89.01799200
902C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190621,61,286518,1952294,17.64830000,-89.01227400
903C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190621,61,285914,1952575,17.65077400,-89.01799000
903D,Logging,Laguna Seca,Bushnell,20190621,20190727,20190727,36,285918,1952575,17.65077300,-89.01795400
903E,Logging,Laguna Seca,Bushnell,20190727,20190823,20190728,1,286130,1952672,17.65061100,-89.01598800
903F,Logging,Laguna Seca,Bushnell,20190823,20191012,20191012,50,290794,1952424,17.64880800,-88.97201300
903G,Logging,Laguna Seca,Bushnell,20191012,20191208,20191208,57,286085,1952722,17.65105400,-89.01641800
904C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190514,23,285451,1950446,17.63149800,-89.02214300
904D,Logging,Laguna Seca,Bushnell,20190621,20190727,20190727,36,285443,1950443,17.63146800,-89.02221900
904E,Logging,Laguna Seca,Bushnell,20190727,20190823,20190824,27,286166,1950431,17.63036900,-89.01541600
904F,Logging,Laguna Seca,Bushnell,20190823,20191012,20191006,44,286322,1950233,17.62859500,-89.01392700
904G,Logging,Laguna Seca,Bushnell,20191012,20191208,20191205,54,286004,1950333,17.62946300,-89.01693700
905C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190531,40,285900,1956312,17.68453200,-89.01849900
905D,Logging,Laguna Seca,Bushnell,20190621,20190727,20190706,15,285725,1956356,17.68491400,-89.02015900
905E,Logging,Laguna Seca,Bushnell,20190727,20190823,20190824,27,285545,1956709,17.68702100,-89.02190600
905F,Logging,Laguna Seca,Bushnell,20190823,20191012,20191012,50,285540,1956712,17.68704400,-89.02195000
905G,Logging,Laguna Seca,Bushnell,20191012,20191208,20191015,3,285482,1956923,17.68894500,-89.02252000
906C,Logging,Laguna Seca,Bushnell,20190421,20190621,20190621,61,291550,1953023,17.65536100,-88.96493000
