Name,Logging,Property,Brand,Date Placement,Date Removed,Last record,Days,Easting,Northing,Lat,Long,,,,,
01A,No,Yalbac,Bushnel,20200201,20200314,20200314,43,284283,1938201,17.51971200,-89.03192500,,,,,
02A,No,Yalbac,Bushnel,20200201,20200314,20200314,43,284995,1938088,17.51875300,-89.02521500,,,,,
03A,No,Yalbac,Bushnel,20200201,20200314,20200314,43,284479,1939227,17.52899100,-89.03017900,,,,,
04A,No,Laguna Seca,Bushnel,20200201,20200314,20200314,43,286227,1954694,17.66888500,-89.01527300,,,,,
05A,No,Laguna Seca,Bushnel,20200201,20200314,20200314,43,285539,1956765,17.68752000,-89.02196700,,,,,
06A,No,Yalbac,Bushnel,20200201,20200314,20200314,43,286075,1935603,17.49640800,-89.01479500,,,,,
11A,No,Laguna Seca,Bushnel,20200201,20200314,20200314,43,290901,1952397,17.64857700,-88.97100100,,,,,
12A,No,Laguna Seca,Bushnel,20200201,20200314,20200314,43,286165,1950274,17.62894700,-89.01541500,,,,,
13A,No,Laguna Seca,Bushnel,20200201,20200314,20200314,43,289492,1951376,17.63922100,-88.98418000,,,,,
01B,Yes,Yalbac,Bushnel,20200314,20200509,20200509,53,286795,1939898,17.53528000,-89.00844200,,,,,
02B,Yes,Yalbac,Bushnel,20200314,20200509,20200403,18,284998,1938089,17.51876800,-89.02518300,,,,,
03B,Yes,Yalbac,Bushnel,20200314,20200509,20200507,51,284474,1939228,17.52900600,-89.03022600,,,,,
04B,Yes,Laguna Seca,Bushnel,20200314,20200422,20200422,69,287639,1949425,17.62142200,-89.00144600,,,,,
05B,No,Laguna Seca,Bushnel,20200314,20200422,20200422,69,285537,1956759,17.68746800,-89.02198000,,,,,
06B,No,Yalbac,Bushnel,20200314,20200509,20200315,1,285059,1935829,17.49835700,-89.02438500,,,,,
11B,Yes,Laguna Seca,Bushnel,20200314,20200422,20200314,1,290911,1952392,17.64853000,-88.97090700,,,,,
12B,No,Laguna Seca,Bushnel,20200314,20200422,20200522,69,286513,1952783,17.65165000,-89.01238700,,,,,
13B,Yes,Laguna Seca,Bushnel,20200314,20200422,20200430,47,289492,1951376,17.63922100,-88.98418000,,,,,
01C,Yes,Yalbac,Bushnel,20200509,20200613,20200613,35,286793,1939897,17.53526600,-89.00846200,,,,,
02C,Yes,Yalbac,Bushnel,20200509,20200613,20200613,35,285590,1938106,17.51897900,-89.01961000,,,,,
03C,Yes,Yalbac,Bushnel,20200509,20200613,20200613,35,284478,1939229,17.52901000,-89.03019500,,,,,
06C,Yes,Yalbac,Bushnel,20200509,20200613,20200613,35,286216,1936445,17.50402900,-89.01355500,,,,,
04C,Yes,Laguna Seca,Bushnel,20200522,20200613,20200611,20,288509,1951219,17.63770700,-88.99342700,,,,,
05C,No,Laguna Seca,Bushnel,20200522,20200627,20200627,36,285349,1956946,17.68914100,-89.02377100,,,,,
11C,Yes,Laguna Seca,Bushnel,20200522,20200627,20200627,36,290853,1951848,17.64361000,-88.97140600,,,,,
12C,No,Laguna Seca,Bushnel,20200522,20200627,20200627,36,286025,1953545,17.65847900,-89.01706300,,,,,
13C,Yes,Laguna Seca,Bushnel,20200522,20200627,20200627,36,289865,1951697,17.64215300,-88.98069800,,,,,
01D,Yes,Yalbac,Bushnel,20200613,20200718,20200718,36,284079,1939085,17.52767300,-89.03393300,,,,,
02D,Yes,Yalbac,Bushnel,20200613,20200718,20200718,36,284809,1938170,17.51947900,-89.02696600,,,,,
03D,Yes,Yalbac,Bushnel,20200613,20200718,20200718,36,284201,1939112,17.52793000,-89.03278700,,,,,
06D,Yes,Yalbac,Bushnel,20200613,20200718,20200613,0,285397,1935913,17.49914900,-89.02120800,,,,,
04D,Yes,Laguna Seca,Bushnel,20200627,20200808,20200808,41,287464,1948463,17.61271800,-89.00299800,,,,,
05D,No,Laguna Seca,Bushnel,20200627,20200808,20200808,41,285350,1956957,17.68923900,-89.02376800,,,,,
11D,Yes,Laguna Seca,Bushnel,20200627,20200808,20200808,41,290851,1951849,17.64362100,-88.97142600,,,,,
12D,No,Laguna Seca,Bushnel,20200627,20200808,20200703,6,286018,1953549,17.65851800,-89.01712400,,,,,
13D,Yes,Laguna Seca,Bushnel,20200627,20200808,20200808,41,289870,1951695,17.64213900,-88.98064900,,,,,
02E,Yes,Yalbac,Bushnel,20200718,20200822,20200822,35,284808,1938170,17.519475,-89.026982,,,,,
03E,Yes,Yalbac,Bushnel,20200718,20200822,20200822,35,284206,1939118,17.527981,-89.032738,,,,,
04E,Yes,Laguna Seca,Bushnel,20200808,20200919,20200908,32,287465,1948470,17.61277500,-89.00299100,,,,,
06E,Yes,Yalbac,Bushnel,20200808,20200919,20200808,0,285420,1935916,17.499174,-89.020995,,,,,
11E,Yes,Laguna Seca,Bushnel,20200808,20200919,20200919,43,290905,1952384,17.64846300,-88.97096900,,,,,
12E,Yes,Laguna Seca,Bushnel,20200808,20200919,20200812,4,285829,1953728,17.66011600,-89.01892500,,,,,
13E,Yes,Laguna Seca,Bushnel,20200808,20200919,20200919,43,289293,1951344,17.63891200,-88.98604900,,,,,
01F,Yes,Laguna Seca,Bushnel,20200822,20200919,20200915,24,284751,1939654,17.53287600,-89.02766500,,,,,
02F,Yes,Laguna Seca,Bushnel,20200822,20200919,20200919,28,284986,1938087,17.51874300,-89.02529900,,,,,
03F,Yes,Laguna Seca,Bushnel,20200822,20200919,20200919,28,284574,1939502,17.53149200,-89.02931900,,,,,
01G,Yes,Yalbac,Bushnel,20200919,20201024,20201024,35,284473,1939228,17.529,-89.030236,,,,,
02G,Yes,Yalbac,Bushnel,20200919,20201024,20201024,35,284926,1938068,17.518568,-89.02586,,,,,
03G,Yes,Yalbac,Bushnel,20200919,20201024,20201024,35,284578,1939508,17.531539,-89.029275,,,,,
04F,Yes,Laguna Seca,Bushnel,20200919,20201024,20201018,29,286800,1948689,17.61469500,-89.00927300,,,,,
05F,No,Laguna Seca,Bushnel,20200919,20201024,20201018,29,285912,1955271,17.674066,-89.0183,,,,,
06G,Yes,Yalbac,Bushnel,20200919,20201024,20201024,35,285950,1936022,17.500181,-89.016015,,,,,
11F,No,Laguna Seca,Bushnel,20200919,20201024,20201024,35,290902,1952395,17.648562,-88.970998,,,,,
12F,No,Laguna Seca,Bushnel,20200919,20201024,20201016,27,285821,1953720,17.660044,-89.019,,,,,
13F,Yes,Laguna Seca,Bushnel,20200919,20201024,20201024,35,289288,1951348,17.638948,-88.986102,,,,,
01H,Yes,Yalbac,Bushnel,20201024,20201128,20201128,35,284474,1939211,17.52885,-89.030233,,,,,
02H,Yes,Yalbac,Bushnel,20201024,20201128,20201128,35,284930,1938067,17.518558,-89.02582,,,,,
03H,Yes,Yalbac,Bushnel,20201024,20201128,20201125,32,284100,1939133,17.528113,-89.033738,,,,,
04G,Yes,Laguna Seca,Bushnel,20201024,20201128,20201128,35,286794,1948687,17.614674,-89.009328,,,,,
06H,Yes,Yalbac,Bushnel,20201024,20201128,20201128,35,285400,1935914,17.499154,-89.021176,,,,,
12G,No,Laguna Seca,Bushnel,20201024,20201024,20201111,18,285708,1954139,17.663823,-89.020105,,,,,
13G,No,Laguna Seca,Bushnel,20201024,20201128,20201128,35,288353,1950631,17.63238,-88.994834,,,,,
