Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,,,,
Yalbac401b,401,B,306056,1928108,0,0,0,0,0,0,0,0,0,Moultrie,,,,
Yalbac403A,403,A,291031,1926154,986,Agouti,1,2014,4,17,9.17,9,,Bushnell,,,,
Yalbac410B,410,B,282304,1934085,79,Agouti,1,2014,5,12,6.41,6.5,,Moultrie,,,,
Yalbac405B,405,B,283454,1932033,340,Agouti,1,2014,5,28,5.34,5.5,,Moultrie,,,,
Yalbac405C,405,C,283406,1933798,13,Agouti,1,2014,5,30,6.48,6.5,,Moultrie,,,,
Yalbac409C,409,C,287509,1932206,13,Agouti,1,2014,6,6,8.32,8.5,,Moultrie,,,,
Yalbac404C,404,C,304607,1927908,51,Agouti,1,2014,6,7,7.54,7.5,,HCO ScoutGuard,,,,
Yalbac405C,405,C,283406,1933798,72,Agouti,1,2014,6,7,5.42,5.5,,Moultrie,,,,
Yalbac406C,406,C,283359,1934195,73,Agouti,1,2014,6,11,14.12,14,,Bushnell,,,,
Yalbac405C,405,C,283406,1933798,112,Agouti,1,2014,6,12,8.21,8,,Moultrie,,,,
Yalbac403C,403,C,290976,1926510,143,Agouti,1,2014,6,15,5.51,5.5,,Bushnell,,,,
Yalbac409C,409,C,287509,1932206,100,Agouti,1,2014,6,16,12.05,12,,Moultrie,,,,
Yalbac409C,409,C,287509,1932206,115,Agouti,1,2014,6,17,6.26,6,,Moultrie,,,,
Yalbac405C,405,C,283406,1933798,280,Agouti,1,2014,7,6,10.03,10,,Moultrie,,,,
Yalbac409C,409,C,287509,1932206,217,Agouti,2,2014,7,8,6.4,6.5,,Moultrie,,,,
Yalbac406C,406,C,283359,1934195,184,Agouti,1,2014,7,9,6.26,6,,Bushnell,,,,
Yalbac406C,406,C,283359,1934195,187,Agouti,1,2014,7,13,17.37,17.5,,Bushnell,,,,
Yalbac412C,412,C,282701,1934210,173,Agouti,2,2014,7,15,10.43,10.5,,HCO ScoutGuard,,,,
Yalbac412C,412,C,282701,1934210,176,Agouti,1,2014,7,15,11.02,11,,HCO ScoutGuard,,,,
Yalbac412C,412,C,282701,1934210,205,Agouti,1,2014,7,17,10.07,10,,HCO ScoutGuard,,,,
Yalbac413C,413,C2,302854,1927594,70,Agouti,1,2014,7,26,17.22,17,,Bushnell,,,,
Yalbac413C,413,C2,302854,1927594,95,Agouti,1,2014,8,1,13.45,13.5,,Bushnell,,,,
Yalbac401,401,C2,306148,1928079,75,Agouti,1,2014,8,6,11.39,11.5,,Moultricam,,,,
Yalbac407,407,C2,287745,1932109,65,Agouti,1,2014,8,9,8.56,8.5,,Bushnell,,,,
Yalbac402,402,C2,303764,1927657,47,Agouti,1,2014,8,11,8.35,8.5,,Bushnell,,,,
Yalbac413C,413,C2,302854,1927594,188,Agouti,1,2014,8,12,6.55,6.5,,Bushnell,,,,
Yalbac402,402,C2,303764,1927657,56,Agouti,1,2014,8,13,5.49,5.5,,Bushnell,,,,
Yalbac413C,413,C2,302854,1927594,454,Agouti,1,2014,8,17,11.08,11,,Bushnell,,,,
Yalbac407,407,C2,287745,1932109,73,Agouti,1,2014,8,19,8.54,8.5,,Bushnell,,,,
Yalbac408,408,C2,283344,1933425,1147,Agouti,1,2014,9,1,5.52,5.5,,HCO ScoutGuard,,,,
Yalbac402,402,C2,303764,1927657,191,Agouti,1,2014,9,5,6.25,6,,Bushnell,,,,
Yalbac401,401,C2,306148,1928079,164,Agouti,1,2014,9,6,14.4,14.5,,Moultricam,,,,
Yalbac402,402,C2,303764,1927657,206,Agouti,1,2014,9,9,9.57,9.5,,Bushnell,,,,
Yalbac402,402,C2,303764,1927657,210,Agouti,1,2014,9,9,10.26,10,,Bushnell,,,,
Yalbac402,402,C2,303764,1927657,220,Agouti,1,2014,9,10,15.14,15,,Bushnell,,,,
Yalbac402,402,C2,303764,1927657,244,Agouti,1,2014,9,17,6.51,6.5,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,68,Agouti,1,2014,9,20,7.25,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,31,Agouti,1,2014,9,22,14.34,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,34,Agouti,1,2014,9,23,6.47,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,37,Agouti,1,2014,9,23,7.42,,,Bushnell,,,,
Yalbac413D,413,D,302850,1927087,31,Agouti,1,2014,9,24,18.11,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,43,Agouti,1,2014,9,25,10.29,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,71,Agouti,1,2014,9,25,8.21,,,ScoutGuard,,,,
Yalbac413D,413,D,302850,1927087,70,Agouti,1,2014,9,29,8.4,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,58,Agouti,1,2014,10,4,5.57,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,61,Agouti,1,2014,10,4,6.57,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,78,Agouti,1,2014,10,6,6.03,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,67,Agouti,1,2014,10,8,8.37,,,Bushnell,,,,
Yalbac405D,405,D,283565,1934622,121,Agouti,1,2014,10,8,10.3,,,Moultrie,,,,
Yalbac402D,402,D,303878,1927199,70,Agouti,1,2014,10,9,7.55,,,Bushnell,,,,
Yalbac405D,405,D,283565,1934622,130,Agouti,1,2014,10,9,11.13,,,Moultrie,,,,
Yalbac402D,402,D,303878,1927199,73,Agouti,1,2014,10,10,13.51,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,76,Agouti,1,2014,10,11,11.47,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,85,Agouti,1,2014,10,13,6.01,,,Bushnell,,,,
Yalbac401D,401,D,305786,1928483,61,Agouti,1,2014,10,16,14.5,,,Moultricam,,,,
Yalbac405D,405,D,283565,1934622,148,Agouti,1,2014,10,16,10.42,,,Moultrie,,,,
Yalbac407D,407,D,283444,1934825,106,Agouti,1,2014,10,16,10.53,,,Bushnell,,,,
Yalbac407D,407,D,283444,1934825,109,Agouti,1,2014,10,16,11.28,,,Bushnell,,,,
Yalbac407D,407,D,283444,1934825,112,Agouti,1,2014,10,17,11.03,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,94,Agouti,1,2014,10,22,6.57,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,97,Agouti,1,2014,10,22,7.42,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,100,Agouti,1,2014,10,22,8.49,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,222,Agouti,1,2014,10,22,8.33,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,103,Agouti,1,2014,10,23,6.56,,,Bushnell,,,,
Yalbac413D,413,D,302850,1927087,175,Agouti,1,2014,10,24,7.35,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,231,Agouti,1,2014,10,25,11.14,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,112,Agouti,1,2014,10,26,6.2,,,Bushnell,,,,
Yalbac403D,403,D,290967,1926303,176,Agouti,1,2014,10,26,8.41,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,133,Agouti,1,2014,10,31,8.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,52,Agouti,1,2014,11,7,8.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,60,Agouti,1,2014,11,7,9.35,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,88,Agouti,1,2014,11,8,6.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,109,Agouti,1,2014,11,10,10.12,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,112,Agouti,1,2014,11,11,8.41,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,118,Agouti,2,2014,11,11,11.23,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,139,Agouti,1,2014,11,13,6.3,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,58,Agouti,1,2014,11,19,7.29,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,190,Agouti,1,2014,11,20,8.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,196,Agouti,1,2014,11,21,10.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,256,Agouti,1,2014,11,26,8.25,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,268,Agouti,1,2014,11,28,8.56,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,274,Agouti,1,2014,11,29,7.01,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,286,Agouti,1,2014,11,30,15.35,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,289,Agouti,1,2014,11,30,17.05,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,301,Agouti,1,2014,12,2,9.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,325,Agouti,1,2014,12,3,7.01,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,103,Agouti,1,2014,12,4,8.27,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,331,Agouti,1,2014,12,4,10.34,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,109,Agouti,1,2014,12,5,8.52,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,334,Agouti,1,2014,12,6,8.32,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,346,Agouti,1,2014,12,7,6.43,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,362,Agouti,1,2014,12,8,10.45,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,373,Agouti,1,2014,12,8,14.51,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,376,Agouti,1,2014,12,9,8.03,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,379,Agouti,1,2014,12,9,16.46,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,409,Agouti,1,2014,12,11,12.09,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,415,Agouti,1,2014,12,12,13.03,,,Bushnell,,,,
Yalbac404E,404,E,304653,1927840,439,Agouti,2,2014,12,13,6.15,,Mother with juv,ScoutGuard,,,,
Yalbac407E,407,E,284554,1935262,430,Agouti,1,2014,12,15,9.14,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,433,Agouti,1,2014,12,15,16.16,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,442,Agouti,1,2014,12,16,14.34,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,451,Agouti,1,2014,12,18,7.01,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,454,Agouti,1,2014,12,18,9.37,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,22,Agouti,1,2014,12,26,10.45,,,Bushnell,,,,
Yalbac411F,411,F,291694,1928983,319,Agouti,1,2014,12,30,9.31,,,ScoutGuard,,,,
Yalbac404F,404,F,304653,1927840,850,Agouti,1,2015,1,1,8.5,,,ScoutGuard,,,,
Yalbac407F,407,F,288175,1935951,25,Agouti,1,2015,1,5,12.13,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,73,Agouti,1,2015,1,8,12.38,,,Bushnell,,,,
Yalbac402F,402,F,303762,1927588,67,Agouti,1,2015,1,13,7.14,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,112,Agouti,1,2015,1,13,15.58,,,Bushnell,,,,
Yalbac404F,404,F,304653,1927840,868,Agouti,1,2015,1,14,6.54,,,ScoutGuard,,,,
Yalbac403F,403,F,291689,1929549,634,Agouti,1,2015,1,16,16.35,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,130,Agouti,1,2015,1,17,6.43,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,664,Agouti,1,2015,1,20,16.27,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,796,Agouti,1,2015,1,28,9.01,,,Bushnell,,,,
Yalbac402F,402,F,303762,1927588,118,Agouti,1,2015,2,1,11.17,,,Bushnell,,,,
Yalbac412D,412,D,283343,1933216,84,Ameiva undata,1,2014,9,28,11.29,,,ScoutGuard,,,,
Yalbac408,408,C2,283344,1933425,649,Bare-throated Tiger Heron,1,2014,7,26,14.46,14.5,,HCO ScoutGuard,,,,
Yalbac401,401,C2,306148,1928079,152,Black-faced Anthrush,3,2014,8,27,11.52,11.5,,Moultricam,,,,
Yalbac406A,406,A,283348,1933228,243,Blue-crowned Mot-mot,1,2014,4,11,5.5,5.5,,Bushnell,,,,
Yalbac409A,409,A,283362,1934000,20,Central American Tapir,1,2014,3,20,7.29,7,male,Moultriecam,,,,
Yalbac401a,401,A,299505,1927437,17,Central American Tapir,1,2014,3,22,9.08,9,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,40,Central American Tapir,1,2014,3,27,15.33,15.5,,Moultrie,,,,
Yalbac409A,409,A,283362,1934000,96,Central American Tapir,1,2014,3,27,5.13,5,,Moultriecam,,,,
Yalbac405A,405,A,283423,1932759,85,Central American Tapir,1,2014,3,28,6.08,6,,Moultrie,,,,
Yalbac406A,406,A,283348,1933228,126,Central American Tapir,1,2014,3,29,22.28,22,male,Bushnell,,,,
Yalbac409A,409,A,283362,1934000,101,Central American Tapir,1,2014,3,29,5.25,5,male,Moultriecam,,,,
Yalbac405A,405,A,283423,1932759,109,Central American Tapir,1,2014,3,30,6.35,6.5,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,79,Central American Tapir,1,2014,4,7,4.13,4,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,91,Central American Tapir,1,2014,4,13,2.06,2,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,109,Central American Tapir,1,2014,4,17,12.07,12,,Moultrie,,,,
