Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac506G,506,G,,,460,Agouti,1,2016,1,2,17.24,17.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,589,Agouti,1,2016,1,4,17.09,17,,Bushnell,506G,292534,1956194,
Yalbac510H,510,H,,,370,Agouti,1,2016,1,6,16.12,16,,Moultrie,510H,282719,1935522.766,
Yalbac507H,507,H,,,664,Agouti,1,2016,1,29,7.05,7,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,751,Agouti,1,2016,2,7,6.47,7,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,813,Agouti,1,2016,2,11,6.02,6,Interaction with Curassow,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,2326,Agouti,1,2016,2,11,17.23,17.5,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,838,Agouti,1,2016,2,12,7.59,8,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,850,Agouti,1,2016,2,13,11.28,11.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,895,Agouti,1,2016,2,16,5.58,6,Time off,Bushnell,507H,283483,1934993.94,
Yalbac504c,504,C,,,52,Agouti,1,2015,4,17,9.46,10,,Scoutguard,504 C,292789,1954318,
Yalbac504c,504,C,,,58,Agouti,2,2015,4,21,10.04,10,,Scoutguard,504 C,292789,1954318,
Yalbac509c,509,C,,,67,Agouti,1,2015,5,1,6.36,6.5,,Bushnell,509 C,280114,1935198,
Yalbac504c,504,C,,,156,Agouti,1,2015,5,2,9.54,10,,Scoutguard,504 C,292789,1954318,
Yalbac504c,504,C,,,166,Agouti,1,2015,5,5,10.24,10.5,,Scoutguard,504 C,292789,1954318,
Yalbac504c,504,C,,,190,Agouti,1,2015,5,7,8.55,9,,Scoutguard,504 C,292789,1954318,
Yalbac501c,501,C,,,272,Agouti,1,2015,5,10,5.52,6,,Bushnell,501 C,292447,1954693,
Yalbac507c,507,C,,,301,Agouti,1,2015,5,12,8.12,8,,Bushnell,507 C,283656,1935412,
Yalbac504c,504,C,,,784,Agouti,1,2015,5,17,8.16,8.5,,Scoutguard,504 C,292789,1954318,
Yalbac507c,507,C,,,346,Agouti,1,2015,5,22,8.22,8.5,,Bushnell,507 C,283656,1935412,
Yalbac504c,504,C,,,949,Agouti,1,2015,5,23,15.34,15.5,,Scoutguard,504 C,292789,1954318,
Yalbac504c,504,C,,,952,Agouti,1,2015,5,23,15.59,16,,Scoutguard,504 C,292789,1954318,
Yalbac507c,507,C,,,361,Agouti,2,2015,5,29,7.13,7,,Bushnell,507 C,283656,1935412,
