Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location
Yalbac 601 H,601,H,70,Agouti,1,2016,2,18,7.22,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,37,Gray fox,1,2016,2,9,3.2,male bird,Bushnell,Laguna Seca
Yalbac 601 H,601,H,97,Gray fox,1,2016,3,1,13.21,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,103,Gray fox,1,2016,3,5,23.47,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,130,Gray fox,1,2016,4,5,12.18,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,23,Great Curassow,1,2016,1,27,17.9,walking,Bushnell,Laguna Seca
Yalbac 601 H,601,H,36,Great Curassow,1,2016,2,8,17.28,male bird,Bushnell,Laguna Seca
Yalbac 601 H,601,H,62,Great Curassow,1,2016,2,15,10.16,male bird,Bushnell,Laguna Seca
Yalbac 601 H,601,H,100,Great Curassow,1,2016,3,5,16.36,male bird,Bushnell,Laguna Seca
Yalbac 601 H,601,H,81,Margay,1,2016,2,24,18.1,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,91,Margay,1,2016,2,29,23.03,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,55,Ocelot,1,2016,2,13,16.35,speed run,Bushnell,Laguna Seca
Yalbac 601 H,601,H,128,Ocelot,1,2016,3,25,20.4,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,13,Puma,1,2016,1,12,20.28,Preying,Bushnell,Laguna Seca
Yalbac 601 H,601,H,18,Puma,1,2016,1,12,20.4,preying,Bushnell,Laguna Seca
Yalbac 601 H,601,H,133,Spider Monkey,2,2016,4,19,17,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,58,Tayra,1,2016,2,14,12.08,feeding,Bushnell,Laguna Seca
Yalbac 601 H,601,H,42,unknown,1,2016,2,11,2.33,running rapid,Bushnell,Laguna Seca
Yalbac 601 H,601,H,7,White-nosed Coati,1,2016,1,9,9:36 PM,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,77,White-nosed Coati,1,2016,1,24,14.49,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,75,White-nosed Coati,1,2016,2,23,17.4,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,108,White-nosed Coati,1,2016,3,11,15.55,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,109,White-nosed Coati,1,2016,3,18,9.35,,Bushnell,Laguna Seca
Yalbac 601 H,601,H,115,White-tailed Deer,1,2016,3,24,6.57,,Bushnell,Laguna Seca
Yalbac 601 I,601,I,34,Agouti,1,2016,5,5,5.42,,Bushnell,Laguna Seca
Yalbac 601 I,601,I,1,Great Curassow,2,2016,4,22,7.37,Pair,Bushnell,Laguna Seca
Yalbac 601 I,601,I,7,Great Curassow,2,2016,4,22,18.06,Pair,Bushnell,Laguna Seca
Yalbac 601 I,601,I,13,Great Curassow,1,2016,4,24,7.06,Female,Bushnell,Laguna Seca
Yalbac 601 I,601,I,16,Great Curassow,1,2016,4,25,6.43,Female,Bushnell,Laguna Seca
Yalbac 601 I,601,I,28,Great Curassow,1,2016,4,29,5.42,Female,Bushnell,Laguna Seca
Yalbac 601 I,601,I,31,Great Curassow,1,2016,5,5,4.56,Male,Bushnell,Laguna Seca
Yalbac 601 I,601,I,25,Ocellated Turkey,1,2016,4,26,7.2,,Bushnell,Laguna Seca
Yalbac 601 J,601,J,7,Agouti,1,2016,7,6,6.43,,,Laguna Seca
Yalbac 601 J,601,J,16,Agouti,1,2016,7,8,5.05,,,Laguna Seca
Yalbac 601 J,601,J,28,Agouti,1,2016,7,16,6.32,,,Laguna Seca
Yalbac 601 J,601,J,37,Agouti,1,2016,7,21,9.27,,,Laguna Seca
Yalbac 601 J,601,J,61,Agouti,1,2016,7,25,7.01,,,Laguna Seca
Yalbac 601 J,601,J,113,Agouti,1,2016,7,29,5.01,,,Laguna Seca
Yalbac 601 J,601,J,64,Collared Pecary,3,2016,7,25,7.36,,,Laguna Seca
Yalbac 601 J,601,J,31,Crested guan,1,2016,7,16,10.58,,,Laguna Seca
Yalbac 601 J,601,J,40,Gray fox,1,2016,7,21,21.13,,,Laguna Seca
Yalbac 601 J,601,J,49,Great Curassow,1,2016,7,23,14.11,,,Laguna Seca
Yalbac 601 J,601,J,115,Great Curassow,1,2016,7,29,8.17,,,Laguna Seca
Yalbac 601 J,601,J,244,Great Curassow,1,2016,8,24,6.33,,,Laguna Seca
Yalbac 601 J,601,J,121,Margay,1,2016,7,30,22.22,,,Laguna Seca
Yalbac 601 J,601,J,97,Ocellated Turkey,2,2016,7,28,12.45,,,Laguna Seca
Yalbac 601 J,601,J,275,Ocelot,1,2016,9,5,0.47,,,Laguna Seca
Yalbac 601 J,601,J,10,Paca,1,2016,7,7,3.3,,,Laguna Seca
Yalbac 601 J,601,J,19,Paca,1,2016,7,9,21.22,,,Laguna Seca
Yalbac 601 J,601,J,85,Paca,1,2016,7,27,22.56,,,Laguna Seca
Yalbac 601 J,601,J,127,Paca,1,2016,8,2,23.05,,,Laguna Seca
Yalbac 601 J,601,J,130,Paca,1,2016,8,4,23.46,,,Laguna Seca
Yalbac 601 J,601,J,88,Puma,1,2016,7,27,23.32,,,Laguna Seca
Yalbac 601 J,601,J,22,Red Brocket Deer,1,2016,7,10,8.05,,,Laguna Seca
Yalbac 601 J,601,J,58,Red Brocket Deer,1,2016,7,24,5.52,,,Laguna Seca
Yalbac 601 J,601,J,82,Red Brocket Deer,1,2016,7,26,16.41,,,Laguna Seca
Yalbac 601 J,601,J,148,Red Brocket Deer,1,2016,8,14,22.33,,,Laguna Seca
Yalbac 601 J,601,J,265,Red Brocket Deer,1,2016,9,4,9.32,,,Laguna Seca
Yalbac 601 J,601,J,13,White-tailed Deer,1,2016,7,7,14.45,,,Laguna Seca
Yalbac 601 J,601,J,34,White-tailed Deer,1,2016,7,18,5.33,,,Laguna Seca
Yalbac 601 J,601,J,46,White-tailed Deer,1,2016,7,22,9.5,,,Laguna Seca
Yalbac 601 J,601,J,79,White-tailed Deer,1,2016,7,26,9.29,,,Laguna Seca
Yalbac 601 J,601,J,109,White-tailed Deer,1,2016,7,28,16.4,,,Laguna Seca
Yalbac 601 J,601,J,133,White-tailed Deer,1,2016,8,5,13.09,,,Laguna Seca
Yalbac 601 J,601,J,136,White-tailed Deer,1,2016,8,5,15.44,,,Laguna Seca
Yalbac 601 J,601,J,151,White-tailed Deer,1,2016,8,18,5.49,,,Laguna Seca
Yalbac 601 J,601,J,154,White-tailed Deer,1,2016,8,18,7.23,,,Laguna Seca
Yalbac 601 J,601,J,157,White-tailed Deer,1,2016,8,18,18.17,,,Laguna Seca
Yalbac 601 J,601,J,163,White-tailed Deer,1,2016,8,19,9.07,,,Laguna Seca
Yalbac 601 J,601,J,196,White-tailed Deer,1,2016,8,20,1.18,,,Laguna Seca
Yalbac 601 J,601,J,215,White-tailed Deer,1,2016,8,20,8.59,,,Laguna Seca
Yalbac 601 J,601,J,247,White-tailed Deer,1,2016,8,25,11.13,,,Laguna Seca
Yalbac 601 J,601,J,250,White-tailed Deer,1,2016,8,31,6.34,,,Laguna Seca
Yalbac 601 J,601,J,253,White-tailed Deer,1,2016,9,2,23.07,,,Laguna Seca
Yalbac 601 J,601,J,256,White-tailed Deer,1,2016,9,3,5.58,,,Laguna Seca
Yalbac 602 H,602,H,3861,Crested Guan,2,2016,2,24,11.09,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3879,Crested Guan,1,2016,3,15,6.54,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3850,Gray fox,1,2016,2,8,4.48,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3858,Gray fox,1,2016,2,10,12.48,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3866,Gray fox,1,2016,2,27,5.33,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3822,Margay,1,2016,1,13,3.28,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3870,Ocelot,1,2016,3,4,1.37,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3825,unknown,1,2016,1,14,9.05,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3855,unknown,1,2016,2,9,1.03,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3830,White-tailed Deer,1,2016,1,15,2.31,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3831,White-tailed Deer,1,2016,1,18,7.17,,Moultrie cam,Laguna Seca
Yalbac 602 H,602,H,3843,White-tailed Deer,1,2016,1,24,3.28,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3846,White-tailed Deer,1,2016,2,2,5.33,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3852,White-tailed Deer,2,2016,2,8,10.41,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3876,White-tailed Deer,1,2016,3,11,5.27,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3888,White-tailed Deer,1,2016,3,17,3.34,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3909,White-tailed Deer,1,2016,3,26,8.01,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3927,White-tailed Deer,1,2016,4,4,9.04,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3930,White-tailed Deer,1,2016,4,6,11.47,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3933,White-tailed Deer,1,2016,4,6,8.49,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3949,White-tailed Deer,1,2016,4,12,5.29,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3953,White-tailed Deer,1,2016,4,12,9.12,,Moultrie Cam,Laguna Seca
Yalbac 602 H,602,H,3967,White-tailed Deer,1,2016,4,15,5.3,,Moultrie Cam,Laguna Seca
Yalbac 602 I,602,I,3993,Great Curassow,1,2016,4,30,5.37,Female,Moultrie Cam,Laguna Seca
Yalbac 602 I,602,I,3981,Jaguar,1,2016,4,24,20.48,,Moultrie Cam,Laguna Seca
Yalbac 602 I,602,I,3990,Ocellated Turkey,1,2016,4,29,9.04,,Moultrie Cam,Laguna Seca
Yalbac 602 J,602,J,4087,Puma,1,2016,7,24,7.15,,,Laguna Seca
Yalbac 602 J,602,J,4007,White-tailed Deer,1,2016,7,7,9.58,,,Laguna Seca
Yalbac 602 K,602,K,4094,Chachalaka,1,2016,9,9,2.33,,,Laguna Seca
Yalbac 602 K,602,K,4096,White-tailed Deer,3,2016,9,14,9.1,,,Laguna Seca
Yalbac 602 K,602,K,4102,White-tailed Deer,2,2016,9,15,12.22,,,Laguna Seca
Yalbac 603 H,603,H,1120104,Agouti,1,2016,1,11,0.29,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1130112,Agouti,1,2016,1,13,2.52,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,3010437,Agouti,1,2016,3,1,8.11,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4090447,Agouti,1,2016,4,9,9.4,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1190180,Clay coloured Thrush,1,2016,1,19,16.37,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2060357,Commn Opossum,1,2016,2,6,0.19,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2120397,Commn Opossum,1,2016,2,12,23.46,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1090008,Dragon fly,1,2016,1,9,11.03,Video,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1180172,Dragon fly,1,2016,1,18,12.53,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2020316,Dragon fly,1,2016,2,2,12.34,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2080384,Dragon fly,2,2016,2,8,1.03,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2040345,Flycatcher,1,2016,2,4,13.14,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300263,Gray fox,1,2016,1,30,1.5,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1140124,Gray Hawk,1,2016,1,14,12.57,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2040348,Gray hawk,1,2016,2,4,1.14,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,3010433,Gray-headed Dove,1,2016,3,1,8.1,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,3010441,Gray-headed Dove,1,2016,3,1,8.13,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4110465,Gray-headed Dove,1,2016,4,11,5.27,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4110476,Gray-headed Dove,1,2016,4,11,7,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1140116,Great Curassow,1,2016,1,14,7.02,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1150128,Great Curassow,1,2016,1,15,7.17,drinking water,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1150129,Great Curassow,1,2016,1,15,7.19,male bird,Bushnell,Laguna Seca
