Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
Yalbac 701A,701,A,4219,Baird's Tapir,1,2017,2,8,3.19,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4300,Great Curassow,1,2017,3,5,9.14,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4309,Great Curassow,1,2017,3,13,8.57,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4357,Great Curassow,1,2017,4,15,14.56,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4399,Great Curassow,3,2017,5,11,17.35,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4327,Ocellated Turkey,1,2017,4,1,6.07,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4396,Ocellated Turkey,1,2017,5,10,6.24,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4390,Puma,1,2017,5,6,23.27,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4453,Puma,2,2017,5,15,4.35,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4342,Red Brocket Deer,1,2017,4,11,17.31,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4222,White-lipped Peccary,15,2017,2,13,6.27,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4120,White-tailed Deer,1,2017,1,29,22.11,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4123,White-tailed Deer,1,2017,1,30,21.29,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4204,White-tailed Deer,1,2017,2,3,8.19,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4288,White-tailed Deer,1,2017,2,22,14.17,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4297,White-tailed Deer,1,2017,3,4,17.5,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4306,White-tailed Deer,1,2017,3,6,14.55,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4319,White-tailed Deer,1,2017,3,15,9.42,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4324,White-tailed Deer,1,2017,3,26,9.02,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4333,White-tailed Deer,1,2017,4,8,6.43,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4336,White-tailed Deer,1,2017,4,9,13.48,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4339,White-tailed Deer,1,2017,4,10,16.52,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4345,White-tailed Deer,1,2017,4,12,16.22,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4348,White-tailed Deer,1,2017,4,13,6.23,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4354,White-tailed Deer,1,2017,4,15,12.13,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4366,White-tailed Deer,1,2017,4,17,15.01,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4372,White-tailed Deer,1,2017,4,22,2.57,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4378,White-tailed Deer,1,2017,4,26,5.35,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4381,White-tailed Deer,1,2017,4,27,15.19,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4387,White-tailed Deer,2,2017,5,4,14.19,Bambi,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4393,White-tailed Deer,1,2017,5,9,6.44,,Moultrie,Laguna Seca,No
Yalbac 701A,701,A,4447,White-tailed Deer,1,2017,5,12,3.3,,Moultrie,Laguna Seca,No
Yalbac 701B,701,B,4498,Ocelot,1,2017,5,24,5.03,,Moultrie,Laguna Seca,No
Yalbac 701B,701,B,4705,Ocelot,1,2017,6,7,4.52,,Moultrie,Laguna Seca,No
Yalbac 701B,701,B,4471,Red Brocket Deer,1,2017,5,16,5.49,,Moultrie,Laguna Seca,No
Yalbac 701B,701,B,4486,Red Brocket Deer,1,2017,5,18,20.44,,Moultrie,Laguna Seca,No
Yalbac 701B,701,B,4489,Red Brocket Deer,1,2017,5,23,4.56,,Moultrie,Laguna Seca,No
