Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,813A,287746,1943221,813,a,22,Agouti,1,,1,15,17.01,,bushnell,813A,Laguna Seca,no,,
,813A,287746,1943221,813,a,28,Agouti,1,,1,16,9.21,,bushnell,813A,Laguna Seca,no,,
,813A,287746,1943221,813,a,31,Agouti,1,,1,17,16.26,,bushnell,813A,Laguna Seca,no,,
,813A,287746,1943221,813,a,37,Agouti,1,,1,20,13.32,,bushnell,813A,Laguna Seca,no,,
,803A,289440,1956750,803,a,38,Agouti,1,,1,3,14.24,,bushnell,803A,Yalbac,no,,
,804A,288916,1956673,804,a,49,Agouti,1,,1,4,8.44,,moultrie,804A,Yalbac,no,,
,813A,287746,1943221,813,a,49,Agouti,1,,1,24,10.43,,bushnell,813A,Laguna Seca,no,,
,804A,288916,1956673,804,a,52,Agouti,1,,1,4,17.22,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,58,Agouti,1,,1,5,6.34,,moultrie,804A,Yalbac,no,,
,813A,287746,1943221,813,a,61,Agouti,1,,1,25,11.35,,bushnell,813A,Laguna Seca,no,,
,804A,288916,1956673,804,a,64,Agouti,1,,1,5,17.59,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,67,Agouti,1,,1,6,8.38,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,70,Agouti,1,,1,7,9.24,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,76,Agouti,1,,1,8,17.41,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,100,Agouti,1,,1,11,17.51,,moultrie,804A,Yalbac,no,,
,814A,289441,1941086,814,a,101,Agouti,1,,1,26,8.41,,bushnell,814A,Laguna Seca,no,,
,804A,288916,1956673,804,a,106,Agouti,1,,1,12,7.44,,moultrie,804A,Yalbac,no,,
,803A,289440,1956750,803,a,116,Agouti,1,,1,8,17.23,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,131,Agouti,1,,1,9,15.40,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,149,Agouti,1,,1,10,9.34,,bushnell,803A,Yalbac,no,,
,807A,292291,1954813,807,a,158,Agouti,1,,1,18,13.41,,bushnell,807A,Yalbac,no,,
,807A,292291,1954813,807,a,166,Agouti,1,,1,19,17.43,,bushnell,807A,Yalbac,no,,
,807A,292291,1954813,807,a,174,Agouti,1,,1,22,8.53,,bushnell,807A,Yalbac,no,,
,804A,288916,1956673,804,a,208,Agouti,1,,1,22,8.25,,moultrie,804A,Yalbac,no,,
,804A,288916,1956673,804,a,211,Agouti,1,,1,24,7.38,,moultrie,804A,Yalbac,no,,
,803A,289440,1956750,803,a,213,Agouti,1,,1,15,8.38,,bushnell,803A,Yalbac,no,,
,804A,288916,1956673,804,a,218,Agouti,1,,1,24,17.43,,moultrie,804A,Yalbac,no,,
,807A,292291,1954813,807,a,225,Agouti,1,,2,4,7.11,,bushnell,807A,Yalbac,no,,
,807A,292291,1954813,807,a,229,Agouti,1,,2,4,8.25,,bushnell,807A,Yalbac,no,,
,803A,289440,1956750,803,a,230,Agouti,1,,1,16,17.32,,bushnell,803A,Yalbac,no,,
,804A,288916,1956673,804,a,234,Agouti,1,,1,31,6.33,,moultrie,804A,Yalbac,no,,
,807A,292291,1954813,807,a,249,Agouti,1,,2,7,12.26,,bushnell,807A,Yalbac,no,,
