Location,Camera,Easting,Northing,Lat,Long,Cam nr,series,picture,species name,Scientific Name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,28,Agouti,Dasyprocta punctata,1,2019,3,10,7.26,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,36,Agouti,Dasyprocta punctata,1,2019,3,10,8.01,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,40,Agouti,Dasyprocta punctata,1,2019,3,10,9.01,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,43,Agouti,Dasyprocta punctata,1,2019,3,10,16.58,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,46,Great Curassow,Crax rubra,1,2019,3,10,17.32,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,58,Agouti,Dasyprocta punctata,1,2019,3,11,7.01,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,64,Agouti,Dasyprocta punctata,1,2019,3,12,6.42,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,67,Agouti,Dasyprocta punctata,1,2019,3,12,7.35,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,70,Agouti,Dasyprocta punctata,1,2019,3,12,7.52,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,76,Agouti,Dasyprocta punctata,1,2019,3,12,8.40,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,79,Ocellated Turkey,Meleagris ocellata,1,2019,3,12,16.06,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,82,Agouti,Dasyprocta punctata,1,2019,3,12,16.54,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,85,Ocellated Turkey,Meleagris ocellata,1,2019,3,13,7.06,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,88,Agouti,Dasyprocta punctata,1,2019,3,13,8.24,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,91,Wood Thrush,Hylocichla mustelina,1,2019,3,13,13.26,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,103,Agouti,Dasyprocta punctata,1,2019,3,14,6.46,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,107,Agouti,Dasyprocta punctata,1,2019,3,15,8.02,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,113,Agouti,Dasyprocta punctata,1,2019,3,15,11.02,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,130,Ocellated Turkey,Meleagris ocellata,1,2019,3,15,15.22,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,136,Gray-headed Dove,Leptotila plumbeiceps,1,2019,3,16,12.49,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,139,Agouti,Dasyprocta punctata,1,2019,3,16,17.09,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,142,Agouti,Dasyprocta punctata,1,2019,3,17,6.29,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,157,Agouti,Dasyprocta punctata,1,2019,3,17,15.19,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,160,Agouti,Dasyprocta punctata,1,2019,3,17,16.18,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,169,White-tailed Deer,Odocoileus virginianus,1,2019,3,18,4.16,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,208,Gray-headed Dove,Leptotila plumbeiceps,1,2019,3,18,9.19,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,214,Agouti,Dasyprocta punctata,1,2019,3,19,6.20,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,220,Deppe's Squirrel,Sciurus deppei,1,2019,3,19,6.50,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,223,Agouti,Dasyprocta punctata,1,2019,3,20,5.56,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,226,Wood Thrush,Hylocichla mustelina,1,2019,3,20,6.56,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,235,Collared Pecary,Pecari tajacu,1,2019,3,20,16.23,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,250,Agouti,Dasyprocta punctata,1,2019,3,21,7.23,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,256,Puma,Puma concolor,1,2019,3,21,7.51,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,259,Collared Pecary,Pecari tajacu,1,2019,3,21,15.43,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,298,Collared Pecary,Pecari tajacu,1,2019,3,22,0.51,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,304,Agouti,Dasyprocta punctata,1,2019,3,22,8.01,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,310,Agouti,Dasyprocta punctata,1,2019,3,23,6.04,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,313,White-tailed Deer,Odocoileus virginianus,1,2019,3,23,7.11,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,316,Agouti,Dasyprocta punctata,1,2019,3,23,8.34,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,322,Ocellated Turkey,Meleagris ocellata,1,2019,3,24,9.46,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,328,Agouti,Dasyprocta punctata,1,2019,3,25,9.24,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,331,Ocellated Turkey,Meleagris ocellata,1,2019,3,25,9.26,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,337,Ocellated Turkey,Meleagris ocellata,1,2019,3,25,14.01,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,346,Black-faced Antthrush,Formicarius analis,1,2019,3,25,16.49,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,352,Collared Pecary,Pecari tajacu,1,2019,3,26,10.08,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,355,Gray-headed Dove,Leptotila plumbeiceps,1,2019,3,26,11.02,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,358,Ocellated Turkey,Meleagris ocellata,1,2019,3,26,15.21,,bushnell,No Logging
Laguna Seca,901B,283780,1951003,17.63636500,-89.03794300,901,B,361,Agouti,Dasyprocta punctata,1,2019,3,26,15.24,,bushnell,No Logging
