Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,133,White-lipped Peccary,Tayassu pecari,Mammal,48,,2020,9,23,11.24,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,671,White-lipped Peccary,Tayassu pecari,Mammal,39,,2020,9,7,12.18,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,707,White-lipped Peccary,Tayassu pecari,Mammal,24,,2020,9,7,14.39,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,779,White-lipped Peccary,Tayassu pecari,Mammal,19,,2020,9,8,9.44,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,627,White-lipped Peccary,Tayassu pecari,Mammal,17,,2020,9,6,15.47,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,747,White-lipped Peccary,Tayassu pecari,Mammal,15,,2020,9,8,8.47,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,595,White-lipped Peccary,Tayassu pecari,Mammal,14,,2020,9,6,14.09,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,440,White-lipped Peccary,Tayassu pecari,Mammal,12,,2020,8,13,6.34,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,9,White-nosed Coati,Nasua narica,Mammal,10,,2020,9,11,17.50,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3076,White-lipped Peccary,Tayassu pecari,Mammal,8,,2020,4,15,17.27,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,139,Great Curassow,Crax rubra,Bird,7,,2020,9,2,13.43,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,311,Great Curassow,Crax rubra,Bird,7,,2020,9,2,15.22,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,28,Ocellated Turkey,Meleagris ocellata,Bird,7,,2020,7,22,6.39,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,2929,White-lipped Peccary,Tayassu pecari,Mammal,7,,2020,4,10,15.08,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,679,White-lipped Peccary,Tayassu pecari,Mammal,6,,2020,9,7,13.14,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,41,White-nosed Coati,Nasua narica,Mammal,6,,2020,9,15,15.47,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,891,Great Curassow,Crax rubra,Bird,5,,2020,9,13,5.30,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,931,Great Curassow,Crax rubra,Bird,5,,2020,9,13,6.01,,,,
04C,Yes,Laguna Seca,288509,1951219,17.63770700,-88.99342700,4,C,,126,White-lipped Peccary,Tayassu pecari,Mammal,5,,2020,6,5,9.55,,,,
11D,Yes,Laguna Seca,290851,1951849,17.64362100,-88.97142600,11,D,,46,Collared Pecary,Pecari tajacu,Mammal,5,,2020,7,23,16.43,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,57,Great Curassow,Crax rubra,Bird,5,,2020,9,23,5.56,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,209,Ocellated Turkey,Meleagris ocellata,Bird,5,,2020,10,29,6.41,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,298,Great Curassow,Crax rubra,Bird,5,,2020,8,16,6.20,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,125,White-nosed Coati,Nasua narica,Mammal,5,,2020,10,1,16.01,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,133,White-nosed Coati,Nasua narica,Mammal,5,,2020,10,2,16.59,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,379,Great Curassow,Crax rubra,Bird,4,,2020,9,5,8.07,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,515,Great Curassow,Crax rubra,Bird,4,,2020,9,5,10.11,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,547,Great Curassow,Crax rubra,Bird,4,,2020,9,5,10.33,,,,
04C,Yes,Laguna Seca,288509,1951219,17.63770700,-88.99342700,4,C,,199,Great Curassow,Crax rubra,Bird,4,,2020,6,11,13.50,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,148,Ocellated Turkey,Meleagris ocellata,Bird,4,,2020,7,3,6.53,,,,
