"","species","effect","2.5","97.5","variable"
"1","Agouti",-1.3242652899907,-3.08125959507762,-0.203437266168538,"NDVI"
"2","Baird's tapir",-1.05502334484647,-2.57540467507044,0.00803168186018246,"NDVI"
"3","Crested Guan",-0.359293767283718,-2.03358404704328,0.888923693116766,"NDVI"
"4","Gray-headed Dove",-0.429043572281925,-1.30686347690857,0.151730558151277,"NDVI"
"5","Gray Fox",0.270893677060021,-0.26702689891654,1.00256024153499,"NDVI"
"6","Great Curassow",-0.394509190880827,-1.3795506503519,0.225412658790467,"NDVI"
"7","Jaguar",-0.541118720885294,-1.88860431710468,0.291301066394194,"NDVI"
"8","Ocellated Turkey",-0.396071554841506,-1.31931086347831,0.170108973644856,"NDVI"
"9","Ocelot",-0.918540265784151,-2.59342755908731,0.0639242466857935,"NDVI"
"10","Paca",-0.402547446609165,-1.33860749832691,0.218425098011597,"NDVI"
"11","Puma",-0.783424723410609,-2.58156043996386,0.165998061905942,"NDVI"
"12","Red Brocket Deer",0.476908323234888,-0.532112490535473,1.6860944000062,"NDVI"
"13","White-nosed Coati",-0.682986061716535,-2.40579115632493,0.443667548186746,"NDVI"
"14","White-tailed Deer",0.458184647563255,-0.0440372255731132,1.30355261272923,"NDVI"
