"","species","effect","2.5","97.5","variable"
"1","Agouti",0.366800373764436,-0.500923660429702,1.57702132844471,"Mean Biomass"
"2","Baird's tapir",-1.35156795225755,-2.66936738660358,-0.461523720270033,"Mean Biomass"
"3","Crested Guan",0.735268656561068,-0.266023011702079,1.91352406122891,"Mean Biomass"
"4","Gray-headed Dove",-0.38300821562432,-1.48870502936038,0.423016874142088,"Mean Biomass"
"5","Gray Fox",-1.12124055178141,-2.16470348991363,-0.382299747844784,"Mean Biomass"
"6","Great Curassow",-0.99843394045524,-1.99626059496684,-0.326483674653659,"Mean Biomass"
"7","Jaguar",-1.6509181113014,-3.43523800149638,-0.396593329085198,"Mean Biomass"
"8","Ocellated Turkey",-0.796515529122701,-1.65244910616378,-0.173714465672949,"Mean Biomass"
"9","Ocelot",-0.767369389010079,-1.82631728241855,0.105437177331228,"Mean Biomass"
"10","Paca",-0.0307601182101204,-0.967571678098857,0.823640106221695,"Mean Biomass"
"11","Puma",-1.30602635585345,-2.52488889764759,-0.45352485904033,"Mean Biomass"
"12","Red Brocket Deer",-1.06930348705159,-2.5106177000026,-0.054534057573016,"Mean Biomass"
"13","White-nosed Coati",-1.19041078970885,-2.3661349633556,-0.345727254366117,"Mean Biomass"
"14","White-tailed Deer",0.230007313113787,-0.469810837674165,1.14792281837193,"Mean Biomass"
