"","species","effect","2.5","97.5","variable"
"1","Agouti",-1.68796934994801,-3.6421850782023,-0.155761605104135,"Natural Disturbance"
"2","Baird's tapir",-0.635748666353063,-2.24176204546722,0.733894325638535,"Natural Disturbance"
"3","Crested Guan",0.781628251337309,-1.06584406017738,2.64719835904591,"Natural Disturbance"
"4","Gray-headed Dove",0.982727228313961,-0.497479131901421,2.65030937705218,"Natural Disturbance"
"5","Gray Fox",-1.42798158237085,-3.01445733273817,-0.143587563592444,"Natural Disturbance"
"6","Great Curassow",-1.0403833060702,-2.46104510511455,0.208379004795418,"Natural Disturbance"
"7","Jaguar",0.650464088451625,-1.16664298218383,2.68715852717795,"Natural Disturbance"
"8","Ocellated Turkey",-1.78766493567454,-3.46991265009517,-0.573956533275411,"Natural Disturbance"
"9","Ocelot",-0.674940267783742,-2.35974078488186,1.03354162984888,"Natural Disturbance"
"10","Paca",0.154871803571345,-1.46159753609858,1.6799514762943,"Natural Disturbance"
"11","Puma",-1.13941148971255,-2.78003712035337,0.399566723915524,"Natural Disturbance"
"12","Red Brocket Deer",0.588358948102047,-1.05396396541711,2.39730993144447,"Natural Disturbance"
"13","White-nosed Coati",-1.8777799127664,-3.88969814716344,-0.330356069508522,"Natural Disturbance"
"14","White-tailed Deer",-1.78594474805436,-3.69717746461316,-0.541078128499406,"Natural Disturbance"
