"","species","effect","2.5","97.5","variable"
"1","Agouti",0.212898623517803,-1.03634544054138,1.62148344325019,"Logging"
"2","Baird's tapir",-0.56259396796258,-1.94443529156512,0.522330004905885,"Logging"
"3","Crested Guan",-1.02309842113862,-2.92695415188863,0.423433436220569,"Logging"
"4","Gray-headed Dove",-0.703582568574646,-2.30865541731041,0.469102070363017,"Logging"
"5","Gray Fox",1.29133947592763,0.192745699976207,2.95297964931575,"Logging"
"6","Great Curassow",0.347928660221974,-0.662404408115809,1.63376289015092,"Logging"
"7","Jaguar",0.311152234835012,-1.25812537674923,1.91961946807173,"Logging"
"8","Ocellated Turkey",0.240928055787254,-0.699176110814355,1.40800315612492,"Logging"
"9","Ocelot",0.387372048702995,-0.915476808471459,1.98508634748549,"Logging"
"10","Paca",-0.596220174269924,-2.13922502611319,0.617380496366819,"Logging"
"11","Puma",0.497870786677385,-0.696370359181929,2.04841840266258,"Logging"
"12","Red Brocket Deer",-0.641187478532261,-2.20896687033227,0.711164718332135,"Logging"
"13","White-nosed Coati",-0.15467937396675,-1.40229280780018,1.09869406580809,"Logging"
"14","White-tailed Deer",1.01153199591192,0.0265145571657362,2.57832498122418,"Logging"
