"","species","effect","2.5","97.5","variable"
"1","Agouti",-0.1150278762088,-0.910943970968155,0.629862898391274,"Distance to Roads"
"2","Baird's tapir",-1.16508250320328,-2.44376001198353,-0.316501220910525,"Distance to Roads"
"3","Crested Guan",0.368419865032631,-0.528499229075176,1.55838040212478,"Distance to Roads"
"4","Gray-headed Dove",-0.16995037794253,-0.966897986196417,0.511619293464158,"Distance to Roads"
"5","Gray Fox",-1.07905526260462,-2.16797670420977,-0.385204291440048,"Distance to Roads"
"6","Great Curassow",-0.509838546301256,-1.22875257338175,-0.0576030748410238,"Distance to Roads"
"7","Jaguar",-0.972035149099493,-2.30410680336192,-0.000480958796601377,"Distance to Roads"
"8","Ocellated Turkey",-0.461877122402797,-1.16484939786098,-0.0148627665400443,"Distance to Roads"
"9","Ocelot",0.166643052207273,-0.582301012644102,1.10172240646323,"Distance to Roads"
"10","Paca",-0.846429871673266,-2.01618281122789,-0.0684132212629508,"Distance to Roads"
"11","Puma",0.592972467671993,-0.183545377268192,1.94276885715344,"Distance to Roads"
"12","Red Brocket Deer",0.719417389134818,-0.213574836909823,2.10043045559925,"Distance to Roads"
"13","White-nosed Coati",1.01573832761363,0.222500859322036,2.40989942252257,"Distance to Roads"
"14","White-tailed Deer",-0.0529127840254071,-0.61913971423754,0.497323436597353,"Distance to Roads"
