"","species","effect","2.5","97.5","variable"
"1","Agouti",-0.288464036718981,-1.58011661184935,0.964222012724859,"Season"
"2","Baird's tapir",-0.000286265048228074,-1.11412087558885,1.08796803215974,"Season"
"3","Crested Guan",-0.690714480758209,-2.42058007281099,0.712504009367841,"Season"
"4","Gray-headed Dove",0.0482230310394468,-1.20285136426251,1.23541655542267,"Season"
"5","Gray Fox",0.224856964235028,-0.771321513884877,1.40949313859163,"Season"
"6","Great Curassow",-0.0795333135164919,-1.07994911749982,1.00503493660749,"Season"
"7","Jaguar",0.505707012492113,-1.0190633373667,2.19584946118721,"Season"
"8","Ocellated Turkey",-0.631055146424212,-1.71194736975708,0.231665038554023,"Season"
"9","Ocelot",0.581810908002455,-0.661871154751762,2.13445984015651,"Season"
"10","Paca",1.18429164347895,0.0248802775999404,2.71221640210883,"Season"
"11","Puma",0.3510910923096,-0.825453742834854,1.80310652376575,"Season"
"12","Red Brocket Deer",1.39369248590769,0.0780221660116229,3.11286676994308,"Season"
"13","White-nosed Coati",-0.106810012937389,-1.29806656502977,1.11703524802926,"Season"
"14","White-tailed Deer",0.49302879852937,-0.426428607926606,1.75329812751819,"Season"
