"","species","effect","2.5","97.5","variable"
"1","Agouti",4.44020182966945,1.44951957996259,8.6537179174669,"Site"
"2","Baird's tapir",3.04935336352238,0.297143592678517,6.28487923871019,"Site"
"3","Crested Guan",4.33096814971284,1.0038022377832,8.50719526324259,"Site"
"4","Gray-headed Dove",3.78540473532869,0.668439200504334,7.61274579125687,"Site"
"5","Gray Fox",3.30429124745708,0.468275427004844,6.69711363477581,"Site"
"6","Great Curassow",2.57649579144453,0.172739640077213,5.97430429530479,"Site"
"7","Jaguar",4.39777353427077,1.28588374678845,8.22974274950187,"Site"
"8","Ocellated Turkey",2.67044115883514,0.228205253021481,6.01737226386398,"Site"
"9","Ocelot",3.81328678975463,0.729027173092474,7.68770101990072,"Site"
"10","Paca",3.98235010546885,0.847159661279579,7.82124888488038,"Site"
"11","Puma",2.54610799512617,0.136484731257259,6.14655251943849,"Site"
"12","Red Brocket Deer",4.5089853916922,1.30357805456969,8.41740751022591,"Site"
"13","White-nosed Coati",3.11366259036914,0.231963201293048,6.85639143793896,"Site"
"14","White-tailed Deer",2.81647159293779,0.152285484217953,6.36026807425825,"Site"
