"","species","effect","2.5","97.5","variable"
"1","Agouti",-0.499488220968506,-1.39230172775446,0.164643830588679,"Distance to Streams"
"2","Baird's tapir",-0.521416178472493,-1.31526559906035,0.0437141281958995,"Distance to Streams"
"3","Crested Guan",0.375699721250706,-0.466544080707672,1.40428242003756,"Distance to Streams"
"4","Gray-headed Dove",-0.613012834431455,-1.51240553861554,-0.00256155578505055,"Distance to Streams"
"5","Gray Fox",0.154984827253978,-0.383277759040119,0.775776245729921,"Distance to Streams"
"6","Great Curassow",-0.1638192454341,-0.768280574431454,0.363981799466617,"Distance to Streams"
"7","Jaguar",-0.198383170064548,-1.18781031182677,0.779481213265599,"Distance to Streams"
"8","Ocellated Turkey",-0.326255993198492,-0.95774050251251,0.125248337850016,"Distance to Streams"
"9","Ocelot",-0.0885667837751963,-0.86391451036659,0.692400702476019,"Distance to Streams"
"10","Paca",-0.802813741684931,-1.82365244716703,-0.126684646310079,"Distance to Streams"
"11","Puma",-0.221402884718322,-0.997943442396177,0.552364943606154,"Distance to Streams"
"12","Red Brocket Deer",-0.0259179063807546,-0.852062822099858,0.816418946197593,"Distance to Streams"
"13","White-nosed Coati",-0.977828276326071,-2.1209511280557,-0.277426414749466,"Distance to Streams"
"14","White-tailed Deer",0.705520527773303,0.195480175269781,1.59166219608524,"Distance to Streams"
