Species ,effect,2.5,97.5,variable,,,,Covariate,Logging ,Distance to Roads,Mean AGB,Distance to Streams,NDVI,Season,Natural Disturbance,Site (random effect)
Agouti,1.046843285,-0.354798956,2.641259442,Intercept,,,,Mean|SD|95% BCI,,,,,,,,
Baird's tapir,-1.543963296,-3.514818456,-0.22826151,Intercept,,,Species Common Name,,,,,,,,,
Crested Guan,-1.353358753,-3.353412975,0.260224974,Intercept,,,,,,,,,,,,
Gray-headed Dove,-2.455621787,-4.758123658,-0.898977622,Intercept,,,Logging ,Species,Mean,SD,95% BCI,,,,,
Gray Fox,1.407407818,0.224328309,3.003510978,Intercept,,,,Agouti,0.212898624,-1.036345441,1.621483443,,,,,
Great Curassow,3.064800463,1.447786469,5.631155446,Intercept,,,,Baird's tapir,-0.562593968,-1.944435292,0.522330005,,,,,
Jaguar,-0.482137581,-2.198731794,1.191650261,Intercept,,,,Crested Guan,-1.023098421,-2.926954152,0.423433436,,,,,
Ocellated Turkey,2.51207616,1.108998092,4.571805276,Intercept,,,,Gray-headed Dove,-0.703582569,-2.308655417,0.46910207,,,,,
Ocelot,2.183110788,0.67426178,4.303695558,Intercept,,,,Gray Fox,1.291339476,0.1927457,2.952979649,,,,,
Paca,-1.688088986,-3.585288402,-0.29186692,Intercept,,,,Great Curassow,0.34792866,-0.662404408,1.63376289,,,,,
Puma,2.087656772,0.720221886,4.05403382,Intercept,,,,Jaguar,0.311152235,-1.258125377,1.919619468,,,,,
Red Brocket Deer,-0.580102693,-2.210244773,0.914129681,Intercept,,,,Ocellated Turkey,0.240928056,-0.699176111,1.408003156,,,,,
White-nosed Coati,0.637756529,-0.858725406,2.090549312,Intercept,,,,Ocelot,0.387372049,-0.915476808,1.985086347,,,,,
White-tailed Deer,1.782816142,0.620119887,3.71141881,Intercept,,,,Paca,-0.596220174,-2.139225026,0.617380496,,,,,
Agouti,0.212898624,-1.036345441,1.621483443,Logging,,,,Puma,0.497870787,-0.696370359,2.048418403,,,,,
