"","species","effect","2.5","97.5","variable"
"1","Agouti",1.04684328460104,-0.354798956161708,2.64125944189556,"Intercept"
"2","Baird's tapir",-1.54396329616657,-3.51481845634112,-0.228261509892148,"Intercept"
"3","Crested Guan",-1.35335875296356,-3.35341297524789,0.260224974458703,"Intercept"
"4","Gray-headed Dove",-2.45562178681133,-4.75812365790406,-0.898977621729257,"Intercept"
"5","Gray Fox",1.40740781848472,0.224328309176519,3.00351097767439,"Intercept"
"6","Great Curassow",3.06480046315615,1.44778646894109,5.63115544599726,"Intercept"
"7","Jaguar",-0.482137580711502,-2.19873179368319,1.19165026071765,"Intercept"
"8","Ocellated Turkey",2.51207616016325,1.10899809192308,4.57180527628766,"Intercept"
"9","Ocelot",2.18311078760601,0.67426177970363,4.30369555775076,"Intercept"
"10","Paca",-1.6880889856164,-3.58528840203736,-0.291866919500627,"Intercept"
"11","Puma",2.08765677195569,0.720221886286446,4.05403382037495,"Intercept"
"12","Red Brocket Deer",-0.580102692532904,-2.21024477291793,0.914129681309835,"Intercept"
"13","White-nosed Coati",0.637756529317784,-0.858725406028108,2.09054931203632,"Intercept"
"14","White-tailed Deer",1.78281614171385,0.620119886562293,3.71141880964451,"Intercept"
