"site","Date_Place","Days","Last.Record","Northing.1","Easting.1"
"506G",2015-11-09,61,2016-01-10,1956194,292534
"510H",2015-12-01,90,2016-03-01,1935522.766,282719
"507H",2015-12-01,90,2016-03-01,1934993.94,283483
"509H",2015-12-01,90,2016-03-01,1935382.07,283730
"504C",2015-04-10,49,2015-05-30,1954318,292789
"509C",2015-04-10,49,2015-05-30,1935198,280114
"501C",2015-04-10,49,2015-05-30,1954693,292447
"507C",2015-04-10,49,2015-05-30,1935412,283656
"504D",2015-05-30,67,2015-08-06,1956114,291590
"503D",2015-05-30,67,2015-08-06,1958254,292559
"501D",2015-05-30,67,2015-08-06,1957992,292588
"502D",2015-05-30,67,2015-08-06,1955608,291686
"505D",2015-05-30,24,2015-06-24,1956661,290391
"507E",2015-06-29,78,2015-09-16,1934992,283482
"510E",2015-06-29,78,2015-09-16,1934730,281670
"504E",2015-06-29,78,2015-09-16,1955971,290567
"506E",2015-06-29,78,2015-09-16,1955895,292491
"502E",2015-06-29,78,2015-09-16,1955799,290847
"512F",2015-09-15,55,2015-11-10,1935445,281718
"504F",2015-09-15,25,2015-10-11,1956370,289314
"505F",2015-09-15,55,2015-11-10,1956304,290310
"501F",2015-09-15,55,2015-11-10,1958107,292314
"505G",2015-11-09,61,2016-01-10,1956145,291021
"503G",2015-11-09,61,2016-01-10,1957372,291304
"503E",2015-06-29,78,2015-09-16,1957347,291322
"512E",2015-06-29,78,2015-09-16,1935684,282178
"510D",2015-05-30,67,2015-08-06,1935595,282702
"507G",2015-11-09,22,2015-12-02,1935446,282985
"502G",2015-11-09,52,2016-01-01,1956735,289511
"507F",2015-09-15,55,2015-11-10,1935211,283119
"511H",2015-12-01,90,2016-03-01,1935456.716,282087
"512C",2015-04-10,8,2015-04-19,1935290,281740
"508C",2015-04-10,8,2015-04-19,1934433,280364
"506D",2015-05-30,67,2015-08-06,1956956,291532
"508D",2015-05-30,6,2015-06-06,1935038,280218
"509D",2015-05-30,67,2015-08-06,1934457,280713
"507D",2015-05-30,67,2015-08-06,1935164,283856
"509E",2015-06-29,78,2015-09-16,1934430,281203
"501E",2015-06-29,78,2015-09-16,1956977,291363
"510FG",2015-09-15,77,2015-12-02,1934328,281361
"503F",2015-09-15,45,2015-10-31,1957359,291313
"511FG",2015-09-15,77,2015-12-02,1934484,282114
"502F",2015-09-15,55,2015-11-10,1957023,289306
"509G",2015-11-09,53,2016-01-02,1934595.208,283441
"512G",2015-11-09,22,2015-12-02,1935657,282179
"512H",2015-12-01,4,2015-12-06,1934690.881,283335
"508H",2015-12-01,17,2015-12-19,NA,NA
"509F",2015-09-15,55,2015-11-10,1934662,283280
"511D",2015-05-30,28,2015-06-28,1935085,283157
"505E",2015-06-29,78,2015-09-16,1956892,290522
"505C",2015-04-10,3,2015-04-14,1956401,289335
"508E",2015-07-29,8,2015-08-07,1934597,283447
"510C",2015-04-10,38,2015-05-19,1935493,282382
"502C",2015-04-10,1,2015-04-12,NA,NA
"503C",2015-04-10,17,2015-04-28,NA,NA
"506C",2015-04-10,16,2015-04-27,NA,NA
"511C",2015-04-10,2,2015-04-13,NA,NA
"506F",2015-09-15,55,2015-11-10,NA,NA
