"site","First_Obs","Days","Last.Record_clean","Northing","Easting"
"701A",2017-01-27,113,2017-05-21,1954260,291445
"701B",2017-05-15,23,2017-06-08,1954260,291445
"701D",2017-07-18,70,2017-09-27,1955685,292340
"701E",2017-09-27,2,2017-09-30,1955730,292704
"701F",2017-10-31,2,2017-11-04,1955721,292709
"701G",2017-12-01,1,2017-12-03,1955721,292708
"702A",2017-01-27,100,2017-05-08,1955449,291963
"702B",2017-05-15,63,2017-07-18,1955449,291963
"702D",2017-07-18,70,2017-09-27,1955450,291966
"702E",2017-09-27,13,2017-10-13,1954868,291991
"702F",2017-10-31,4,2017-11-05,1954869,291995
"702G",2017-12-01,30,2018-01-01,1954864,292003
"703A",2017-01-27,113,2017-05-21,1956465,293867
"703B",2017-05-15,4,2017-05-20,1957726,294490
"703E",2017-09-27,16,2017-10-14,1956550,293764
"703F",2017-10-31,27,2017-11-28,1956756,289427
"703G",2017-12-01,32,2018-01-03,1956745,289441
"704F",2017-10-31,21,2017-11-22,1955755,292978
"704G",2017-12-01,32,2018-01-03,1956674,288921
"706A",2017-01-27,30,2017-02-27,1955257,291944
"706B",2017-05-15,63,2017-07-18,1955257,291944
"706D",2017-07-18,70,2017-09-27,1955265,291942
"706E",2017-09-27,24,2017-10-22,1955262,291948
"707A",2017-01-27,17,2017-02-14,1957366,291303
"707D",2017-07-18,42,2017-08-30,1954601,292233
"707E",2017-09-27,34,2017-11-01,1954820,292291
"707F",2017-10-31,4,2017-11-05,1954811,292291
"707G",2017-12-01,14,2017-12-16,1954813,292285
"708A",2017-02-20,77,2017-05-09,1930386,292116
"708B",2017-05-15,63,2017-07-18,1930386,292116
"708D",2017-07-18,13,2017-08-10,1936906,294891
"709A",2017-02-20,35,2017-03-28,1932774,292905
"709B",2017-05-15,63,2017-07-18,1932774,292905
"709E",2017-08-29,34,2017-10-29,1941213,290305
"709F",2017-10-31,23,2017-11-24,1941212,290304
"709G",2017-12-01,32,2018-01-03,1941212,290304
"710B",2017-05-15,63,2017-07-18,1934129,293348
"710E",2017-08-29,34,2017-10-31,1934823,283568
"710G",2017-12-01,30,2018-01-02,1935996,286071
"711A",2017-02-20,37,2017-03-30,1943299,287797
"711D",2017-07-18,30,2017-08-18,1943305,287797
"711E",2017-08-29,21,2017-10-20,1943231,287764
"711F",2017-10-31,32,2017-12-03,1943223,287764
"712A",2017-02-20,84,2017-05-16,1937363,293537
"712B",2017-05-15,8,2017-07-07,1937363,293537
"712D",2017-07-18,16,2017-08-04,1940833,295032
"712E",2017-08-29,34,2017-10-29,1935327,284298
"712F",2017-10-31,32,2017-12-03,1935332,284298
"712G",2017-12-01,30,2018-01-01,1935325,284292
"713A",2017-02-20,57,2017-04-19,1942718,287455
"713B",2017-05-15,63,2017-07-18,1942718,287455
"713D",2017-07-18,16,2017-08-04,1942752,287470
"713E",2017-08-29,34,2017-10-16,1942743,287473
"713F",2017-10-31,32,2017-12-03,1942758,287470
"713G",2017-12-01,30,2018-01-01,1942758,287470
"714A",2017-02-20,23,2017-03-16,1938061,292331
"714B",2017-05-15,63,2017-07-18,1938061,292331
"714D",2017-07-18,6,2017-07-25,1941582,293709
"714F",2017-09-04,32,2017-12-03,1941596,291248
"714G",2017-12-01,32,2018-01-03,1941597,291249
"704A",NA,0,NA,1956310,292527
"705A",NA,0,NA,1956218,293656
"704B",NA,0,NA,1955726,292774
"705B",NA,0,NA,1957879,296099
"710A",NA,0,NA,1934129,293348
"707B",NA,0,NA,1957366,291303
"711B",NA,0,NA,1943299,287797
"703D",NA,0,NA,1957084,293853
"704D",NA,0,NA,1955720,292782
"705D",NA,0,NA,1956476,293759
"709D",NA,0,NA,1936717,295276
"710D",NA,0,NA,1936611,294454
"704E",NA,0,NA,1955762,292983
"714E",NA,0,NA,1941593,291247
"710F",NA,0,NA,1934822,283568
"711G",NA,0,NA,1943223,287764
