"site","Date.Placement","Days","Last.record","Northing.y","Easting.y"
"901B",2019-03-09,43,2019-04-21,1951003,283780
"901C",2019-04-21,61,2019-06-21,1950244,285889
"901D",2019-06-21,36,2019-07-27,1939171,284483
"901E",2019-07-27,27,2019-08-23,1939596,284632
"901F",2019-08-23,47,2019-10-09,1939613,284659
"901G",2019-10-12,57,2019-12-08,1939311,284491
"902C",2019-04-21,61,2019-06-21,1952294,286518
"902D",2019-06-21,19,2019-07-10,1937973,285736
"902E",2019-07-27,20,2019-08-16,1938190,284544
"902F",2019-08-23,15,2019-09-07,1939844,285275
"903C",2019-04-21,61,2019-06-21,1952575,285914
"903D",2019-06-21,36,2019-07-27,1952575,285918
"903E",2019-07-27,1,2019-07-28,1952672,286130
"903F",2019-08-23,50,2019-10-12,1952424,290794
"903G",2019-10-12,57,2019-12-08,1952722,286085
"904A",2019-02-02,21,2019-02-23,1951280,284445
"904B",2019-03-09,43,2019-04-21,1951280,284445
"904C",2019-04-21,23,2019-05-14,1950446,285451
"904D",2019-06-21,36,2019-07-27,1950443,285443
"904E",2019-07-27,27,2019-08-24,1950431,286166
"904F",2019-08-23,44,2019-10-06,1950233,286322
"904G",2019-10-12,54,2019-12-05,1950333,286004
"905A",2019-02-02,35,2019-03-09,1953441,286373
"905B",2019-03-09,36,2019-04-14,1953446,286380
"905C",2019-04-21,40,2019-05-31,1956312,285900
"905D",2019-06-21,15,2019-07-06,1956356,285725
"905F",2019-08-23,50,2019-10-12,1956712,285540
"905E",2019-07-27,27,2019-08-24,1956709,285545
"905G",2019-10-12,3,2019-10-15,1956923,285482
"906A",2019-02-02,35,2019-03-09,1950828,284131
"906C",2019-04-21,61,2019-06-21,1953023,291550
"906G",2019-10-12,57,2019-12-08,1953152,291550
"907A",2019-02-02,35,2019-03-09,1953431,286018
"907B",2019-03-09,43,2019-04-21,1953435,286020
"907C",2019-04-21,61,2019-06-21,1956708,286489
"907D",2019-06-21,36,2019-07-27,1938022,285288
"907E",2019-07-27,27,2019-08-24,1938139,285290
"907F",2019-08-23,50,2019-10-12,1938134,285297
"907G",2019-10-12,57,2019-12-08,1938131,285293
"908A",2019-02-02,35,2019-03-09,1954535,286481
"908B",2019-03-09,43,2019-04-21,1954534,286483
"908D",2019-06-21,36,2019-07-27,1954535,286488
"908F",2019-08-23,50,2019-10-12,1954650,286486
"909A",2019-12-02,35,2020-01-06,1950941,284111
"909B",2020-01-06,30,2020-02-06,1952328,291066
"909C",2020-02-18,52,2020-04-11,1952295,290828
"910A",2019-02-02,35,2019-03-09,1954432,286344
"910B",2019-03-09,43,2019-04-21,1954433,286353
"910C",2019-04-21,61,2019-06-21,1954434,286354
"910D",2019-06-21,36,2019-07-27,1954434,286345
"910E",2019-07-27,27,2019-08-23,1954551,286355
"910G",2019-08-24,14,2019-10-26,1954725,285946
"911C",2019-04-21,61,2019-06-21,1952657,291719
"911F",2019-08-23,50,2019-10-12,1952790,291736
"913A",2019-02-02,35,2019-03-09,1943114,287763
"913B",2019-03-09,43,2019-04-21,1943110,287771
