"Name","Date.Placement","Days","Last.record","Northing.y","Easting.y"
"02G",2020-09-19,35,2020-10-24,1938068,284926
"02F",2020-08-22,28,2020-09-19,1938087,284986
"02E",2020-07-18,35,2020-08-22,1938170,284808
"02H",2020-09-10,35,2020-11-28,1938067,284930
"01B",2020-03-14,53,2020-05-09,1939898,286795
"11D",2020-06-27,41,2020-08-08,1951849,290851
"04C",2020-05-22,20,2020-06-11,1951219,288509
"03E",2020-07-18,35,2020-08-22,1939118,284206
"13D",2020-06-27,41,2020-08-08,1951695,289870
"03G",2020-09-19,35,2020-10-24,1939508,284578
"06C",2020-05-09,35,2020-06-13,1936445,286216
"06G",2020-09-19,35,2020-10-24,1936022,285950
"04B",2020-03-14,69,2020-05-22,1949425,287639
"11C",2020-05-22,36,2020-06-27,1951848,290853
"13E",2020-08-08,43,2020-09-19,1951344,289293
"12E",2020-08-08,4,2020-09-09,1953728,285829
"01D",2020-06-13,36,2020-07-18,1939085,284079
"01G",2020-09-19,35,2020-10-24,1939228,284473
"02C",2020-05-09,35,2020-06-13,1938106,285590
"02D",2020-06-13,36,2020-07-18,1938170,284809
"03B",2020-03-14,51,2020-05-07,1939228,284474
"03D",2020-06-13,36,2020-07-18,1939112,284201
"11E",2020-08-08,43,2020-09-19,1952384,290905
"01F",2020-08-22,24,2020-09-15,1939654,284751
"04D",2020-06-27,41,2020-08-08,1948463,287464
"04E",2020-08-08,32,2020-09-08,1948470,287465
"04G",2020-10-24,35,2020-11-28,1948687,286794
"13B",2020-03-14,47,2020-04-30,1951376,289492
"13C",2020-05-22,36,2020-06-27,1951697,289865
"01H",2020-10-24,35,2020-11-28,1939211,284474
"02B",2020-03-14,18,2020-04-03,1938089,284998
"01C",2020-05-09,35,2020-06-13,1939897,286793
"03C",2020-05-09,35,2020-06-13,1939229,284478
"13F",2020-09-19,35,2020-10-24,1951348,289288
"03F",2020-08-22,28,2020-09-19,1939502,284574
"11B",2020-03-14,1,2020-04-15,1952392,290911
"04F",2020-09-19,29,2020-10-18,1948689,286800
"03H",2020-10-24,32,2020-11-25,1939133,284100
"06E",2020-07-18,0,2020-08-22,1935916,285420
"06H",2020-10-24,35,2020-11-28,1935914,285400
"05D",2020-06-27,41,2020-08-08,1956957,285350
"11A",2020-02-01,43,2020-03-14,1952397,290901
"13A",2020-02-01,43,2020-03-14,1951376,289492
"04A",2020-02-01,43,2020-03-14,1954694,286227
"12B",2020-03-14,69,2020-05-22,1952783,286513
"12C",2020-05-22,36,2020-06-27,1953545,286025
"13G",2020-10-24,35,2020-11-28,1950631,288353
"01A",2020-02-01,43,2020-03-14,1938201,284283
"02A",2020-02-01,43,2020-03-14,1938088,284995
"03A",2020-02-01,43,2020-03-14,1939227,284479
"06A",2020-02-01,43,2020-03-14,1935603,286075
"05A",2020-02-01,43,2020-03-14,1956765,285539
"05B",2020-03-14,69,2020-05-22,1956759,285537
"05C",2020-05-22,36,2020-06-27,1956946,285349
"12A",2020-02-01,43,2020-03-14,1950274,286165
"05F",2020-08-08,29,2020-10-18,1955271,285912
"12D",2020-06-27,6,2020-07-03,1953549,286018
"11F",2020-09-19,35,2020-10-24,1952395,290902
"12G",2020-10-24,18,2020-11-11,1954139,285708
"12F",2020-09-19,27,2020-10-16,1953720,285821
