,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
1,403A,Bushnell,Yes,No,Yes,Yes,Valley,"Broadleaf forest, broken canopy",17.41335951,-88.96718089,Dry,60.261,0,No Loss,0.919968414,0.003265528,17.0042,-1549.217506,0.000589841,0.006217961,Yes
2,410B,Moultry,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.48417861,-89.05010749,Dry,80.0298,0,No Loss,0.924405751,0.003788774,18.8485,-1556.967984,0.002253045,0.012803408,Yes
3,405B,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.46574656,-89.03907226,Dry,112.647,0,No Loss,0.923816872,0.00395797,21.679,-1555.13387,0.008215364,0.006699643,Yes
4,405C,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.48168623,-89.039703,Rainy,98.6829,0,No Loss,0.92480184,0.003813623,18.6951,-1556.56415,0.000947915,0.004602894,Yes
5,409C,Moultry,No,No,Yes,no,Logging Road,"Broadleaf forest, broken canopy",17.46770222,-89.00091953,Rainy,98.5382,0,No Loss,0.925314666,0.003847048,17.54,-1554.641559,0.001332698,0.012005863,Yes
6,404C,Scoutguard,Yes,No,Yes,Yes,Seismic line,"Broadleaf forest, broken canopy",17.43042521,-88.83958657,Rainy,124.074,1.3,Loss,0.817135205,0.129814405,7.10376,-1548.511769,1.36E-05,0.003152959,Yes
7,406C,Bushnell,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.48526623,-89.04018201,Rainy,90.1339,0,No Loss,0.925629417,0.003663119,20.185,-1556.891288,0.00144308,0.008201231,Yes
8,403C,Bushnell,Yes,No,Yes,Yes,Valley,"Broadleaf forest, broken canopy",17.41657114,-88.96773411,Rainy,66.2068,6.7,Loss,0.922647189,0.002467266,13.9033,-1549.51287,0.000992779,0.00380599,Yes
9,412C,Scoutguard,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.48534023,-89.04638109,Rainy,84.3447,0,No Loss,0.921140461,0.004109854,21.1302,-1557.00627,0.002382712,0.011263949,Yes
10,413C2,Bushnell,Yes,No,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",17.422857,-88.856052,Rainy,71.9717,0,No Loss,0.919964877,0.003371276,15.2258,-1548.126288,0.005038974,0.000809616,Yes
11,401C2,Moultry,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.435722,-88.82854,Rainy,NA,5.3,Loss,0.918658374,0.00260318,9.69699,-1548.789729,0.001334224,0.013973231,Yes
12,407C2,Bushnell,No,No,Yes,No,Narrow survey trail,"Broadleaf forest, broken canopy",17.490966,-89.039448,Rainy,81.1188,0,No Loss,0.925260965,0.004748706,20.6936,-1557.385958,1.78E-05,0.006504917,Yes
13,402C2,Bushnell,Yes,No,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",17.423953,-88.846388,Rainy,84.114,0.5,Loss,0.916049756,0.005538629,12.9864,-1548.055289,0.003649044,0.000225201,Yes
14,408C2,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.447098,-88.960261,Rainy,59.2374,0,No Loss,0.920523153,0.003708355,19.6724,-1552.098392,1.49E-05,0.011561731,Yes
15,404D,Scoutguard,Yes,No,Yes,Yes,Excavated Maya site,Secondary Forest,17.426351,-88.838253,Rainy,97.1703,1.3,Loss,0.919156247,0.002843303,16.3893,-1548.126579,0.003608368,0.004011208,Yes
16,402D,Bushnell,Yes,No,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",17.423953,-88.846388,Rainy,84.114,0.5,Loss,0.916049756,0.005538629,12.9864,-1548.055289,0.003649044,0.000225201,Yes
17,413D,Bushnell,Yes,No,Yes,Yes,Logging Road,"Broadleaf forest, broken canopy",17.422857,-88.856052,Rainy,71.9717,0,No Loss,0.919964877,0.003371276,15.2258,-1548.126288,0.005038974,0.000809616,Yes
18,405D,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.489149,-89.038284,Rainy,79.1161,0,No Loss,0.925314279,0.004077481,18.8986,-1557.203816,6.57E-06,0.006394741,Yes
