"","site","picture","Species","Number_recorded","Year","Month","Day","Hour","obsdate","Mammal","Easting","Northing","date_time_obs"
"1","403A",986,"Agouti",1,2014,4,17,9.17,"2014-04-17","Yes",291031,1926154,"2014-04-17 9.17"
"2","410B",79,"Agouti",1,2014,5,12,6.41,"2014-05-12","Yes",282304,1934085,"2014-05-12 6.41"
"3","405B",340,"Agouti",1,2014,5,28,5.34,"2014-05-28","Yes",283454,1932033,"2014-05-28 5.34"
"4","405C",13,"Agouti",1,2014,5,30,6.48,"2014-05-30","Yes",283406,1933798,"2014-05-30 6.48"
"5","409C",13,"Agouti",1,2014,6,6,8.32,"2014-06-06","Yes",287509,1932206,"2014-06-06 8.32"
"6","404C",51,"Agouti",1,2014,6,7,7.54,"2014-06-07","Yes",304607,1927908,"2014-06-07 7.54"
"7","405C",72,"Agouti",1,2014,6,7,5.42,"2014-06-07","Yes",283406,1933798,"2014-06-07 5.42"
"8","406C",73,"Agouti",1,2014,6,11,14.12,"2014-06-11","Yes",283359,1934195,"2014-06-11 14.12"
"9","405C",112,"Agouti",1,2014,6,12,8.21,"2014-06-12","Yes",283406,1933798,"2014-06-12 8.21"
"10","403C",143,"Agouti",1,2014,6,15,5.51,"2014-06-15","Yes",290976,1926510,"2014-06-15 5.51"
"11","409C",100,"Agouti",1,2014,6,16,12.05,"2014-06-16","Yes",287509,1932206,"2014-06-16 12.05"
"12","409C",115,"Agouti",1,2014,6,17,6.26,"2014-06-17","Yes",287509,1932206,"2014-06-17 6.26"
"13","405C",280,"Agouti",1,2014,7,6,10.03,"2014-07-06","Yes",283406,1933798,"2014-07-06 10.03"
"14","409C",217,"Agouti",2,2014,7,8,6.4,"2014-07-08","Yes",287509,1932206,"2014-07-08 6.40"
"15","406C",184,"Agouti",1,2014,7,9,6.26,"2014-07-09","Yes",283359,1934195,"2014-07-09 6.26"
"16","406C",187,"Agouti",1,2014,7,13,17.37,"2014-07-13","Yes",283359,1934195,"2014-07-13 17.37"
"17","412C",173,"Agouti",2,2014,7,15,10.43,"2014-07-15","Yes",282701,1934210,"2014-07-15 10.43"
"18","412C",176,"Agouti",1,2014,7,15,11.02,"2014-07-15","Yes",282701,1934210,"2014-07-15 11.02"
"19","412C",205,"Agouti",1,2014,7,17,10.07,"2014-07-17","Yes",282701,1934210,"2014-07-17 10.07"
"20","413C2",70,"Agouti",1,2014,7,26,17.22,"2014-07-26","Yes",302854,1927594,"2014-07-26 17.22"
"21","413C2",95,"Agouti",1,2014,8,1,13.45,"2014-08-01","Yes",302854,1927594,"2014-08-01 13.45"
"22","401C2",75,"Agouti",1,2014,8,6,11.39,"2014-08-06","Yes",306148,1928079,"2014-08-06 11.39"
"23","407C2",65,"Agouti",1,2014,8,9,8.56,"2014-08-09","Yes",287745,1932109,"2014-08-09 8.56"
"24","402C2",47,"Agouti",1,2014,8,11,8.35,"2014-08-11","Yes",303764,1927657,"2014-08-11 8.35"
"25","413C2",188,"Agouti",1,2014,8,12,6.55,"2014-08-12","Yes",302854,1927594,"2014-08-12 6.55"
"26","402C2",56,"Agouti",1,2014,8,13,5.49,"2014-08-13","Yes",303764,1927657,"2014-08-13 5.49"
"27","413C2",454,"Agouti",1,2014,8,17,11.08,"2014-08-17","Yes",302854,1927594,"2014-08-17 11.08"
"28","407C2",73,"Agouti",1,2014,8,19,8.54,"2014-08-19","Yes",287745,1932109,"2014-08-19 8.54"
"29","408C2",1147,"Agouti",1,2014,9,1,5.52,"2014-09-01","Yes",283344,1933425,"2014-09-01 5.52"
"30","402C2",191,"Agouti",1,2014,9,5,6.25,"2014-09-05","Yes",303764,1927657,"2014-09-05 6.25"
"31","401C2",164,"Agouti",1,2014,9,6,14.4,"2014-09-06","Yes",306148,1928079,"2014-09-06 14.40"
"32","402C2",206,"Agouti",1,2014,9,9,9.57,"2014-09-09","Yes",303764,1927657,"2014-09-09 9.57"
"33","402C2",210,"Agouti",1,2014,9,9,10.26,"2014-09-09","Yes",303764,1927657,"2014-09-09 10.26"
"34","402C2",220,"Agouti",1,2014,9,10,15.14,"2014-09-10","Yes",303764,1927657,"2014-09-10 15.14"
"35","402C2",244,"Agouti",1,2014,9,17,6.51,"2014-09-17","Yes",303764,1927657,"2014-09-17 6.51"
"36","404D",68,"Agouti",1,2014,9,20,7.25,"2014-09-20","Yes",304744,1927456,"2014-09-20 7.25"
"37","402D",31,"Agouti",1,2014,9,22,14.34,"2014-09-22","Yes",303878,1927199,"2014-09-22 14.34"
"38","402D",34,"Agouti",1,2014,9,23,6.47,"2014-09-23","Yes",303878,1927199,"2014-09-23 6.47"
"39","402D",37,"Agouti",1,2014,9,23,7.42,"2014-09-23","Yes",303878,1927199,"2014-09-23 7.42"
"40","413D",31,"Agouti",1,2014,9,24,18.11,"2014-09-24","Yes",302850,1927087,"2014-09-24 18.11"
"41","402D",43,"Agouti",1,2014,9,25,10.29,"2014-09-25","Yes",303878,1927199,"2014-09-25 10.29"
"42","404D",71,"Agouti",1,2014,9,25,8.21,"2014-09-25","Yes",304744,1927456,"2014-09-25 8.21"
"43","413D",70,"Agouti",1,2014,9,29,8.4,"2014-09-29","Yes",302850,1927087,"2014-09-29 8.40"
"44","402D",58,"Agouti",1,2014,10,4,5.57,"2014-10-04","Yes",303878,1927199,"2014-10-04 5.57"
"45","402D",61,"Agouti",1,2014,10,4,6.57,"2014-10-04","Yes",303878,1927199,"2014-10-04 6.57"
"46","404D",78,"Agouti",1,2014,10,6,6.03,"2014-10-06","Yes",304744,1927456,"2014-10-06 6.03"
"47","402D",67,"Agouti",1,2014,10,8,8.37,"2014-10-08","Yes",303878,1927199,"2014-10-08 8.37"
"48","405D",121,"Agouti",1,2014,10,8,10.3,"2014-10-08","Yes",283565,1934622,"2014-10-08 10.30"
"49","402D",70,"Agouti",1,2014,10,9,7.55,"2014-10-09","Yes",303878,1927199,"2014-10-09 7.55"
"50","405D",130,"Agouti",1,2014,10,9,11.13,"2014-10-09","Yes",283565,1934622,"2014-10-09 11.13"
"51","402D",73,"Agouti",1,2014,10,10,13.51,"2014-10-10","Yes",303878,1927199,"2014-10-10 13.51"
"52","402D",76,"Agouti",1,2014,10,11,11.47,"2014-10-11","Yes",303878,1927199,"2014-10-11 11.47"
"53","402D",85,"Agouti",1,2014,10,13,6.01,"2014-10-13","Yes",303878,1927199,"2014-10-13 6.01"
"54","401D",61,"Agouti",1,2014,10,16,14.5,"2014-10-16","Yes",305786,1928483,"2014-10-16 14.50"
"55","405D",148,"Agouti",1,2014,10,16,10.42,"2014-10-16","Yes",283565,1934622,"2014-10-16 10.42"
"56","407D",106,"Agouti",1,2014,10,16,10.53,"2014-10-16","Yes",283444,1934825,"2014-10-16 10.53"
"57","407D",109,"Agouti",1,2014,10,16,11.28,"2014-10-16","Yes",283444,1934825,"2014-10-16 11.28"
"58","407D",112,"Agouti",1,2014,10,17,11.03,"2014-10-17","Yes",283444,1934825,"2014-10-17 11.03"
"59","402D",94,"Agouti",1,2014,10,22,6.57,"2014-10-22","Yes",303878,1927199,"2014-10-22 6.57"
"60","402D",97,"Agouti",1,2014,10,22,7.42,"2014-10-22","Yes",303878,1927199,"2014-10-22 7.42"
"61","402D",100,"Agouti",1,2014,10,22,8.49,"2014-10-22","Yes",303878,1927199,"2014-10-22 8.49"
"62","404D",222,"Agouti",1,2014,10,22,8.33,"2014-10-22","Yes",304744,1927456,"2014-10-22 8.33"
"63","402D",103,"Agouti",1,2014,10,23,6.56,"2014-10-23","Yes",303878,1927199,"2014-10-23 6.56"
"64","413D",175,"Agouti",1,2014,10,24,7.35,"2014-10-24","Yes",302850,1927087,"2014-10-24 7.35"
"65","404D",231,"Agouti",1,2014,10,25,11.14,"2014-10-25","Yes",304744,1927456,"2014-10-25 11.14"
"66","402D",112,"Agouti",1,2014,10,26,6.2,"2014-10-26","Yes",303878,1927199,"2014-10-26 6.20"
"67","403D",176,"Agouti",1,2014,10,26,8.41,"2014-10-26","Yes",290967,1926303,"2014-10-26 8.41"
"68","402D",133,"Agouti",1,2014,10,31,8.08,"2014-10-31","Yes",303878,1927199,"2014-10-31 8.08"
"69","407E",52,"Agouti",1,2014,11,7,8.19,"2014-11-07","Yes",284554,1935262,"2014-11-07 8.19"
"70","407E",60,"Agouti",1,2014,11,7,9.35,"2014-11-07","Yes",284554,1935262,"2014-11-07 9.35"
"71","407E",88,"Agouti",1,2014,11,8,6.19,"2014-11-08","Yes",284554,1935262,"2014-11-08 6.19"
"72","407E",109,"Agouti",1,2014,11,10,10.12,"2014-11-10","Yes",284554,1935262,"2014-11-10 10.12"
"73","407E",112,"Agouti",1,2014,11,11,8.41,"2014-11-11","Yes",284554,1935262,"2014-11-11 8.41"
"74","407E",118,"Agouti",2,2014,11,11,11.23,"2014-11-11","Yes",284554,1935262,"2014-11-11 11.23"
"75","407E",139,"Agouti",1,2014,11,13,6.3,"2014-11-13","Yes",284554,1935262,"2014-11-13 6.30"
"76","402E",58,"Agouti",1,2014,11,19,7.29,"2014-11-19","Yes",303760,1927582,"2014-11-19 7.29"
"77","407E",190,"Agouti",1,2014,11,20,8.08,"2014-11-20","Yes",284554,1935262,"2014-11-20 8.08"
"78","407E",196,"Agouti",1,2014,11,21,10.19,"2014-11-21","Yes",284554,1935262,"2014-11-21 10.19"
"79","407E",256,"Agouti",1,2014,11,26,8.25,"2014-11-26","Yes",284554,1935262,"2014-11-26 8.25"
"80","407E",268,"Agouti",1,2014,11,28,8.56,"2014-11-28","Yes",284554,1935262,"2014-11-28 8.56"
"81","407E",274,"Agouti",1,2014,11,29,7.01,"2014-11-29","Yes",284554,1935262,"2014-11-29 7.01"
"82","407E",286,"Agouti",1,2014,11,30,15.35,"2014-11-30","Yes",284554,1935262,"2014-11-30 15.35"
"83","407E",289,"Agouti",1,2014,11,30,17.05,"2014-11-30","Yes",284554,1935262,"2014-11-30 17.05"
"84","407E",301,"Agouti",1,2014,12,2,9.08,"2014-12-02","Yes",284554,1935262,"2014-12-02 9.08"
"85","407E",325,"Agouti",1,2014,12,3,7.01,"2014-12-03","Yes",284554,1935262,"2014-12-03 7.01"
"86","402E",103,"Agouti",1,2014,12,4,8.27,"2014-12-04","Yes",303760,1927582,"2014-12-04 8.27"
"87","407E",331,"Agouti",1,2014,12,4,10.34,"2014-12-04","Yes",284554,1935262,"2014-12-04 10.34"
"88","402E",109,"Agouti",1,2014,12,5,8.52,"2014-12-05","Yes",303760,1927582,"2014-12-05 8.52"
"89","407E",334,"Agouti",1,2014,12,6,8.32,"2014-12-06","Yes",284554,1935262,"2014-12-06 8.32"
"90","407E",346,"Agouti",1,2014,12,7,6.43,"2014-12-07","Yes",284554,1935262,"2014-12-07 6.43"
"91","407E",362,"Agouti",1,2014,12,8,10.45,"2014-12-08","Yes",284554,1935262,"2014-12-08 10.45"
"92","407E",373,"Agouti",1,2014,12,8,14.51,"2014-12-08","Yes",284554,1935262,"2014-12-08 14.51"
"93","407E",376,"Agouti",1,2014,12,9,8.03,"2014-12-09","Yes",284554,1935262,"2014-12-09 8.03"
