site,Location,Cam.nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour,Hour_BERDS,Comment,Camera.Brand,Brand,obsdate,Last_Record_clean,Date.Placement,Date.Removed,Functioning.,visit,Mammal,Days,date_time_obs
403A,Yalbac403A,403,A,291031,1926154,986,Agouti,1,2014,4,17,9.17,9,,Bushnell,Bushnell,4/17/2014,4/23/2014,3/18/2014,4/23/2014,,31,Yes,35,2014-04-17 9.17
410B,Yalbac410B,410,B,282304,1934085,79,Agouti,1,2014,5,12,6.41,6.5,,Moultrie,Moultry,5/12/2014,5/29/2014,4/23/2014,5/28/2014,,20,Yes,35,2014-05-12 6.41
405B,Yalbac405B,405,B,283454,1932033,340,Agouti,1,2014,5,28,5.34,5.5,,Moultrie,Moultry,5/28/2014,5/29/2014,4/23/2014,5/28/2014,,36,Yes,35,2014-05-28 5.34
405C,Yalbac405C,405,C,283406,1933798,13,Agouti,1,2014,5,30,6.48,6.5,,Moultrie,Moultry,5/30/2014,7/16/2014,5/28/2014,7/18/2014,,3,Yes,48,2014-05-30 6.48
409C,Yalbac409C,409,C,287509,1932206,13,Agouti,1,2014,6,6,8.32,8.5,,Moultrie,Moultry,6/6/2014,7/17/2014,5/28/2014,7/18/2014,,10,Yes,48,2014-06-06 8.32
404C,Yalbac404C,404,C,304607,1927908,51,Agouti,1,2014,6,7,7.54,7.5,,HCO ScoutGuard,Scoutguard,6/7/2014,7/17/2014,5/28/2014,7/18/2014,,11,Yes,47,2014-06-07 7.54
405C,Yalbac405C,405,C,283406,1933798,72,Agouti,1,2014,6,7,5.42,5.5,,Moultrie,Moultry,6/7/2014,7/16/2014,5/28/2014,7/18/2014,,11,Yes,48,2014-06-07 5.42
406C,Yalbac406C,406,C,283359,1934195,73,Agouti,1,2014,6,11,14.12,14,,Bushnell,Bushnell,6/11/2014,7/14/2014,5/28/2014,7/18/2014,,15,Yes,45,2014-06-11 14.12
405C,Yalbac405C,405,C,283406,1933798,112,Agouti,1,2014,6,12,8.21,8,,Moultrie,Moultry,6/12/2014,7/16/2014,5/28/2014,7/18/2014,,16,Yes,48,2014-06-12 8.21
403C,Yalbac403C,403,C,290976,1926510,143,Agouti,1,2014,6,15,5.51,5.5,,Bushnell,Bushnell,6/15/2014,7/28/2014,5/28/2014,7/18/2014,,19,Yes,60,2014-06-15 5.51
