"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"506G","Yalbac506G",506,"G",460,"Agouti",1,2016,1,2,17.24,17.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2016-01-02,2016-01-10,61,55," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2016-01-02 17.24",2015-11-09
"506G","Yalbac506G",506,"G",589,"Agouti",1,2016,1,4,17.09,17,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2016-01-04,2016-01-10,61,57," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2016-01-04 17.09",2015-11-09
"510H","Yalbac510H",510,"H",370,"Agouti",1,2016,1,6,16.12,16,"","Moultrie",282719,1935522.766,"Yes","Moultrycam",2015-12-01,2016-02-29,2016-01-06,2016-03-01,90,37," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-01-06 16.12",2015-12-01
"507H","Yalbac507H",507,"H",664,"Agouti",1,2016,1,29,7.05,7,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-01-29,2016-03-01,90,60,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-01-29 7.05",2015-12-01
"507H","Yalbac507H",507,"H",751,"Agouti",1,2016,2,7,6.47,7,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-07,2016-03-01,90,69,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-07 6.47",2015-12-01
"507H","Yalbac507H",507,"H",813,"Agouti",1,2016,2,11,6.02,6,"Interaction with Curassow","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-11,2016-03-01,90,73,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-11 6.02",2015-12-01
"509H","Yalbac509H",509,"H",2326,"Agouti",1,2016,2,11,17.23,17.5,"","Bushnell",283730,1935382.07,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-11,2016-03-01,90,73," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-11 17.23",2015-12-01
"507H","Yalbac507H",507,"H",838,"Agouti",1,2016,2,12,7.59,8,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-12,2016-03-01,90,74,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-12 7.59",2015-12-01
"507H","Yalbac507H",507,"H",850,"Agouti",1,2016,2,13,11.28,11.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-13,2016-03-01,90,75,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-13 11.28",2015-12-01
"507H","Yalbac507H",507,"H",895,"Agouti",1,2016,2,16,5.58,6,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-16,2016-03-01,90,78,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-16 5.58",2015-12-01
"504C","Yalbac504c",504,"C",52,"Agouti",1,2015,4,17,9.46,10,"","Scoutguard",292789,1954318,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-17,2015-05-30,49,8," ","No","Yes",NA,"No","No","Along narrow seismic line","Mature forest","2015-04-17 9.46",2015-04-10
