"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
70,"Agouti",1,2016,2,18,"7.22","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-18,41,"2016-02-18 7.22"
37,"Gray Fox",1,2016,2,9,"3.2","male bird","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-09,32,"2016-02-09 3.20"
97,"Gray Fox",1,2016,3,1,"13.21","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-01,53,"2016-03-01 13.21"
103,"Gray Fox",1,2016,3,5,"23.47","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-05,57,"2016-03-05 23.47"
130,"Gray Fox",1,2016,4,5,"12.18","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-04-05,88,"2016-04-05 12.18"
23,"Great Curassow",1,2016,1,27,"17.9","walking","Laguna Seca","No","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-01-27,19,"2016-01-27 17.90"
36,"Great Curassow",1,2016,2,8,"17.28","male bird","Laguna Seca","No","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-08,31,"2016-02-08 17.28"
62,"Great Curassow",1,2016,2,15,"10.16","male bird","Laguna Seca","No","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-15,38,"2016-02-15 10.16"
100,"Great Curassow",1,2016,3,5,"16.36","male bird","Laguna Seca","No","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-05,57,"2016-03-05 16.36"
81,"Margay",1,2016,2,24,"18.1","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-24,47,"2016-02-24 18.10"
91,"Margay",1,2016,2,29,"23.03","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-29,52,"2016-02-29 23.03"
55,"Ocelot",1,2016,2,13,"16.35","speed run","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-02-13,36,"2016-02-13 16.35"
128,"Ocelot",1,2016,3,25,"20.4","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-25,77,"2016-03-25 20.40"
