site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
701A,Yalbac 701A,701,A,4219,Baird's Tapir,1,2017,2,8,3.19,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,2/8/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-02-08 3.19
701A,Yalbac 701A,701,A,4300,Great Curassow,1,2017,3,5,9.14,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,3/5/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-03-05 9.14
701A,Yalbac 701A,701,A,4309,Great Curassow,1,2017,3,13,8.57,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,3/13/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-03-13 8.57
701A,Yalbac 701A,701,A,4357,Great Curassow,1,2017,4,15,14.56,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/15/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-15 14.56
701A,Yalbac 701A,701,A,4399,Great Curassow,3,2017,5,11,17.35,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/11/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-11 17.35
701A,Yalbac 701A,701,A,4327,Ocellated Turkey,1,2017,4,1,6.07,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/1/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-01 6.07
701A,Yalbac 701A,701,A,4396,Ocellated Turkey,1,2017,5,10,6.24,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/10/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-10 6.24
701A,Yalbac 701A,701,A,4390,Puma,1,2017,5,6,23.27,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/6/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-06 23.27
701A,Yalbac 701A,701,A,4453,Puma,2,2017,5,15,4.35,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/15/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-15 4.35
701A,Yalbac 701A,701,A,4342,Red Brocket Deer,1,2017,4,11,17.31,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/11/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-11 17.31
701A,Yalbac 701A,701,A,4222,White-lipped Peccary,15,2017,2,13,6.27,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,2/13/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-02-13 6.27
701A,Yalbac 701A,701,A,4120,White-tailed Deer,1,2017,1,29,22.11,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,1/29/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-01-29 22.11
701A,Yalbac 701A,701,A,4123,White-tailed Deer,1,2017,1,30,21.29,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,1/30/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-01-30 21.29
