"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"813A","813A",22,"Agouti",1,2018,1,15,17.01,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-15,2018-01-02,2018-03-05,63,"2018-01-15 17.01"
"813A","813A",28,"Agouti",1,2018,1,16,9.21,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-16,2018-01-02,2018-03-05,63,"2018-01-16 9.21"
"813A","813A",31,"Agouti",1,2018,1,17,16.26,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-17,2018-01-02,2018-03-05,63,"2018-01-17 16.26"
"813A","813A",37,"Agouti",1,2018,1,20,13.32,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-20,2018-01-02,2018-03-05,63,"2018-01-20 13.32"
"803A","803A",38,"Agouti",1,2018,1,3,14.24,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-01-03,2018-01-02,2018-03-05,63,"2018-01-03 14.24"
"804A","804A",49,"Agouti",1,2018,1,4,8.44,"","moultrie","Yalbac","no","Yes",288916,1956673,"Yalbac","no",2018-01-04,2018-01-02,2018-02-02,31,"2018-01-04 8.44"
"813A","813A",49,"Agouti",1,2018,1,24,10.43,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-24,2018-01-02,2018-03-05,63,"2018-01-24 10.43"
"804A","804A",52,"Agouti",1,2018,1,4,17.22,"","moultrie","Yalbac","no","Yes",288916,1956673,"Yalbac","no",2018-01-04,2018-01-02,2018-02-02,31,"2018-01-04 17.22"
"804A","804A",58,"Agouti",1,2018,1,5,6.34,"","moultrie","Yalbac","no","Yes",288916,1956673,"Yalbac","no",2018-01-05,2018-01-02,2018-02-02,31,"2018-01-05 6.34"
"813A","813A",61,"Agouti",1,2018,1,25,11.35,"","bushnell","Laguna Seca","no","Yes",287746,1943221,"Laguna Seca","no",2018-01-25,2018-01-02,2018-03-05,63,"2018-01-25 11.35"
