"Name","Logging.x","Property.x","Easting.x","Northing.x","Lat.x","Long.x","Cam.nr","series","picture","species.name","Species","Type","Nr","Year","Month","Day","Hour.Exact","Comment","Mammal","Logging.y","Property.y","Brand","Date.Placement","Date.Removed","Last.record","Days","Easting.y","Northing.y","Lat.y","Long.y","obsdate","visit","date_time_obs"
"02G","Yes","Yalbac",284926,1938068,17.518568,-89.02586,2,"G",133,"White-lipped Peccary","Tayassu pecari","Mammal",48,2020,9,23,11.24,"","Yes","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284926,1938068,17.518568,-89.02586,2020-09-23,5,"2020-09-23 11.24"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",671,"White-lipped Peccary","Tayassu pecari","Mammal",39,2020,9,7,12.18,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-07,17,"2020-09-07 12.18"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",707,"White-lipped Peccary","Tayassu pecari","Mammal",24,2020,9,7,14.39,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-07,17,"2020-09-07 14.39"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",779,"White-lipped Peccary","Tayassu pecari","Mammal",19,2020,9,8,9.44,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-08,18,"2020-09-08 9.44"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",627,"White-lipped Peccary","Tayassu pecari","Mammal",17,2020,9,6,15.47,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-06,16,"2020-09-06 15.47"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",747,"White-lipped Peccary","Tayassu pecari","Mammal",15,2020,9,8,8.47,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-08,18,"2020-09-08 8.47"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",595,"White-lipped Peccary","Tayassu pecari","Mammal",14,2020,9,6,14.09,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-06,16,"2020-09-06 14.09"
"02E","Yes","Yalbac",284808,1938170,17.519475,-89.026982,2,"E",440,"White-lipped Peccary","Tayassu pecari","Mammal",12,2020,8,13,6.34,"","Yes","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284808,1938170,17.519475,-89.026982,2020-08-13,27,"2020-08-13 6.34"
"02H","Yes","Yalbac",284930,1938067,17.518558,-89.02582,2,"H",9,"White-nosed Coati","Nasua narica","Mammal",10,2020,9,11,17.5,"","Yes","Yes","Yalbac","Bushnel",2020-09-10,2020-11-28,2020-11-28,35,284930,1938067,17.518558,-89.02582,2020-09-11,2,"2020-09-11 17.50"
"01B","Yes","Yalbac",286795,1939898,17.53528,-89.008442,1,"B",3076,"White-lipped Peccary","Tayassu pecari","Mammal",8,2020,4,15,17.27,"","Yes","Yes","Yalbac","Bushnel",2020-03-14,2020-05-09,2020-05-09,53,286795,1939898,17.53528,-89.008442,2020-04-15,33,"2020-04-15 17.27"
