"","species","mean","sd"
"1","Agouti",0.0777205902249375,0.509779160115871
"2","Crested Guan",0.0268687361490968,0.527155130334262
"3","Gray-headed Dove",0.0670548507780886,0.514574602596383
"4","Gray Fox",0.141233328773552,0.50633936071348
"5","Great Curassow",0.134945499791078,0.505996929404132
"6","Jaguar",0.0268026420129474,0.520714663707893
"7","Ocellated Turkey",0.15255278766745,0.506062517930769
"8","Ocelot",0.0540305654214042,0.510609952603212
"9","Paca",0.0549626906942522,0.513973543157033
"10","Puma",0.0370825950561175,0.513942398705548
"11","Red Brocket Deer",0.0478787839841347,0.513587280234439
"12","White-nosed Coati",0.0325546200120706,0.518602866329314
"13","White-tailed Deer",0.110324974704957,0.507556450348853
