"","species","mean","sd"
"1","Agouti",0.0810405815809857,0.510358830487672
"2","Great curassow",0.137243098964604,0.506282461385195
"3","Gray fox",0.148622127034214,0.506605916762571
"4","Gray-headed dove",0.0709385173329403,0.515068886100514
"5","Ocelot",0.057283199694227,0.510924800681872
"6","Ocellated turkey",0.156713159453802,0.506455213688753
"7","Paca",0.059830795257547,0.514411999791415
"8","Puma",0.0389034952899517,0.514642078122654
"9","Red brocket",0.0451444881580941,0.515128096767959
"10","White-tailed deer",0.112961535788729,0.507406877702263
