"","psi","se","Speciesname"
"1","0.478385187542664",0.0089146140459169,"Collared Peccary"
"2","0.248204379128271",0.00806086058401153,"Great tinamou"
"3","0.73441047005511",0.00636623984257964,"Margay"
"4","0.113369360689841",0.00461696153386237,"Ruddy quail-dove"
"5","0.316352651562422",0.00876888627491369,"Striped hog-nosed skunk"
"6","0.196718064545436",0.00743188690201968,"Tayra"
"7","0.0277096712817664",0.00157306017484715,"Bare-throated tiger heron"
"8","0.24883658958122",0.00744448182887813,"White-lipped Peccary"
"9","0.340006067346437",0.0110862135291373,"Crested Guan"
"10","0.666533277699752",0.0127737591897476,"Gray fox"
"11","0.286504418657851",0.0118278969542091,"Gray-headed dove"
"12","0.446006409067115",0.0145663328078706,"Baird's tapir"
