"","species","effect","2.5","97.5","variable"
"1","Collared peccary",0.520466087874774,-1.92483901283033,3.50450758755984,"Intercept"
"2","Great tinamou",-2.70692634608224,-5.3966109028286,-0.796127609441985,"Intercept"
"3","Margay",2.09384774231416,-0.177232907190291,5.36454227919547,"Intercept"
"4","Ruddy quail-dove",-3.41273877716421,-6.42500010002564,-1.64103035287281,"Intercept"
"5","Striped hog-nosed skunk",-1.58914399602661,-3.97489655393514,0.291383800186414,"Intercept"
"6","Tayra",-2.07906181888782,-4.70242853258071,-0.288876393740999,"Intercept"
"7","Bare-throated tiger heron",NA,NA,NA,"Intercept"
"8","White-lipped peccary",NA,NA,NA,"Intercept"
"9","Collared peccary",-1.55219772109745,-3.66072903991551,0.256399065310044,"Logging"
"10","Great tinamou",-0.0367832941517513,-1.80422096408382,1.50778410780108,"Logging"
"11","Margay",-0.200067922479128,-2.32155261575767,2.20504266647813,"Logging"
"12","Ruddy quail-dove",-0.445176841081769,-1.91309191828573,0.732293677604188,"Logging"
"13","Striped hog-nosed skunk",0.124929240224479,-1.6073630422792,1.72058996233763,"Logging"
"14","Tayra",-0.667890040662966,-2.41068079829999,0.700840623586717,"Logging"
"15","Bare-throated tiger heron",0.557714906168692,-0.87864809032619,2.18055649551343,"Logging"
"16","White-lipped peccary",-0.645864876892598,-2.43144156531036,0.82983465659594,"Logging"
"17","Collared peccary",0.871389968925865,-0.518094003196357,3.02376637745213,"Distance to Roads"
"18","Great tinamou",0.18829567515739,-0.896343630630478,1.55158220538316,"Distance to Roads"
"19","Margay",-1.06596946968902,-2.74019383383465,0.702035161463965,"Distance to Roads"
"20","Ruddy quail-dove",-0.490455573322274,-1.61794104947456,0.291944774132433,"Distance to Roads"
"21","Striped hog-nosed skunk",0.46258153079138,-0.605687779979059,1.99328494783524,"Distance to Roads"
"22","Tayra",-0.159535994247975,-1.14994274426717,0.762492713158433,"Distance to Roads"
"23","Bare-throated tiger heron",-0.0993581998782983,-1.04530274858639,0.547616167784277,"Distance to Roads"
"24","White-lipped peccary",0.486250966576882,-0.502424539729042,1.85521498882951,"Distance to Roads"
"25","Collared peccary",-0.551989599969559,-2.20494078115513,0.732664523382129,"Mean Biomass"
"26","Great tinamou",0.148691218606704,-0.934454766198678,1.24894002833515,"Mean Biomass"
"27","Margay",0.255496399545834,-1.37151967677923,2.25751501996881,"Mean Biomass"
"28","Ruddy quail-dove",0.24097102055856,-0.552994715527773,1.08219136666702,"Mean Biomass"
"29","Striped hog-nosed skunk",-1.3723998194643,-3.00459034128059,-0.23484850010593,"Mean Biomass"
"30","Tayra",-1.08638759364282,-2.39607408803496,-0.101842833381809,"Mean Biomass"
"31","Bare-throated tiger heron",0.238873200449049,-0.577092449870695,1.05803600516909,"Mean Biomass"
"32","White-lipped peccary",-1.15643662537094,-2.59048319574339,-0.0593054687204698,"Mean Biomass"
"33","Collared peccary",0.399013785326389,-1.05803499561027,2.69677688165135,"Distance to Streams"
"34","Great tinamou",-0.557093475907371,-1.65437529411154,0.266154326846576,"Distance to Streams"
"35","Margay",-0.11077802429335,-1.52445032829391,1.47898649494962,"Distance to Streams"
"36","Ruddy quail-dove",-0.680318340654495,-1.63403818510308,-0.0227805579500759,"Distance to Streams"
"37","Striped hog-nosed skunk",-0.327144930474361,-1.33633218982515,0.569146432593078,"Distance to Streams"
"38","Tayra",-0.182835611969153,-1.03277827529885,0.596602135950285,"Distance to Streams"
"39","Bare-throated tiger heron",-1.26649783667343,-2.45330337866742,-0.266332885218665,"Distance to Streams"
"40","White-lipped peccary",-0.447809717460693,-1.4242621328552,0.369934027281486,"Distance to Streams"
"41","Collared peccary",-1.01154156274374,-3.18135545220226,0.537945861282867,"NDVI"
"42","Great tinamou",0.0918934266805686,-1.44038612328337,1.4628803479432,"NDVI"
"43","Margay",-1.71660409553342,-4.63339371138993,0.640911104126153,"NDVI"
"44","Ruddy quail-dove",-0.394970717703249,-1.09822966469465,0.0484696386480881,"NDVI"
"45","Striped hog-nosed skunk",-0.300761843598836,-2.12631596065104,1.12349990297761,"NDVI"
"46","Tayra",-0.35629516773,-2.00016907895986,0.89072237897043,"NDVI"
"47","Bare-throated tiger heron",0.19112694776091,-0.660847457119857,1.51295294077309,"NDVI"
"48","White-lipped peccary",-1.25521066370135,-3.63748344752039,0.357574663979437,"NDVI"
"49","Collared peccary",1.2565259288926,-0.41189146776343,3.35646901055108,"Season"
"50","Great tinamou",-0.106303063739789,-1.69750779094342,1.34429915605648,"Season"
"51","Margay",-0.18482406195013,-2.29868114718613,2.24467601680672,"Season"
"52","Ruddy quail-dove",-0.359334442041048,-1.71611848613369,0.774069261243417,"Season"
"53","Striped hog-nosed skunk",-0.773841537399401,-2.58652295265038,0.723692920011883,"Season"
"54","Tayra",-0.346126230887839,-1.85775884267635,0.994231105670624,"Season"
"55","Bare-throated tiger heron",-0.78671483655992,-2.45734599521009,0.677048517211458,"Season"
"56","White-lipped peccary",0.251090640222709,-1.24213299248438,1.77840636131588,"Season"
"57","Collared peccary",0.0775119515121722,-1.9645376089127,2.27087819910773,"Natural Disturbance"
"58","Great tinamou",-0.223238271397722,-2.25360741159209,1.52945495692388,"Natural Disturbance"
"59","Margay",0.643316194682606,-2.03052856341542,3.80012314608525,"Natural Disturbance"
"60","Ruddy quail-dove",0.358145192082701,-1.14078512931378,1.80235811689053,"Natural Disturbance"
"61","Striped hog-nosed skunk",-0.413947755911098,-2.42822288034378,1.46410942444854,"Natural Disturbance"
"62","Tayra",-1.20654698537312,-3.33610311629228,0.521865480977607,"Natural Disturbance"
"63","Bare-throated tiger heron",1.14658422088588,-0.386718477553977,2.80128725789287,"Natural Disturbance"
"64","White-lipped peccary",-1.2308728595584,-3.40685487114014,0.585781621377706,"Natural Disturbance"
"65","Collared peccary",2.47213053384892,0.267439404469171,6.33755708044601,"Site"
"66","Great tinamou",3.70675174344691,0.648855288602713,7.43786456254727,"Site"
"67","Margay",1.78241179230865,0.0735011387784151,5.62080040012205,"Site"
"68","Ruddy quail-dove",2.05265054108999,0.204014050370322,5.08986719604598,"Site"
"69","Striped hog-nosed skunk",3.53214547356164,0.52872311945188,7.32208188810455,"Site"
"70","Tayra",3.30032643251298,0.511714668200861,6.58319590612762,"Site"
"71","Bare-throated tiger heron",0.66314544586682,0.0568985464079593,2.08218650125675,"Site"
"72","White-lipped peccary",2.85403984352155,0.38462629239946,6.11147875912082,"Site"
