"","Location","Cam.nr","series","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Lat","Long","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Area","endday","obsdate","visit","errors","opp_errors"
"1","Yalbac 701F",701,"F",4916,"White-tailed Deer",1,2017,11,4,10.04,"","Moultrie","Laguna Seca","Yes","701F","",2017-10-31,2017-12-01,2,1955721,292709,17.67878,-88.954291,NA,"","",NA,"","","","","",2017-11-03,2017-11-04,5,TRUE,FALSE
"2","Yalbac 702E",702,"E",81,"Gray fox",1,2017,10,12,9.31,"","Moultrie","Laguna Seca","Yes","702E","",2017-09-27,2017-10-31,13,1954868,291991,17.671006,-88.960976,NA,"","",NA,"","","","","",2017-10-11,2017-10-12,16,TRUE,FALSE
"3","Yalbac 702E",702,"E",84,"Gray fox",1,2017,10,12,11.39,"","Moultrie","Laguna Seca","Yes","702E","",2017-09-27,2017-10-31,13,1954868,291991,17.671006,-88.960976,NA,"","",NA,"","","","","",2017-10-11,2017-10-12,16,TRUE,FALSE
"4","Yalbac 702E",702,"E",87,"Gray fox",2,2017,10,13,8.2,"","Moultrie","Laguna Seca","Yes","702E","",2017-09-27,2017-10-31,13,1954868,291991,17.671006,-88.960976,NA,"","",NA,"","","","","",2017-10-11,2017-10-13,17,TRUE,FALSE
"5","Yalbac 702E",702,"E",90,"Gray fox",1,2017,10,13,9.44,"","Moultrie","Laguna Seca","Yes","702E","",2017-09-27,2017-10-31,13,1954868,291991,17.671006,-88.960976,NA,"","",NA,"","","","","",2017-10-11,2017-10-13,17,TRUE,FALSE
"6","Yalbac 708D",708,"D",67,"Agouti",1,2017,8,7,12.43,"","Moultrie","Yalbac","Yes","708D","",2017-07-18,2017-08-29,13,1936906,294891,17.50900867,-88.93192635,NA,"","",NA,"","","","","",2017-08-01,2017-08-07,21,TRUE,FALSE
"7","Yalbac 708D",708,"D",73,"Baird's Tapir",1,2017,8,9,21.56,"","Moultrie","Yalbac","Yes","708D","",2017-07-18,2017-08-29,13,1936906,294891,17.50900867,-88.93192635,NA,"","",NA,"","","","","",2017-08-01,2017-08-09,23,TRUE,FALSE
"8","Yalbac 708D",708,"D",61,"Ocellated Turkey",2,2017,8,4,10.55,"","Moultrie","Yalbac","Yes","708D","",2017-07-18,2017-08-29,13,1936906,294891,17.50900867,-88.93192635,NA,"","",NA,"","","","","",2017-08-01,2017-08-04,18,TRUE,FALSE
"9","Yalbac 708D",708,"D",64,"Ocellated Turkey",1,2017,8,4,13.08,"","Moultrie","Yalbac","Yes","708D","",2017-07-18,2017-08-29,13,1936906,294891,17.50900867,-88.93192635,NA,"","",NA,"","","","","",2017-08-01,2017-08-04,18,TRUE,FALSE
"10","Yalbac 708D",708,"D",79,"White-tailed Deer",1,2017,8,10,7.48,"","Moultrie","Yalbac","Yes","708D","",2017-07-18,2017-08-29,13,1936906,294891,17.50900867,-88.93192635,NA,"","",NA,"","","","","",2017-08-01,2017-08-10,24,TRUE,FALSE
