CameraID,mean_bioma
12C,179.821
401A,84.3198
401B,9.88923
401C,9.88923
401C2,
401D,
402A,86.2774
402C,101.452
402C2,84.114
402D,84.114
402E,98.1434
402F,98.4771
403A,60.261
403B,67.3292
403C,66.2068
403C2,63.7718
403D,63.7718
403E,90.0405
403F,61.1687
404B,
404C,124.074
404C2,97.1703
404D,97.1703
404E,118.786
404F,118.786
405A,114.796
405B,112.647
405C,98.6829
405C2,79.1161
405D,79.1161
405E,92.168
405F,54.8592
406A,109.72
406B,87.776
406C,90.1339
406C2,51.4989
406D,51.4989
406E,76.7212
406F,57.3105
407A,87.59
407B,80.7498
407C,93.2359
407C2,81.1188
407D,81.1188
407E,74.1737
407F,89.8551
408B,77.552
408C,106.673
408C2,59.2374
408D,59.2374
408E,86.5986
408F,86.7697
409A,94.618
409B,89.8549
409C,98.5382
409C2,81.3965
409D,81.3965
409E,77.6685
409F,48.2394
410A,83.1761
410B,80.0298
410C,79.4555
410C2,61.4731
410D,61.4731
411B,108.899
411C,108.938
411F,60.0369
412B,112.154
412C,84.3447
412D,110.019
412E,112.195
413C,70.1826
413C2,71.9717
413D,71.9717
413E,
413F,
501C,173.672
502C,177.367
503C,
504C,155.222
505C,148.079
506C,
507C,81.3758
508C,106.217
509C,123.256
510C,67.32
511C,68.1281
512C,60.5511
501D,138.302
502D,171.084
503D,141.995
504D,156.413
505D,160.809
506D,144.449
507D,79.0217
508D,116.934
509D,88.8739
510D,70.7656
511D,80.6346
512D,61.7891
501E,141.674
502E,159.849
503E,135.277
504E,157.99
505E,155.744
506E,168.141
507E,81.0533
508E,80.6976
509E,68.3694
510E,70.508
511E,79.9092
512E,64.9518
501F,134.683
502F,139.185
503F,134.925
504F,148.012
505F,165.724
506F,223.154
507F,79.813
508F,81.4941
509F,82.1747
510FG,71.1077
511FG,79.8986
512F,57.1459
501G,169.391
502G,147.855
503G,134.561
504G,155.094
505G,157.709
506G,162.216
507G,76.8815
508G,79.4777
509G,80.7791
512G,64.8553
507H,81.0487
508H,73.5178
509H,80.9924
510H,71.9061
511H,62.9644
512H,82.2955
513H,78.9149
601H,156.853
602H,143.811
603H,137.524
604H,165.494
605H,157.396
606H,133.191
607A,81.0486
608A,82.4761
609A,80.9928
610A,71.9091
611A,62.9697
612A,82.2955
613A,82.0908
614H,135.174
601I,169.189
602I,157.177
603I,148.23
604I,163.306
605I,153.613
606I,143.338
607B,81.2236
608B,72.1076
609B,81.3894
610B,68.8839
611B,64.7345
612B,84.5146
613B,73.9637
614I,137.166
601J,168.421
602J,162.292
603J,131.041
604J,146.391
605J,158.355
606J,134.584
614J,149.369
607C,79.9519
608C,84.6736
609C,79.6019
610C,71.9824
611C,64.8386
612C,81.9304
601K,212.429
602K,156.509
603K,143.737
604K,163.085
605K,160.524
606K,154.629
701A,145.835
702A,176.183
703A,223.154
704A,158.948
705A,223.154
706A,175.879
707A,134.628
703B,149.085
704B,185.532
705B,153.211
708A,50.6971
709A,42.8297
710A,123.948
711A,145.527
712A,79.9788
713A,179.821
714A,114.965
701B,145.835
702B,176.183
706B,175.879
707B,134.628
708B,50.6971
709B,42.8297
710B,123.948
711B,145.527
712B,79.9788
713B,179.821
714B,114.965
701D,168.93
702D,176.156
703D,112.983
704D,185.988
705D,223.154
706D,176
707D,172.513
708D,59.5649
709D,58.4127
710D,84.6212
711D,145.527
712D,
713D,179.821
714D,92.6809
701E,182.345
702E,170.295
703E,223.154
704E,194.527
706E,175.986
707E,175.3
709E,104.801
710E,79.7456
711E,145.527
712E,78.3826
713E,179.821
714E,75.7443
701F,182.746
702F,170.381
703F,145.595
704F,194.358
707F,175.246
709F,104.873
710F,79.7422
711F,145.527
712F,78.4478
713F,179.821
714F,75.8114
701G,182.701
702G,170.449
703G,146.069
704G,138.853
707G,175.143
709G,104.873
710G,66.1614
711G,145.527
712G,78.3806
713G,179.821
714G,75.8403
801D,182.716
801E,182.726
802A,170.202
803A,145.981
803B,145.938
803D,223.154
804A,138.883
804C,137.605
805B,160.39
807A,175.258
807B,155.764
807D,147.627
807E,147.673
809F,112.65
809G,115.452
810A,66.1795
810B,66.2429
810C,66.0933
810D,61.5068
810E,61.2082
810F,60.7062
810G,56.6399
811G,156.563
812A,62.8585
812B,62.708
812C,62.6897
812D,57.5185
812E,102.76
812G,55.4612
813A,145.527
813B,102.502
813G,170.459
814A,127.617
814G,179.821
801A,182.637
801B,182.76
801C,182.593
801F,132.03
801G,132.949
802C,129.794
802D,129.744
802E,129.888
802F,130.004
802G,133.828
803C,223.154
803E,223.154
803F,101.455
803G,104.981
804D,166.148
804E,166.14
804F,166.072
804G,170.353
805C,223.154
805D,138.16
805E,138.21
805F,138.177
805G,144.291
807C,223.154
807F,113.33
807G,124.685
809A,105.069
809B,104.484
809C,98.9396
809D,112.882
809E,112.65
811A,86.9653
811B,86.9876
811C,87.0064
811D,81.5592
811E,78.0698
813C,99.0311
813D,90.6047
813E,90.6654
814B,120.357
814C,
814D,74.8414
814E,74.7539
901C,141.386
902C,129.934
903C,133.94
903D,133.92
903E,133.975
903F,102.993
903G,134.842
904C,151.814
904D,151.781
904E,150.405
904F,147.686
904G,146.1
905C,100.555
905D,95.8736
905E,106.031
905F,106.316
905G,109.571
906C,126.31
906G,130.262
907C,110.843
909B,94.9095
909C,100.06
911C,120.259
911F,125.424
901B,116.869
904A,164.973
904B,164.973
905A,125.793
905B,125.611
906A,143.372
907A,132.721
907B,132.668
908A,167.341
908B,167.303
908D,167.28
908F,163.492
909A,145.46
910A,163.505
910B,163.468
910C,163.507
910D,163.591
910E,167.923
910G,166.579
913A,179.821
913B,179.821
901D,97.5802
901E,92.3397
901F,91.9234
901G,96.3841
902D,52.6626
902E,72.5359
902F,87.1761
907D,56.7672
907E,51.6405
907F,51.6511
907G,51.8988
01A,117.025
06B,126.04
06D,147.412
06E,148.493
06F,129.797
08C,167.23
08E,163.492
08G,103.059
10F,166.579
11A,150.963
11B,150.963
11D,115.697
11E,119.648
12A,145.527
12B,145.527
01A,71.7872
02A,62.4865
03A,97.1782
04A,164.643
05A,106.378
06A,57.7702
11A,100.445
12A,146.328
13A,165.831
01B,87.5671
02B,62.3563
03B,97.2081
04B,207.078
05B,106.49
06B,70.9428
11B,100.131
12B,130.607
13B,165.831
01C,87.5505
02C,44.9458
03C,97.1699
06C,76.2611
04C,170.654
05C,116.975
11C,90.4919
12C,132.161
13C,146.25
01D,103.436
02D,64.5022
03D,101.532
06D,60.0785
04D,179.45
05D,116.909
11D,90.622
12D,132.293
13D,146.263
02E,64.5317
03E,101.356
04E,179.807
06E,59.2447
11E,100.069
12E,140.11
13E,164.615
01F,90.7033
02F,62.7923
03F,93.62
01G,97.2157
02G,65.3492
03G,93.5247
04F,173.058
05F,151.649
06G,64.2427
11F,100.38
12F,139.952
13F,164.51
01H,97.3459
02H,65.2745
03H,102.313
04G,172.814
06H,59.9835
12G,159.748
13G,186.657
