"site","Date.Placement.x","Days.x","Last.Record_clean","Northing.x","Easting.x","Easting","Northing","Lat","Lon","Functioning.","Brand.x","Date.Placement.y","Date.Removed","Days.y","Brand.y","Days....","Conservation.Area","Active.Logging","Logged.in.Year","Hurricane.Damage","Fire.Damage","Location.descr.","Landscape","Notes"
"403A",2014-03-18,35,2014-04-23,1926154,291031,291031,1926154,17.4133595138,-88.967180888,"","Bushnell","March 18, 2014","2014-04-23",35,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Valley","Broadleaf forest, broken canopy",""
"410B",2014-04-23,35,2014-05-29,1934085,282304,282304,1934085,17.4841786056,-89.0501074892,"","Moultry","April 23, 2014","2014-05-28",35,"Moultry",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"405B",2014-04-23,35,2014-05-29,1932033,283454,283454,1932033,17.4657465609,-89.0390722646,"","Moultry","April 23, 2014","2014-05-28",35,"Moultry",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"405C",2014-05-28,48,2014-07-16,1933798,283406,283406,1933798,17.4816862271,-89.0397030029,"","Moultry","May 28, 2014","2014-07-18",48,"Moultry",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"409C",2014-05-28,48,2014-07-17,1932206,287509,287509,1932206,17.4677022173,-89.0009195294,"","Moultry","May 28, 2014","2014-07-18",48,"Moultry",NA,"No","No","2013","Yes","no","Logging Road","Broadleaf forest, broken canopy",""
"404C",2014-05-28,47,2014-07-17,1927908,304607,304607,1927908,17.4304252087,-88.8395865715,"","Scoutguard","May 28, 2014","2014-07-18",47,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Broadleaf forest, broken canopy",""
"406C",2014-05-28,45,2014-07-14,1934195,283359,283359,1934195,17.4852662334,-89.0401820103,"","Bushnell","May 28, 2014","2014-07-18",45,"Bushnell",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"403C",2014-05-28,60,2014-07-28,1926510,290976,290976,1926510,17.4165711362,-88.9677341079,"","Bushnell","May 28, 2014","2014-07-18",60,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Valley","Broadleaf forest, broken canopy",""
"412C",2014-05-28,48,2014-07-17,1934210,282701,282701,1934210,17.485340231,-89.0463810851,"","Scoutguard","May 28, 2014","2014-07-18",48,"Scoutguard",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"413C2",2014-07-18,50,2014-09-17,1927594,302854,302850,1927087,17.4228570016,-88.8560519999,"","Bushnell","July 18, 2014","2014-09-18",50,"Bushnell",NA,"Yes","No","na","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",""
