"site","Date_Place.x","Days.x","Last.Record","Northing.1","Easting.1","Brand","Date_Place.y","Time","Date_Remov","Days.y","Easting","Northing","Lat","Lat.1","Notes","Compartmen","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape"
"506G",2015-11-09,61,2016-01-10,1956194,292534,"Bushnell","November 9, 2015",NA,"January 9, 2015",61,292534,1956194,17.6848716281,-88.955950079," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"510H",2015-12-01,90,2016-03-01,1935522.766,282719,"Moultrycam","December 1, 2015",NA,"February 29, 2016",90,282719,1935523,17.4972022527,-89.04634609," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"507H",2015-12-01,90,2016-03-01,1934993.94,283483,"Bushnell","December 1, 2015",NA,"February 29, 2016",90,283483,1934994,17.4924992471,-89.0390950005,"Changed date",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"509H",2015-12-01,90,2016-03-01,1935382.07,283730,"Bushnell","December 1, 2015",NA,"February 29, 2016",90,283730,1935382,17.4960292545,-89.0368069745," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"504C",2015-04-10,49,2015-05-30,1954318,292789,"Scoutguard","April 10, 2015",NA,"May 30, 2015",49,292789,1954318,17.6679510015,-88.953363," ",NA,"No","Yes",NA,"No","No","Along narrow seismic line","Mature forest"
"509C",2015-04-10,49,2015-05-30,1935198,280114,"Bushnell","April 10, 2015",NA,"May 30, 2015",49,280114,1935198,17.4940120016,-89.070833," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"501C",2015-04-10,49,2015-05-30,1954693,292447,"Bushnell","April 10, 2015",NA,"May 30, 2015",49,292447,1954693,17.6713000015,-88.956623," ",NA,"No","Yes",NA,"No","No","Along narrow seismic line","Mature forest"
"507C",2015-04-10,49,2015-05-30,1935412,283656,"Bushnell","April 10, 2015",NA,"May 30, 2015",49,283656,1935412,17.4962940016,-89.037508," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"504D",2015-05-30,67,2015-08-06,1956114,291590,"Scoutguard","May 30, 2015",NA,"June 29, 2015",67,291590,1956114,17.6840636232,-88.9648431865," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"503D",2015-05-30,67,2015-08-06,1958254,292559,"Bushnell","May 30, 2015",NA,"June 29, 2015",67,292559,1958254,17.7034806613,-88.9559180865," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"501D",2015-05-30,67,2015-08-06,1957992,292588,"Bushnell","May 30, 2015",NA,"June 29, 2015",67,292588,1957992,17.7011206572,-88.9556220819," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"502D",2015-05-30,67,2015-08-06,1955608,291686,"Moultrycam","May 30, 2015",NA,"June 29, 2015",67,291686,1955608,17.6795026155,-88.963884173," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"505D",2015-05-30,24,2015-06-24,1956661,290391,"Moultrycam","May 30, 2015",NA,"June 29, 2015",24,290391,1956661,17.6888846273,-88.9761933263,"Took only 22 useful pictures",NA,"No","Yes",NA,"No","No","Along narrow logging trail","Mature forest"
"507E",2015-06-29,78,2015-09-16,1934992,283482,"Bushnell","June 29, 2015",NA,"September 15, 2015",78,283482,1934992,17.4924852471,-89.0391080006," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"510E",2015-06-29,78,2015-09-16,1934730,281670,"Moultrycam","June 29, 2015",NA,"September 15, 2015",78,281670,1934730,17.4899402353,-89.0561392048," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"504E",2015-06-29,78,2015-09-16,1955971,290567,"Scoutguard","June 29, 2015",NA,"September 15, 2015",78,290567,1955971,17.6826706169,-88.9744703027," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"506E",2015-06-29,78,2015-09-16,1955895,292491,"Bushnell","June 29, 2015",NA,"September 15, 2015",78,292491,1955895,17.6821686232,-88.9563290824," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"502E",2015-06-29,78,2015-09-16,1955799,290847,"Moultrycam","June 29, 2015",NA,"September 15, 2015",78,290847,1955799,17.6811476153,-88.9718102698," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"512F",2015-09-15,55,2015-11-10,1935445,281718,"Scoutguard","September 15, 2015",NA,"November 9, 2015",55,281718,1935445,17.4964032473,-89.0557592032," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"504F",2015-09-15,25,2015-10-11,1956370,289314,"Scoutguard","September 15, 2015",NA,"November 9, 2015",25,289314,1956370,17.6861566184,-88.986316448,"Only movies",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
