"site","Date.Placement.x","Days.x","Last.Record","Northing.x","Easting.x","Brand","Date.Placement.y","Date.Removed","Days.y","Northing.y","Easting.y","Lat","Long","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location"
"601H",2016-01-09,106,2016-04-25,1956096,291628,"Bushnell","January 9, 2016","April 21, 2016",106,1956096,291628,17.6839015139,-88.9644796887,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"601I",2016-04-21,14,2016-05-06,1955672.809,291732.9954,"Bushnell","April 21, 2016","July 5, 2016",14,1955672.809,291732.9954,17.68008845,-88.9634486865,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"601J",2016-07-05,61,2016-09-05,1955892.942,292495.3321,"Bushnell","July 5, 2016","September 8, 2016",61,1955892.942,292495.3321,17.680309,-88.956324,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"602H",2016-01-09,106,2016-04-25,1956524,289220,"Moultrycam","January 9, 2016","April 21, 2016",106,1956524,289220,17.6875398975,-88.9872150069,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"602I",2016-04-21,9,2016-05-01,1956768.973,290526.9986,"Moultrycam","April 21, 2016","July 5, 2016",9,1956768.973,290526.9986,17.6898769452,-88.9749219213,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"602J",2016-07-05,15,2016-07-21,1956615.659,290333.1831,"Moultrycam","July 5, 2016","September 8, 2016",15,1956615.659,290333.1831,17.686634,-88.976771,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"602K",2016-09-08,7,2016-09-16,1956808.685,290536.9232,"Moultrycam","September 8, 2016","December 7, 2016",7,1956808.685,290536.9232,17.688397,-88.97487,NA,"No","No",2015,"Yes","No","Along large logging road","Mature Forest","Laguna Seca"
"603H",2016-01-09,98,2016-04-17,1957175,291306,"Bushnell","January 9, 2016","April 21, 2016",98,1957175,291306,17.6936184237,-88.9676203522,NA,"No","No",2015,"No","No","At pond","Mature Forest","Laguna Seca"
"603J",2016-07-05,64,2016-09-08,1958198.757,291879.4716,"Bushnell","July 5, 2016","September 8, 2016",64,1958198.757,291879.4716,17.701081,-88.962354,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"603K",2016-09-08,90,2016-12-08,1956871.59,291402.3767,"Bushnell","September 8, 2016","December 7, 2016",90,1956871.59,291402.3767,17.689047,-88.96672,NA,"No","No",2015,"Yes","No","Along large logging road","Mature Forest","Laguna Seca"
"604H",2016-01-09,48,2016-02-27,1956298,290315,"Scoutguard","January 9, 2016","April 21, 2016",48,1956298,290315,17.6856023214,-88.9768733001,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"604I",2016-04-21,52,2016-06-13,1956331.672,290480.2899,"Scoutguard","April 21, 2016","July 5, 2016",52,1956331.672,290480.2899,17.6859221497,-88.9753189299,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"605H",2016-01-09,9,2016-01-19,1955929,290556,"Moultrycam","January 9, 2016","April 21, 2016",9,1955929,290556,17.6822917554,-88.9745656946,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"605I",2016-04-21,75,2016-07-06,1955489.141,290611.8585,"Moultrycam","April 21, 2016","July 5, 2016",75,1955489.141,290611.8585,17.6783235424,-88.9739959036,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"605J",2016-07-05,64,2016-09-08,1956001.528,290563.1678,"Moultrycam","July 5, 2016","September 8, 2016",64,1956001.528,290563.1678,17.681108,-88.974543,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
"605K",2016-09-08,20,2016-09-29,1955898.961,290971.0612,"Moultrycam","September 8, 2016","December 7, 2016",20,1955898.961,290971.0612,17.68022,-88.970689,NA,"No","No",2015,"Yes","No","Along large logging road","Mature Forest","Laguna Seca"
"606J",2016-07-05,64,2016-09-08,1957370.317,291303.9147,"Bushnell","July 5, 2016","September 8, 2016",64,1957370.317,291303.9147,17.693543,-88.967697,NA,"No","No",2015,"No","No","At pond","Mature Forest","Laguna Seca"
"606K",2016-09-08,71,2016-11-19,1956184.801,291489.0159,"Bushnell","September 8, 2016","December 7, 2016",71,1956184.801,291489.0159,17.682851,-88.965836,NA,"No","No",2015,"Yes","No","Along large logging road","Mature Forest","Laguna Seca"
"607A",2016-02-29,82,2016-05-22,1934993.94,283483,"Bushnell","February 29, 2016","May 20, 2016",82,1934993.94,283483,17.4924992471,-89.0390950005,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"607C",2016-07-30,83,2016-10-22,1934601.873,283500.6742,"Bushnell","July 30, 2016","October 21, 2016",83,1934601.873,283500.6742,17.48712,-89.038928,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"608A",2016-02-29,37,2016-04-07,1934506,282740,"Scoutguard","February 29, 2016","May 20, 2016",37,1934506,282740,17.4880195506,-89.0460418718,NA,"No","No",2015,"Yes","No","Along narrow logging trail","Disturbed High Forest","Yalbac"
"608B",2016-05-20,4,2016-05-25,1934169.97,281332.8739,"Scoutguard","May 20, 2016","July 30, 2016",4,1934169.97,281332.8739,17.4848472044,-89.059253446,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"608C",2016-07-30,58,2016-09-27,1934429.576,280789.7606,"Bushnell","July 30, 2016","October 21, 2016",58,1934429.576,280789.7606,17.4853,-89.064429,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"609A",2016-02-29,77,2016-05-17,1935382.07,283730,"Bushnell","February 29, 2016","May 20, 2016",77,1935382.07,283730,17.4960292545,-89.0368069745,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"609B",2016-05-20,71,2016-07-31,1935420.408,283663.8286,"Bushnell","May 20, 2016","July 30, 2016",71,1935420.408,283663.8286,17.4963691396,-89.0374375382,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"609C",2016-07-30,83,2016-10-22,1935217.603,283820.4245,"Bushnell","July 30, 2016","October 21, 2016",83,1935217.603,283820.4245,17.492713,-89.03598,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"610A",2016-02-29,75,2016-05-15,1935522.766,282719,"Moultrycam","February 29, 2016","May 20, 2016",75,1935522.766,282719,17.4972022527,-89.04634609,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"610B",2016-05-20,11,2016-06-01,1935159.596,282106.5015,"Moultrycam","May 20, 2016","July 30, 2016",11,1935159.596,282106.5015,17.4938621578,-89.052071474,NA,"No","No",2015,"Yes","No","Along narrow logging trail","Disturbed High Forest","Yalbac"
"610C",2016-07-30,83,2016-10-22,1935517.445,282719.2885,"Bushnell","July 30, 2016","October 21, 2016",83,1935517.445,282719.2885,17.495315,-89.046376,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"611A",2016-02-29,19,2016-03-20,1935456.716,282087,"Moultrycam","February 29, 2016","May 20, 2016",19,1935456.716,282087,17.496544249,-89.0522831613,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"611B",2016-05-20,24,2016-06-14,1935222.93,281920.4348,"Moultrycam","May 20, 2016","July 30, 2016",24,1935222.93,281920.4348,17.4944161558,-89.0538294659,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"611C",2016-07-30,67,2016-10-06,1935654.01,282177.5093,"Moultrycam","July 30, 2016","October 21, 2016",67,1935654.01,282177.5093,17.496496,-89.05149,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"612A",2016-02-29,2,2016-04-12,1934690.881,283335,"Moultrycam","February 29, 2016","May 20, 2016",2,1934690.881,283335,17.4897472415,-89.0404620157,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"612C",2016-07-30,6,2016-08-06,1934535.869,282367.739,"Moultrycam","July 30, 2016","October 21, 2016",6,1934535.869,282367.739,17.486414,-89.049586,NA,"No","No",2015,"Yes","No","Along large logging road","Disturbed High Forest","Yalbac"
"614H",2016-01-09,46,2016-02-25,1957350,291319,"Bushnell","January 9, 2016","April 21, 2016",46,1957350,291319,17.6952005266,-88.967515054,NA,"No","No",2015,"No","No","At pond","Mature Forest","Laguna Seca"
"614I",2016-04-21,75,2016-07-06,1958138.327,292555.7272,"Bushnell","April 21, 2016","July 5, 2016",75,1958138.327,292555.7272,17.7024382938,-88.9559365294,NA,"No","No",2015,"Yes","No","Along large logging road","Mature Forest","Laguna Seca"
"614J",2016-07-05,64,2016-09-08,1956457.678,291329.298,"Bushnell","July 5, 2016","September 8, 2016",64,1956457.678,291329.298,17.685301,-88.967368,NA,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca"
"604J",2016-07-05,61,2016-09-05,1956539.964,289340.9825,"Bushnell","July 5, 2016","September 8, 2016",61,1956539.964,289340.9825,17.685856,-88.986114,NA,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca"
