site,First_Obs,Days.x,Last.Record_clean,Northing.x,Easting.x,Logging,Brand,Date.Placement,Date.Removed,Days.y,Northing.y,Easting.y,Lat,Long,Notes,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area
701A,1/27/2017,113,5/21/2017,1954260,291445,No,,27-Jan-17,15-May-17,113,1954260,291445,17.665457,-88.966065,NA,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca
701B,5/15/2017,23,6/8/2017,1954260,291445,No,,15-May-17,18-Jul-17,23,1954260,291445,17.665457,-88.966065,NA,,Yes,NA,,,,,
701D,7/18/2017,70,9/27/2017,1955685,292340,Yes,,18-Jul-17,27-Sep-17,70,1955685,292340,17.67841497,-88.95777203,NA,,Yes,NA,,,,,
701E,9/27/2017,2,9/30/2017,1955730,292704,Yes,,27-Sep-17,31-Oct-17,2,1955730,292704,17.678859,-88.954339,NA,,Yes,NA,,,,,
701F,10/31/2017,2,11/4/2017,1955721,292709,Yes,,31-Oct-17,1-Dec-17,2,1955721,292709,17.67878,-88.954291,NA,,Yes,NA,,,,,
701G,12/1/2017,1,12/3/2017,1955721,292708,Yes,,1-Dec-17,2-Jan-18,1,1955721,292708,17.678773,-88.9543,NA,,Yes,NA,,,,,
702A,1/27/2017,100,5/8/2017,1955449,291963,Yes,,27-Jan-17,15-May-17,100,1955449,291963,17.67625,-88.961293,NA,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca
702B,5/15/2017,63,7/18/2017,1955449,291963,Yes,,15-May-17,18-Jul-17,63,1955449,291963,17.67625,-88.961293,NA,,Yes,NA,,,,,
702D,7/18/2017,70,9/27/2017,1955450,291966,Yes,,18-Jul-17,27-Sep-17,70,1955450,291966,17.6762615,-88.9612672,NA,,Yes,NA,,,,,
702E,9/27/2017,13,10/13/2017,1954868,291991,Yes,,27-Sep-17,31-Oct-17,13,1954868,291991,17.671006,-88.960976,NA,,Yes,NA,,,,,
702F,10/31/2017,4,11/5/2017,1954869,291995,Yes,,31-Oct-17,1-Dec-17,4,1954869,291995,17.671009,-88.960939,NA,,Yes,NA,,,,,
702G,12/1/2017,30,1/1/2018,1954864,292003,Yes,,1-Dec-17,2-Jan-18,30,1954864,292003,17.670969,-88.960862,NA,,Yes,NA,,,,,
703A,1/27/2017,113,5/21/2017,1956465,293867,Yes,,27-Jan-17,15-May-17,113,1956465,293867,17.685606,-88.943455,NA,No,Yes,NA,No,No,In secondary bush along drillplatform,Mature Forest,Laguna Seca
703B,5/15/2017,4,5/20/2017,1957726,294490,Yes,,15-May-17,18-Jul-17,4,1957726,294490,17.697052,-88.937708,NA,No,Yes,NA,No,No,Next main road,Mature Forest,Laguna Seca
703E,9/27/2017,16,10/14/2017,1956550,293764,Yes,,27-Sep-17,31-Oct-17,16,1956550,293764,17.68636,-88.944435,NA,,Yes,NA,,,,,
703F,10/31/2017,27,11/28/2017,1956756,289427,Yes,,31-Oct-17,1-Dec-17,27,1956756,289427,17.687813,-88.985328,NA,,Yes,NA,,,,,
703G,12/1/2017,32,1/3/2018,1956745,289441,Yes,,1-Dec-17,2-Jan-18,32,1956745,289441,17.687721,-88.985195,NA,,Yes,NA,,,,,
704F,10/31/2017,21,11/22/2017,1955755,292978,Yes,,31-Oct-17,1-Dec-17,21,1955755,292978,17.679107,-88.951758,NA,,Yes,NA,,,,,
704G,12/1/2017,32,1/3/2018,1956674,288921,Yes,,1-Dec-17,2-Jan-18,32,1956674,288921,17.687031,-88.990088,NA,,Yes,NA,,,,,
706A,1/27/2017,30,2/27/2017,1955257,291944,Yes,,27-Jan-17,15-May-17,30,1955257,291944,17.674513,-88.961456,NA,No,Yes,NA,No,No,Near dry stream,Mature Forest,Laguna Seca
706B,5/15/2017,63,7/18/2017,1955257,291944,Yes,,15-May-17,18-Jul-17,63,1955257,291944,17.674513,-88.961456,NA,,Yes,NA,,,,,
706D,7/18/2017,70,9/27/2017,1955265,291942,Yes,,18-Jul-17,27-Sep-17,70,1955265,291942,17.67458713,-88.96148144,NA,,Yes,NA,,,,,
706E,9/27/2017,24,10/22/2017,1955262,291948,Yes,,27-Sep-17,31-Oct-17,24,1955262,291948,17.67456,-88.961419,NA,,Yes,NA,,,,,
707A,1/27/2017,17,2/14/2017,1957366,291303,No,Bushnell,27-Jan-17,15-May-17,17,1957366,291303,17.693507,-88.967704,NA,No,Yes,NA,No,No,Near pond,Mature Forest,Laguna Seca
707D,7/18/2017,42,8/30/2017,1954601,292233,Yes,,18-Jul-17,27-Sep-17,42,1954601,292233,17.66861527,-88.9586725,NA,,Yes,NA,,,,,
707E,9/27/2017,34,11/1/2017,1954820,292291,Yes,,27-Sep-17,31-Oct-17,34,1954820,292291,17.670596,-88.958141,NA,,Yes,NA,,,,,
707F,10/31/2017,4,11/5/2017,1954811,292291,Yes,,31-Oct-17,1-Dec-17,4,1954811,292291,17.670518,-88.958148,NA,,Yes,NA,,,,,
707G,12/1/2017,14,12/16/2017,1954813,292285,Yes,,1-Dec-17,2-Jan-18,14,1954813,292285,17.670534,-88.958203,NA,,Yes,NA,,,,,
708A,2/20/2017,77,5/9/2017,1930386,292116,No,,20-Feb-17,15-May-17,77,1930386,292116,17.449853,-88.957415,NA,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
708B,5/15/2017,63,7/18/2017,1930386,292116,No,,15-May-17,18-Jul-17,63,1930386,292116,17.449853,-88.957415,NA,,Yes,NA,,,,,
708D,7/18/2017,13,8/10/2017,1936906,294891,Yes,,18-Jul-17,29-Aug-17,13,1936906,294891,17.50900867,-88.93192635,NA,,Yes,NA,,,,,
709A,2/20/2017,35,3/28/2017,1932774,292905,No,,20-Feb-17,15-May-17,35,1932774,292905,17.471496,-88.950226,NA,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
709B,5/15/2017,63,7/18/2017,1932774,292905,No,,15-May-17,18-Jul-17,63,1932774,292905,17.471496,-88.950226,NA,,Yes,NA,,,,,
709E,8/29/2017,34,10/29/2017,1941213,290305,Yes,,29-Aug-17,31-Oct-17,34,1941213,290305,17.547492,-88.975519,NA,,Yes,NA,,,,,
709F,10/31/2017,23,11/24/2017,1941212,290304,Yes,,31-Oct-17,1-Dec-17,23,1941212,290304,17.547483,-88.97553,NA,,Yes,NA,,,,,
709G,12/1/2017,32,1/3/2018,1941212,290304,Yes,,1-Dec-17,2-Jan-18,32,1941212,290304,17.547483,-88.97553,NA,,Yes,NA,,,,,
710B,5/15/2017,63,7/18/2017,1934129,293348,No,,15-May-17,18-Jul-17,63,1934129,293348,17.483782,-88.94618,NA,,Yes,NA,,,,,
710E,8/29/2017,34,10/31/2017,1934823,283568,No,,29-Aug-17,31-Oct-17,34,1934823,283568,17.489127,-89.038313,NA,,Yes,NA,,,,,
710G,12/1/2017,30,1/2/2018,1935996,286071,No,,1-Dec-17,2-Jan-18,30,1935996,286071,17.499964,-89.014871,NA,,Yes,NA,,,,,
711A,2/20/2017,37,3/30/2017,1943299,287797,No,,20-Feb-17,15-May-17,37,1943299,287797,17.566096,-88.999345,NA,No,Yes,NA,Yes,No,Near pond,Hurricane damaged forest,Yalbac
711D,7/18/2017,30,8/18/2017,1943305,287797,No,,18-Jul-17,29-Aug-17,30,1943305,287797,17.56614667,-88.9993461,NA,,Yes,NA,,,,,
711E,8/29/2017,21,10/20/2017,1943231,287764,No,,29-Aug-17,31-Oct-17,21,1943231,287764,17.565477,-88.999653,NA,,Yes,NA,,,,,
711F,10/31/2017,32,12/3/2017,1943223,287764,No,,31-Oct-17,1-Dec-17,32,1943223,287764,17.565404,-88.999648,NA,,Yes,NA,,,,,
712A,2/20/2017,84,5/16/2017,1937363,293537,Yes,,20-Feb-17,15-May-17,84,1937363,293537,17.51301,-88.944714,NA,No,Yes,NA,Yes,No,Next main road,Hurricane damaged forest,Yalbac
712B,5/15/2017,8,7/7/2017,1937363,293537,Yes,,15-May-17,18-Jul-17,8,1937363,293537,17.51301,-88.944714,NA,,Yes,NA,,,,,
712D,7/18/2017,16,8/4/2017,1940833,295032,Yes,,18-Jul-17,29-Aug-17,16,1940833,295032,17.54449496,-88.930975,NA,,Yes,NA,,,,,
712E,8/29/2017,34,10/29/2017,1935327,284298,No,,29-Aug-17,31-Oct-17,34,1935327,284298,17.49375,-89.031492,NA,,Yes,NA,,,,,
712F,10/31/2017,32,12/3/2017,1935332,284298,No,,31-Oct-17,1-Dec-17,32,1935332,284298,17.493788,-89.031494,NA,,Yes,NA,,,,,
712G,12/1/2017,30,1/1/2018,1935325,284292,No,,1-Dec-17,2-Jan-18,30,1935325,284292,17.493727,-89.031549,NA,,Yes,NA,,,,,
713A,2/20/2017,57,4/19/2017,1942718,287455,No,,20-Feb-17,15-May-17,57,1942718,287455,17.560817,-89.002509,NA,No,Yes,NA,Yes,No,Near pond (telebasis pond),Hurricane damaged forest,Yalbac
713B,5/15/2017,63,7/18/2017,1942718,287455,No,,15-May-17,18-Jul-17,63,1942718,287455,17.560817,-89.002509,NA,,Yes,NA,,,,,
713D,7/18/2017,16,8/4/2017,1942752,287470,No,,18-Jul-17,29-Aug-17,16,1942752,287470,17.56112742,-89.00236987,NA,,Yes,NA,,,,,
713E,8/29/2017,34,10/16/2017,1942743,287473,No,,29-Aug-17,31-Oct-17,34,1942743,287473,17.561047,-89.002346,NA,,Yes,NA,,,,,
713F,10/31/2017,32,12/3/2017,1942758,287470,No,,31-Oct-17,1-Dec-17,32,1942758,287470,17.561181,-89.002371,NA,,Yes,NA,,,,,
713G,12/1/2017,30,1/1/2018,1942758,287470,No,,1-Dec-17,2-Jan-18,30,1942758,287470,17.561181,-89.002371,NA,,Yes,NA,,,,,
714A,2/20/2017,23,3/16/2017,1938061,292331,No,,20-Feb-17,15-May-17,23,1938061,292331,17.519204,-88.956141,NA,No,Yes,NA,Yes,No,Small logging road,Hurricane damaged forest,Yalbac
714B,5/15/2017,63,7/18/2017,1938061,292331,No,,15-May-17,18-Jul-17,63,1938061,292331,17.519204,-88.956141,NA,,Yes,NA,,,,,
714D,7/18/2017,6,7/25/2017,1941582,293709,Yes,,18-Jul-17,29-Aug-17,6,1941582,293709,17.55114399,-88.94350243,NA,,Yes,NA,,,,,
714F,9/4/2017,32,12/3/2017,1941596,291248,Yes,,31-Oct-17,1-Dec-17,32,1941596,291248,17.55104,-88.966678,NA,,Yes,NA,,,,,
714G,12/1/2017,32,1/3/2018,1941597,291249,Yes,,1-Dec-17,2-Jan-18,32,1941597,291249,17.551045,-88.966671,NA,,Yes,NA,,,,,
