"site","First_Obs","Days.x","Last.Record_clean","Northing.y","Easting.y","Brand","Date.Placement","Date.Removed","Last.record","Days.y","Easting","Northing","Lat","Long","Notes","Site","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Area"
"813A",2018-01-02,63,2018-03-05,1943221,287746,"Bushnell","2-Jan-18","5-Mar-18","5-Mar-18",63,287746,1943221,17.565386,-88.999822,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"803A",2018-01-02,63,2018-03-05,1956750,289440,"Bushnell","2-Jan-18","5-Mar-18","5-Mar-18",63,289440,1956750,17.687765,-88.985202,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"804A",2018-01-02,31,2018-02-02,1956673,288916,"Moultrie","2-Jan-18","5-Mar-18","2-Feb-18",31,288916,1956673,17.687019,-88.990134,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"814A",2018-01-02,63,2018-03-05,1941086,289441,"Bushnell","2-Jan-18","5-Mar-18","5-Mar-18",63,289441,1941086,17.546265,-88.983645,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"807A",2018-01-02,63,2018-03-05,1954813,292291,"Bushnell","2-Jan-18","5-Mar-18","5-Mar-18",63,292291,1954813,17.670536,-88.958142,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"807B",2018-03-05,46,2018-04-20,1956145,291485,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,291485,1956145,17.682487,-88.965874,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"803B",2018-03-05,46,2018-04-20,1956746,289436,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,289436,1956746,17.687725,-88.985237,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"810B",2018-03-05,46,2018-04-20,1935996,286075,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,286075,1935996,17.499957,-89.014831,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"805B",2018-03-05,46,2018-04-20,1956668,290411,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,290411,1956668,17.687115,-88.976046,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"812B",2018-03-05,46,2018-04-20,1935398,286540,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,286540,1935398,17.494604,-89.010397,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"804C",2018-04-20,33,2018-05-22,1956756,288918,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,288918,1956756,17.687768,-88.99012,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"810C",2018-04-20,33,2018-05-22,1935990,286074,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,286074,1935990,17.499906,-89.01484,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"803D",2018-05-22,36,2018-06-27,1956073,293723,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,293723,1956073,17.682048,-88.944776,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"810D",2018-05-22,36,2018-06-27,1935931,285371,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,285371,1935931,17.499305,-89.021451,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"807D",2018-05-22,34,2018-06-25,1956284,289277,"Bushnell","22-May-18","27-Jun-18","25-Jun-18",34,289277,1956284,17.68354,-88.986696,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"812E",2018-06-27,140,2018-11-17,1935980,287809,"Bushnell","27-Jun-18","17-Nov-18","17-Nov-18",140,287809,1935980,17.499978,-88.998508,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"801E",2018-06-27,4,2018-09-10,1955722,292709,"Moultrie","27-Jun-18","10-Sep-18","1-Jul-18",4,292709,1955722,17.678785,-88.95429,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"810F",2018-09-10,68,2018-11-17,1935920,285385,"Bushnell","10-Sep-18","17-Nov-18","17-Nov-18",68,285385,1935920,17.499208,-89.021319,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"809G",2018-11-17,34,2018-12-28,1941916,286007,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,286007,1941916,17.555272,-89.016028,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"814G",2018-11-17,34,2018-12-28,1943100,287795,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,287795,1943100,17.566142,-88.999307,NA,"Laguna Seca","no",1356,NA,NA,NA,NA,NA
"812A",2018-01-02,63,2018-03-05,1935392,286543,"Bushnell","2-Jan-18","5-Mar-18","5-Mar-18",63,286543,1935392,17.494554,-89.010372,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"812C",2018-04-20,10,2018-04-30,1935396,286537,"Bushnell","20-Apr-18","22-May-18","30-Apr-18",10,286537,1935396,17.494583,-89.010421,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"810G",2018-11-17,34,2018-12-28,1935724,285375,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,285375,1935724,17.499279,-89.021359,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"812D",2018-05-22,36,2018-06-27,1935581,286087,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,286087,1935581,17.496209,-89.014682,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"813B",2018-03-05,46,2018-04-20,1943570,288932,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,288932,1943570,17.568654,-88.988685,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"811G",2018-11-17,23,2018-12-10,1943199,287914,"Bushnell","17-Nov-18","28-Dec-18","10-Dec-18",23,287914,1943199,17.567047,-88.998196,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"810E",2018-06-27,75,2018-09-10,1935930,285378,"Bushnell","27-Jun-18","10-Sep-18","10-Sep-18",75,285378,1935930,17.499297,-89.021393,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"813G",2018-11-17,34,2018-12-28,1942515,287451,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,287451,1942515,17.560818,-89.002484,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"802A",2018-01-02,43,2018-02-14,1954863,291990,"Moultrie","2-Jan-18","5-Mar-18","14-Feb-18",43,291990,1954863,17.670961,-88.960981,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"807E",2018-06-27,4,2018-07-01,1956285,289279,"Bushnell","27-Jun-18","10-Sep-18","1-Jul-18",4,289279,1956285,17.683543,-88.98667,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"809F",2018-09-10,23,2018-10-10,1941262,290102,"Bushnell","10-Sep-18","17-Nov-18","10-Oct-18",23,290102,1941262,17.547912,-88.977442,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"801A",2018-01-02,63,2018-03-05,1955722,292707,"Moultrie","2-Jan-18","5-Mar-18","5-Mar-18",63,292707,1955722,17.678783,-88.954315,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805C",2018-04-20,33,2018-05-22,1956551,293772,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293772,1956551,17.686371,-88.944355,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803C",2018-04-20,33,2018-05-22,1956084,293726,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293726,1956084,17.682152,-88.944742,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802C",2018-04-20,33,2018-05-22,1957213,288646,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,288646,1957213,17.691871,-88.992728,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805D",2018-05-22,36,2018-06-27,1955478,286384,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,286384,1955478,17.675982,-89.013871,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804D",2018-05-22,36,2018-06-27,1954720,286002,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,286002,1954720,17.669095,-89.017401,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803E",2018-06-27,65,2018-08-31,1956571,293978,"Bushnell","27-Jun-18","10-Sep-18","31-Aug-18",65,293978,1956571,17.686572,-88.942421,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805E",2018-06-27,74,2018-09-09,1955474,286387,"Bushnell","27-Jun-18","10-Sep-18","9-Sep-18",74,286387,1955474,17.675948,-89.013843,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804E",2018-06-27,19,2018-07-16,1954721,286000,"Bushnell","27-Jun-18","10-Sep-18","16-Jul-18",19,286000,1954721,17.669108,-89.01742,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802E",2018-06-27,33,2018-07-30,1957207,288640,"Bushnell","27-Jun-18","10-Sep-18","30-Jul-18",33,288640,1957207,17.691818,-88.992782,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804F",2018-09-10,8,2018-09-18,1954723,286001,"Bushnell","10-Sep-18","17-Nov-18","18-Sep-18",8,286001,1954723,17.669123,-89.017409,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"807F",2018-09-10,9,2018-09-29,1957509,288221,"Bushnell","10-Sep-18","17-Nov-18","29-Sep-18",9,288221,1957509,17.694499,-88.996769,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803F",2018-09-10,68,2018-11-17,1957733,287367,"Bushnell","10-Sep-18","17-Nov-18","17-Nov-18",68,287367,1957733,17.696446,-89.004832,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"801F",2018-09-10,23,2018-10-02,1953552,286030,"Moultrie","10-Sep-18","17-Nov-18","2-Oct-18",23,286030,1953552,17.658549,-89.017011,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802F",2018-09-10,68,2018-11-17,1957201,288642,"Bushnell","10-Sep-18","17-Nov-18","17-Nov-18",68,288642,1957201,17.691763,-88.992769,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804G",2018-11-17,34,2018-12-28,1954514,285989,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,285989,1954514,17.669075,-89.017458,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
