"site","Date.Placement.x","Days.x","Last.record.x","Northing.y","Easting.y","Logging","Property","Brand","Date.Placement.y","Date.Removed","Last.record.y","Days.y","Easting","Northing","Lat","Long"
"901B",2019-03-09,43,2019-04-21,1951003,283780,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190421,43,283780,1951003,17.636365,-89.037943
"901C",2019-04-21,61,2019-06-21,1950244,285889,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,285889,1950244,17.629719,-89.017992
"901D",2019-06-21,36,2019-07-27,1939171,284483,"Logging","Yalbac","Bushnell",20190621,20190727,20190727,36,284483,1939171,17.529547,-89.03012
"901E",2019-07-27,27,2019-08-23,1939596,284632,"Logging","Yalbac","Bushnell",20190727,20190823,20190823,27,284632,1939596,17.532347,-89.028777
"901F",2019-08-23,47,2019-10-09,1939613,284659,"Logging","Yalbac","Bushnell",20190823,20191012,20191009,47,284659,1939613,17.532501,-89.028527
"901G",2019-10-12,57,2019-12-08,1939311,284491,"Logging","Yalbac","Bushnell",20191012,20191208,20191208,57,284491,1939311,17.529758,-89.030074
"902C",2019-04-21,61,2019-06-21,1952294,286518,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,286518,1952294,17.6483,-89.012274
"902D",2019-06-21,19,2019-07-10,1937973,285736,"Logging","Yalbac","Bushnell",20190621,20190727,20190710,19,285736,1937973,17.518843,-89.018209
"902E",2019-07-27,20,2019-08-16,1938190,284544,"Logging","Yalbac","Bushnell",20190727,20190823,20190816,20,284544,1938190,17.519633,-89.029463
"902F",2019-08-23,15,2019-09-07,1939844,285275,"Logging","Yalbac","Bushnell",20190823,20191012,20190907,15,285275,1939844,17.534641,-89.022751
"903C",2019-04-21,61,2019-06-21,1952575,285914,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,285914,1952575,17.650774,-89.01799
"903D",2019-06-21,36,2019-07-27,1952575,285918,"Logging","Laguna Seca","Bushnell",20190621,20190727,20190727,36,285918,1952575,17.650773,-89.017954
"903E",2019-07-27,1,2019-07-28,1952672,286130,"Logging","Laguna Seca","Bushnell",20190727,20190823,20190728,1,286130,1952672,17.650611,-89.015988
"903F",2019-08-23,50,2019-10-12,1952424,290794,"Logging","Laguna Seca","Bushnell",20190823,20191012,20191012,50,290794,1952424,17.648808,-88.972013
"903G",2019-10-12,57,2019-12-08,1952722,286085,"Logging","Laguna Seca","Bushnell",20191012,20191208,20191208,57,286085,1952722,17.651054,-89.016418
"904A",2019-02-02,21,2019-02-23,1951280,284445,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190223,21,284445,1951280,17.638936,-89.031701
"904B",2019-03-09,43,2019-04-21,1951280,284445,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190421,43,284445,1951280,17.638936,-89.031701
"904C",2019-04-21,23,2019-05-14,1950446,285451,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190514,23,285451,1950446,17.631498,-89.022143
"904D",2019-06-21,36,2019-07-27,1950443,285443,"Logging","Laguna Seca","Bushnell",20190621,20190727,20190727,36,285443,1950443,17.631468,-89.022219
"904E",2019-07-27,27,2019-08-24,1950431,286166,"Logging","Laguna Seca","Bushnell",20190727,20190823,20190824,27,286166,1950431,17.630369,-89.015416
"904F",2019-08-23,44,2019-10-06,1950233,286322,"Logging","Laguna Seca","Bushnell",20190823,20191012,20191006,44,286322,1950233,17.628595,-89.013927
"904G",2019-10-12,54,2019-12-05,1950333,286004,"Logging","Laguna Seca","Bushnell",20191012,20191208,20191205,54,286004,1950333,17.629463,-89.016937
"905A",2019-02-02,35,2019-03-09,1953441,286373,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,286373,1953441,17.658643,-89.013755
"905B",2019-03-09,36,2019-04-14,1953446,286380,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190414,36,286380,1953446,17.65869,-89.013687
"905C",2019-04-21,40,2019-05-31,1956312,285900,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190531,40,285900,1956312,17.684532,-89.018499
"905D",2019-06-21,15,2019-07-06,1956356,285725,"Logging","Laguna Seca","Bushnell",20190621,20190727,20190706,15,285725,1956356,17.684914,-89.020159
"905F",2019-08-23,50,2019-10-12,1956712,285540,"Logging","Laguna Seca","Bushnell",20190823,20191012,20191012,50,285540,1956712,17.687044,-89.02195
"905E",2019-07-27,27,2019-08-24,1956709,285545,"Logging","Laguna Seca","Bushnell",20190727,20190823,20190824,27,285545,1956709,17.687021,-89.021906
"905G",2019-10-12,3,2019-10-15,1956923,285482,"Logging","Laguna Seca","Bushnell",20191012,20191208,20191015,3,285482,1956923,17.688945,-89.02252
"906A",2019-02-02,35,2019-03-09,1950828,284131,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,284131,1950828,17.634818,-89.034618
"906C",2019-04-21,61,2019-06-21,1953023,291550,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,291550,1953023,17.655361,-88.96493
"906G",2019-10-12,57,2019-12-08,1953152,291550,"Logging","Laguna Seca","Bushnell",20191012,20191208,20191208,57,291550,1953152,17.655458,-88.964963
"907A",2019-02-02,35,2019-03-09,1953431,286018,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,286018,1953431,17.658517,-89.017097
"907B",2019-03-09,43,2019-04-21,1953435,286020,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190421,43,286020,1953435,17.658556,-89.01708
"907C",2019-04-21,61,2019-06-21,1956708,286489,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,286489,1956708,17.688166,-89.012993
"907D",2019-06-21,36,2019-07-27,1938022,285288,"Logging","Yalbac","Bushnell",20190621,20190727,20190727,36,285288,1938022,17.519244,-89.022424
"907E",2019-07-27,27,2019-08-24,1938139,285290,"Logging","Yalbac","Bushnell",20190727,20190823,20190823,27,285290,1938139,17.519246,-89.022441
"907F",2019-08-23,50,2019-10-12,1938134,285297,"Logging","Yalbac","Bushnell",20190823,20191012,20191012,50,285297,1938134,17.519199,-89.022376
"907G",2019-10-12,57,2019-12-08,1938131,285293,"Logging","Yalbac","Bushnell",20191012,20191208,20191208,57,285293,1938131,17.51917,-89.022408
"908A",2019-02-02,35,2019-03-09,1954535,286481,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,286481,1954535,17.66854,-89.012849
"908B",2019-03-09,43,2019-04-21,1954534,286483,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190421,43,286483,1954534,17.668531,-89.012833
"908D",2019-06-21,36,2019-07-27,1954535,286488,"No Logging","Laguna Seca","Bushnell",20190621,20190727,20190727,36,286488,1954535,17.668535,-89.012784
"908F",2019-08-23,50,2019-10-12,1954650,286486,"No Logging","Laguna Seca","Bushnell",20190823,20191012,20191012,50,286486,1954650,NA,NA
"909A",2019-12-02,35,2020-01-06,1950941,284111,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,284111,1950941,17.635844,-89.034819
"909B",2020-01-06,30,2020-02-06,1952328,291066,"Logging","Laguna Seca","Bushnell",20190309,20190421,20190408,30,291066,1952328,17.649035,-88.969422
"909C",2020-02-18,52,2020-04-11,1952295,290828,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190611,52,290828,1952295,17.648713,-88.971662
"910A",2019-02-02,35,2019-03-09,1954432,286344,"No Logging","Laguna Seca","Bushnell",20190202,20190309,20190309,35,286344,1954432,17.667591,-89.014128
"910B",2019-03-09,43,2019-04-21,1954433,286353,"No Logging","Laguna Seca","Bushnell",20190309,20190421,20190421,43,286353,1954433,17.6676,-89.01404
"910C",2019-04-21,61,2019-06-21,1954434,286354,"No Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,286354,1954434,17.667611,-89.014031
"910D",2019-06-21,36,2019-07-27,1954434,286345,"No Logging","Laguna Seca","Bushnell",20190621,20190727,20190727,36,286345,1954434,17.667612,-89.01412
"910E",2019-07-27,27,2019-08-23,1954551,286355,"No Logging","Laguna Seca","Bushnell",20190727,20190823,20190823,27,286355,1954551,17.667599,-89.014058
"910G",2019-08-24,14,2019-10-26,1954725,285946,"No Logging","Laguna Seca","Bushnell",20191012,20191208,20191026,14,285946,1954725,17.669139,-89.017929
"911C",2019-04-21,61,2019-06-21,1952657,291719,"Logging","Laguna Seca","Bushnell",20190421,20190621,20190621,61,291719,1952657,17.652073,-88.963302
"911F",2019-08-23,50,2019-10-12,1952790,291736,"Logging","Laguna Seca","Bushnell",20190823,20191012,20191012,50,291736,1952790,17.652206,-88.963173
