"Name","Date.Placement.x","Days.x","Last.record.x","Northing.y","Easting.y","Logging","Property","Brand","Date.Placement.y","Date.Removed","Last.record.y","Days.y","Easting","Northing","Lat","Long","X","X.1","X.2","X.3","X.4"
"02G",2020-09-19,35,2020-10-24,1938068,284926,"Yes","Yalbac","Bushnel",20200919,20201024,20201024,35,284926,1938068,17.518568,-89.02586,NA,NA,NA,NA,NA
"02F",2020-08-22,28,2020-09-19,1938087,284986,"Yes","Laguna Seca","Bushnel",20200822,20200919,20200919,28,284986,1938087,17.518743,-89.025299,NA,NA,NA,NA,NA
"02E",2020-07-18,35,2020-08-22,1938170,284808,"Yes","Yalbac","Bushnel",20200718,20200822,20200822,35,284808,1938170,17.519475,-89.026982,NA,NA,NA,NA,NA
"02H",2020-09-10,35,2020-11-28,1938067,284930,"Yes","Yalbac","Bushnel",20201024,20201128,20201128,35,284930,1938067,17.518558,-89.02582,NA,NA,NA,NA,NA
"01B",2020-03-14,53,2020-05-09,1939898,286795,"Yes","Yalbac","Bushnel",20200314,20200509,20200509,53,286795,1939898,17.53528,-89.008442,NA,NA,NA,NA,NA
"11D",2020-06-27,41,2020-08-08,1951849,290851,"Yes","Laguna Seca","Bushnel",20200627,20200808,20200808,41,290851,1951849,17.643621,-88.971426,NA,NA,NA,NA,NA
"04C",2020-05-22,20,2020-06-11,1951219,288509,"Yes","Laguna Seca","Bushnel",20200522,20200613,20200611,20,288509,1951219,17.637707,-88.993427,NA,NA,NA,NA,NA
"03E",2020-07-18,35,2020-08-22,1939118,284206,"Yes","Yalbac","Bushnel",20200718,20200822,20200822,35,284206,1939118,17.527981,-89.032738,NA,NA,NA,NA,NA
"13D",2020-06-27,41,2020-08-08,1951695,289870,"Yes","Laguna Seca","Bushnel",20200627,20200808,20200808,41,289870,1951695,17.642139,-88.980649,NA,NA,NA,NA,NA
"03G",2020-09-19,35,2020-10-24,1939508,284578,"Yes","Yalbac","Bushnel",20200919,20201024,20201024,35,284578,1939508,17.531539,-89.029275,NA,NA,NA,NA,NA
"06C",2020-05-09,35,2020-06-13,1936445,286216,"Yes","Yalbac","Bushnel",20200509,20200613,20200613,35,286216,1936445,17.504029,-89.013555,NA,NA,NA,NA,NA
"06G",2020-09-19,35,2020-10-24,1936022,285950,"Yes","Yalbac","Bushnel",20200919,20201024,20201024,35,285950,1936022,17.500181,-89.016015,NA,NA,NA,NA,NA
"04B",2020-03-14,69,2020-05-22,1949425,287639,"Yes","Laguna Seca","Bushnel",20200314,20200422,20200422,69,287639,1949425,17.621422,-89.001446,NA,NA,NA,NA,NA
"11C",2020-05-22,36,2020-06-27,1951848,290853,"Yes","Laguna Seca","Bushnel",20200522,20200627,20200627,36,290853,1951848,17.64361,-88.971406,NA,NA,NA,NA,NA
"13E",2020-08-08,43,2020-09-19,1951344,289293,"Yes","Laguna Seca","Bushnel",20200808,20200919,20200919,43,289293,1951344,17.638912,-88.986049,NA,NA,NA,NA,NA
"12E",2020-08-08,4,2020-09-09,1953728,285829,"Yes","Laguna Seca","Bushnel",20200808,20200919,20200812,4,285829,1953728,17.660116,-89.018925,NA,NA,NA,NA,NA
"01D",2020-06-13,36,2020-07-18,1939085,284079,"Yes","Yalbac","Bushnel",20200613,20200718,20200718,36,284079,1939085,17.527673,-89.033933,NA,NA,NA,NA,NA
"01G",2020-09-19,35,2020-10-24,1939228,284473,"Yes","Yalbac","Bushnel",20200919,20201024,20201024,35,284473,1939228,17.529,-89.030236,NA,NA,NA,NA,NA
"02C",2020-05-09,35,2020-06-13,1938106,285590,"Yes","Yalbac","Bushnel",20200509,20200613,20200613,35,285590,1938106,17.518979,-89.01961,NA,NA,NA,NA,NA
"02D",2020-06-13,36,2020-07-18,1938170,284809,"Yes","Yalbac","Bushnel",20200613,20200718,20200718,36,284809,1938170,17.519479,-89.026966,NA,NA,NA,NA,NA
"03B",2020-03-14,51,2020-05-07,1939228,284474,"Yes","Yalbac","Bushnel",20200314,20200509,20200507,51,284474,1939228,17.529006,-89.030226,NA,NA,NA,NA,NA
"03D",2020-06-13,36,2020-07-18,1939112,284201,"Yes","Yalbac","Bushnel",20200613,20200718,20200718,36,284201,1939112,17.52793,-89.032787,NA,NA,NA,NA,NA
"11E",2020-08-08,43,2020-09-19,1952384,290905,"Yes","Laguna Seca","Bushnel",20200808,20200919,20200919,43,290905,1952384,17.648463,-88.970969,NA,NA,NA,NA,NA
"01F",2020-08-22,24,2020-09-15,1939654,284751,"Yes","Laguna Seca","Bushnel",20200822,20200919,20200915,24,284751,1939654,17.532876,-89.027665,NA,NA,NA,NA,NA
"04D",2020-06-27,41,2020-08-08,1948463,287464,"Yes","Laguna Seca","Bushnel",20200627,20200808,20200808,41,287464,1948463,17.612718,-89.002998,NA,NA,NA,NA,NA
"04E",2020-08-08,32,2020-09-08,1948470,287465,"Yes","Laguna Seca","Bushnel",20200808,20200919,20200908,32,287465,1948470,17.612775,-89.002991,NA,NA,NA,NA,NA
"04G",2020-10-24,35,2020-11-28,1948687,286794,"Yes","Laguna Seca","Bushnel",20201024,20201128,20201128,35,286794,1948687,17.614674,-89.009328,NA,NA,NA,NA,NA
"13B",2020-03-14,47,2020-04-30,1951376,289492,"Yes","Laguna Seca","Bushnel",20200314,20200422,20200430,47,289492,1951376,17.639221,-88.98418,NA,NA,NA,NA,NA
"13C",2020-05-22,36,2020-06-27,1951697,289865,"Yes","Laguna Seca","Bushnel",20200522,20200627,20200627,36,289865,1951697,17.642153,-88.980698,NA,NA,NA,NA,NA
"01H",2020-10-24,35,2020-11-28,1939211,284474,"Yes","Yalbac","Bushnel",20201024,20201128,20201128,35,284474,1939211,17.52885,-89.030233,NA,NA,NA,NA,NA
