"site","Brand","Conservation","Logging","Hurricane","Fire","Location","Landscape","Lat","Long","Season"
"403A","Bushnell","Yes","No","Yes","Yes","Valley","Broadleaf forest, broken canopy",17.4133595138,-88.967180888,"Dry"
"410B","Moultry","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4841786056,-89.0501074892,"Dry"
"405B","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4657465609,-89.0390722646,"Dry"
"405C","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4816862271,-89.0397030029,"Rainy"
"409C","Moultry","No","No","Yes","no","Logging Road","Broadleaf forest, broken canopy",17.4677022173,-89.0009195294,"Rainy"
"404C","Scoutguard","Yes","No","Yes","Yes","Seismic line","Broadleaf forest, broken canopy",17.4304252087,-88.8395865715,"Rainy"
"406C","Bushnell","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4852662334,-89.0401820103,"Rainy"
"403C","Bushnell","Yes","No","Yes","Yes","Valley","Broadleaf forest, broken canopy",17.4165711362,-88.9677341079,"Rainy"
"412C","Scoutguard","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.485340231,-89.0463810851,"Rainy"
"413C2","Bushnell","Yes","No","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",17.4228570016,-88.8560519999,"Rainy"
"401C2","Moultry","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4357220016,-88.82854,"Rainy"
"407C2","Bushnell","No","No","Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",17.4909660016,-89.039448,"Rainy"
"402C2","Bushnell","Yes","No","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",17.4239530017,-88.8463879999,"Rainy"
"408C2","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4470980016,-88.960261,"Rainy"
"404D","Scoutguard","Yes","No","Yes","Yes","Excavated Maya site","Secondary Forest",17.4263510016,-88.8382529999,"Rainy"
"402D","Bushnell","Yes","No","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",17.4239530017,-88.8463879999,"Rainy"
"413D","Bushnell","Yes","No","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",17.4228570016,-88.8560519999,"Rainy"
"405D","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4891490016,-89.038284,"Rainy"
"401D","Moultry","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4357220016,-88.82854,"Rainy"
"407D","Bushnell","No","No","Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",17.4909660016,-89.039448,"Rainy"
"403D","Bushnell","Yes","No","Yes","Yes","Valley","Broadleaf forest, broken canopy",17.4146940016,-88.9678,"Rainy"
"407E","Bushnell","No","No","Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",17.4950200016,-89.029038,"Dry"
"402E","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4274090016,-88.8475319999,"Dry"
"404E","Scoutguard","Yes","No","Yes","Yes","Open spot in forest","Secondary Forest",17.4298160016,-88.8391449999,"Dry"
"407F","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.5015980015,-88.9950249999,"Dry"
"411F","Scoutguard","No","No","Yes","No","Near seasonal stream spot","Broadleaf forest, broken canopy",17.4389720016,-88.9612199999,"Dry"
"404F","Scoutguard","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4298160016,-88.8391449999,"Dry"
"402F","Bushnell","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4274560016,-88.8475099999,"Dry"
"403F","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4440910016,-88.9613189999,"Dry"
"412D","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4764280016,-89.040235,"Rainy"
"406A","Bushnell","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.476532237,-89.0401895347,"Dry"
"409A","Moultry","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4835112031,-89.0401375318,"Dry"
"401A","Moultry","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4257174219,-88.8875612379,"Dry"
"405A","Moultry","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4723052571,-89.0394385399,"Dry"
"408B","Scoutguard","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4935651171,-89.0341901613,"Dry"
"411B","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4607118221,-89.0381672465,"Dry"
"412B","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4629097081,-89.0393582708,"Dry"
"408C","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4783162207,-89.040248008,"Rainy"
"411C","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4764242174,-89.0397630013,"Rainy"
"410C","Moultry","No","No","Yes","no","Logging Road","Broadleaf forest, broken canopy",17.4870732493,-89.0095806422,"Rainy"
"407C","Bushnell","No","No","Yes","no","Logging Road","Broadleaf forest, broken canopy",17.4668442166,-88.9986865021,"Rainy"
"405C2","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4891490016,-89.038284,"Rainy"
"406C2","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4498590016,-88.9573259999,"Rainy"
"410C2","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4398830016,-88.9640109999,"Rainy"
